"","code","coding_system","description","entity","list_name","upload_date","analysis"
"1","44f..00","Read","Serum glucose level","test","75 - blood_sugar","2014-01-30","Main"
"2","44f3.00","Read","30 minute serum glucose level","test","75 - blood_sugar","2014-01-30","Sensitivity"
"3","44f4.00","Read","60 minute serum glucose level","test","75 - blood_sugar","2014-01-30","Sensitivity"
"4","44f5.00","Read","90 minute serum glucose level","test","75 - blood_sugar","2014-01-30","Sensitivity"
"5","44f6.00","Read","120 minute serum glucose level","test","75 - blood_sugar","2014-01-30","Sensitivity"
"6","44f7.00","Read","150 minute serum glucose level","test","75 - blood_sugar","2014-01-30","Sensitivity"
"7","44T1.00","Read","Random blood sugar","test","75 - blood_sugar","2014-01-30","Main"
"8","44T1000","Read","Random blood sugar normal","test","75 - blood_sugar","2014-01-30","Main"
"9","44T1100","Read","Random blood sugar low","test","75 - blood_sugar","2014-01-30","Main"
"10","44T1200","Read","Random blood sugar raised","test","75 - blood_sugar","2014-01-30","Main"
"11","44T2.00","Read","Fasting blood sugar","test","75 - blood_sugar","2014-01-30","Main"
"12","44T3.00","Read","2 hours post food blood sugar","test","75 - blood_sugar","2014-01-30","Main"
"13","44T3.11","Read","Post prandial blood sugar","test","75 - blood_sugar","2014-01-30","Main"
"14","44T4.00","Read","Dip-stick blood sugar","test","75 - blood_sugar","2014-01-30","Main"
"15","44T5.00","Read","Laboratory blood sugar","test","75 - blood_sugar","2014-01-30","Main"
"16","44T6.00","Read","Lunch time blood sugar","test","75 - blood_sugar","2014-01-30","Main"
"17","44T7.00","Read","Supper time blood sugar","test","75 - blood_sugar","2014-01-30","Main"
"18","44T8.00","Read","Bedtime blood sugar","test","75 - blood_sugar","2014-01-30","Main"
"19","44T9.00","Read","Glucometer blood sugar","test","75 - blood_sugar","2014-01-30","Main"
"20","44TE.00","Read","30 minute blood glucose level","test","75 - blood_sugar","2014-01-30","Sensitivity"
"21","44TF.00","Read","60 minute blood glucose level","test","75 - blood_sugar","2014-01-30","Sensitivity"
"22","44TG.00","Read","90 minute blood glucose level","test","75 - blood_sugar","2014-01-30","Sensitivity"
"23","44TH.00","Read","120 minute blood glucose level","test","75 - blood_sugar","2014-01-30","Sensitivity"
"24","44TI.00","Read","150 minute blood glucose level","test","75 - blood_sugar","2014-01-30","Sensitivity"
"25","44TJ.00","Read","Blood glucose level","test","75 - blood_sugar","2014-01-30","Main"
"26","44TK.00","Read","Fasting blood glucose level","test","75 - blood_sugar","2014-01-30","Main"
"27","44TM.00","Read","Blood glucose series","test","75 - blood_sugar","2014-01-30","Main"
"28","44U..00","Read","Blood glucose result","test","75 - blood_sugar","2014-01-30","Main"
"29","44U1.00","Read","Blood glucose 0-1.4 mmol/L","test","75 - blood_sugar","2014-01-30","Main"
"30","44U..11","Read","Blood sugar result","test","75 - blood_sugar","2014-01-30","Main"
"31","44U2.00","Read","Blood glucose 1.5-2.4 mmol/L","test","75 - blood_sugar","2014-01-30","Main"
"32","44U3.00","Read","Blood glucose 2.5-4.9 mmol/L","test","75 - blood_sugar","2014-01-30","Main"
"33","44U4.00","Read","Blood glucose 5-6.9 mmol/L","test","75 - blood_sugar","2014-01-30","Main"
"34","44U5.00","Read","Blood glucose 7-9.9 mmol/L","test","75 - blood_sugar","2014-01-30","Main"
"35","44U6.00","Read","Blood glucose 10-13.9 mmol/L","test","75 - blood_sugar","2014-01-30","Main"
"36","44U7.00","Read","2 hour post-prandial blood glucose level","test","75 - blood_sugar","2014-01-30","Main"
"37","44U8.00","Read","Blood glucose normal","test","75 - blood_sugar","2014-01-30","Main"
"38","44U9.00","Read","Blood glucose abnormal","test","75 - blood_sugar","2014-01-30","Main"
"39","44Uz.00","Read","Blood glucose raised NOS","test","75 - blood_sugar","2014-01-30","Main"
"40","44UZ.00","Read","Blood glucose 14+ mmol/L","test","75 - blood_sugar","2014-01-30","Main"
"41","44V..00","Read","Glucose tolerance test","test","75 - blood_sugar","2014-01-30","Sensitivity"
"42","44V1.00","Read","Glucose tolerance test normal","test","75 - blood_sugar","2014-01-30","Sensitivity"
"43","44V..11","Read","Blood glucose tolerance","test","75 - blood_sugar","2014-01-30","Sensitivity"
"44","44V..12","Read","Blood sugar tolerance","test","75 - blood_sugar","2014-01-30","Sensitivity"
"45","44V6.00","Read","Extended glucose tolerance test","test","75 - blood_sugar","2014-01-30","Sensitivity"
"46","44VZ.00","Read","Glucose tolerance test NOS","test","75 - blood_sugar","2014-01-30","Sensitivity"
"47","7P17200","Read","Glucose tolerance test","test","75 - blood_sugar","2014-01-30","Sensitivity"
"48","8A17.00","Read","Self monitoring of blood glucose","test","75 - blood_sugar","2014-01-30","Sensitivity"
"49","R102.00","Read","[D]Glucose tolerance test abnormal","test","75 - blood_sugar","2014-01-30","Sensitivity"
"50","R102.12","Read","[D]Impaired glucose tolerance test","test","75 - blood_sugar","2014-01-30","Sensitivity"
"51","R10D.00","Read","[D]Elevated blood glucose level","test","75 - blood_sugar","2014-01-30","Main"
"52","L1300A","OXMIS","BLOOD GLUCOSE","test","75 - blood_sugar","2014-01-30","Main"
"53","L1300F","OXMIS","FASTING BLOOD SUGAR LEVEL","test","75 - blood_sugar","2014-01-30","Main"
"54","L1300H","OXMIS","RAISED BLOOD GLUCOSE LEVEL","test","75 - blood_sugar","2014-01-30","Main"
"55","L1300R","OXMIS","RANDOM BLOOD SUGAR LEVEL","test","75 - blood_sugar","2014-01-30","Main"
"56","L1300RA","OXMIS","RANDOM BLOOD SUGAR NORMAL","test","75 - blood_sugar","2014-01-30","Main"
"57","L1300RB","OXMIS","RANDOM BLOOD SUGAR RAISED","test","75 - blood_sugar","2014-01-30","Main"
"58","L1300RC","OXMIS","RANDOM BLOOD SUGAR LOW","test","75 - blood_sugar","2014-01-30","Main"
"59","L1300RV","OXMIS","RANDOM BLOOD SUGAR (VENOUS SAMPLE)","test","75 - blood_sugar","2014-01-30","Main"
"60","L1300RW","OXMIS","RANDOM BLOOD SUGAR NORMAL (VENOUS SAMPLE","test","75 - blood_sugar","2014-01-30","Main"
"61","L1300RX","OXMIS","RANDOM BLOOD SUGAR RAISED (VENOUS SAMPLE","test","75 - blood_sugar","2014-01-30","Main"
"62","L1300RY","OXMIS","RANDOM BLOOD SUGAR LOW (VENOUS SAMPLE)","test","75 - blood_sugar","2014-01-30","Main"
"63","L3300","OXMIS","GLUCOSE TOLERANCE TEST","test","75 - blood_sugar","2014-01-30","Sensitivity"
