"","code","coding_system","description","entity","list_name","upload_date","QOF","analysis"
"1","1621.00","Read","Weight steady","observation","71 - body_mass_index","2014-01-30",0,"Sensitivity"
"2","1621.11","Read","Weight static","observation","71 - body_mass_index","2014-01-30",0,"Sensitivity"
"3","1622.00","Read","Weight increasing","observation","71 - body_mass_index","2014-01-30",0,"Sensitivity"
"4","1623.00","Read","Weight decreasing","observation","71 - body_mass_index","2014-01-30",0,"Sensitivity"
"5","1624.00","Read","Abnormal weight gain","observation","71 - body_mass_index","2014-01-30",0,"Sensitivity"
"6","1625.00","Read","Abnormal weight loss","observation","71 - body_mass_index","2014-01-30",0,"Sensitivity"
"7","22A..00","Read","O/E - weight","observation","71 - body_mass_index","2014-01-30",0,"Main"
"8","22A1.00","Read","O/E - weight > 20% below ideal","observation","71 - body_mass_index","2014-01-30",0,"Main"
"9","22A2.00","Read","O/E -weight 10-20% below ideal","observation","71 - body_mass_index","2014-01-30",0,"Main"
"10","22A3.00","Read","O/E - weight within 10% ideal","observation","71 - body_mass_index","2014-01-30",0,"Main"
"11","22A4.00","Read","O/E - weight 10-20% over ideal","observation","71 - body_mass_index","2014-01-30",0,"Main"
"12","22A4.11","Read","O/E - overweight","observation","71 - body_mass_index","2014-01-30",0,"Main"
"13","22A5.00","Read","O/E - weight > 20% over ideal","observation","71 - body_mass_index","2014-01-30",0,"Main"
"14","22A5.11","Read","O/E - obese","observation","71 - body_mass_index","2014-01-30",0,"Main"
"15","22A6.00","Read","O/E - Underweight","observation","71 - body_mass_index","2014-01-30",0,"Main"
"16","22A8.00","Read","Weight loss from baseline weight","observation","71 - body_mass_index","2014-01-30",0,"Sensitivity"
"17","22AZ.00","Read","O/E - weight NOS","observation","71 - body_mass_index","2014-01-30",0,"Sensitivity"
"18","22K..00","Read","Body Mass Index","observation","71 - body_mass_index","2014-01-30",1,"Main"
"19","22K1.00","Read","Body Mass Index normal K/M2","observation","71 - body_mass_index","2014-01-30",1,"Main"
"20","22K2.00","Read","Body Mass Index high K/M2","observation","71 - body_mass_index","2014-01-30",1,"Main"
"21","22K3.00","Read","Body Mass Index low K/M2","observation","71 - body_mass_index","2014-01-30",1,"Main"
"22","22K4.00","Read","Body mass index index 25-29 - overweight","observation","71 - body_mass_index","2014-01-30",0,"Main"
"23","22K5.00","Read","Body mass index 30+ - obesity","observation","71 - body_mass_index","2014-01-30",1,"Main"
"24","22K6.00","Read","Body mass index less than 20","observation","71 - body_mass_index","2014-01-30",1,"Main"
"25","22K7.00","Read","Body mass index 40+ - severely obese","observation","71 - body_mass_index","2014-01-30",1,"Main"
"26","22K8.00","Read","Body mass index 20-24 - normal","observation","71 - body_mass_index","2014-01-30",1,"Main"
"27","22Z..00","Read","Height and Weight","observation","71 - body_mass_index","2014-01-30",0,"Main"
"28","636..00","Read","Birthweight of baby","observation","71 - body_mass_index","2014-01-30",0,"Main"
"29","636..11","Read","Birthweight","observation","71 - body_mass_index","2014-01-30",0,"Main"
"30","636..12","Read","Weight - baby","observation","71 - body_mass_index","2014-01-30",0,"Main"
"31","636Z.00","Read","Birthweight of baby NOS","observation","71 - body_mass_index","2014-01-30",0,"Main"
"32","647..00","Read","Child weight centiles","observation","71 - body_mass_index","2014-01-30",0,"Main"
"33","6471.00","Read","Child weight < 3rd centile","observation","71 - body_mass_index","2014-01-30",0,"Main"
"34","6472.00","Read","Child weight=3rd-9th centile","observation","71 - body_mass_index","2014-01-30",0,"Main"
"35","6473.00","Read","Child weight=10th-24th centile","observation","71 - body_mass_index","2014-01-30",0,"Main"
"36","6474.00","Read","Child weight=25th-49th centile","observation","71 - body_mass_index","2014-01-30",0,"Main"
"37","6475.00","Read","Child weight=50th-74th centile","observation","71 - body_mass_index","2014-01-30",0,"Main"
"38","6476.00","Read","Child weight=75th-89th centile","observation","71 - body_mass_index","2014-01-30",0,"Main"
"39","6477.00","Read","Child weight=90th-96th centile","observation","71 - body_mass_index","2014-01-30",0,"Main"
"40","6478.00","Read","Child weight > 97th centile","observation","71 - body_mass_index","2014-01-30",0,"Main"
"41","6479.00","Read","Child weight < 0.4th centile","observation","71 - body_mass_index","2014-01-30",0,"Main"
"42","647A.00","Read","Child weight = 0.4th centile","observation","71 - body_mass_index","2014-01-30",0,"Main"
"43","647B.00","Read","Child weight 0.5th - 1.9th centile","observation","71 - body_mass_index","2014-01-30",0,"Main"
"44","647C.00","Read","Child weight = 2nd centile","observation","71 - body_mass_index","2014-01-30",0,"Main"
"45","647D.00","Read","Child weight 3rd - 8th centile","observation","71 - body_mass_index","2014-01-30",0,"Main"
"46","647E.00","Read","Child weight 9th centile","observation","71 - body_mass_index","2014-01-30",0,"Main"
"47","647F.00","Read","Child weight 10th - 24th centile","observation","71 - body_mass_index","2014-01-30",0,"Main"
"48","647G.00","Read","Child weight = 25th centile","observation","71 - body_mass_index","2014-01-30",0,"Main"
"49","647H.00","Read","Child weight 26th - 49th centile","observation","71 - body_mass_index","2014-01-30",0,"Main"
"50","647I.00","Read","Child weight = 50th centile","observation","71 - body_mass_index","2014-01-30",0,"Main"
"51","647J.00","Read","Child weight 51st - 74th centile","observation","71 - body_mass_index","2014-01-30",0,"Main"
"52","647K.00","Read","Child weight = 75th centile","observation","71 - body_mass_index","2014-01-30",0,"Main"
"53","647L.00","Read","Child weight 76th - 90th centile","observation","71 - body_mass_index","2014-01-30",0,"Main"
"54","647M.00","Read","Child weight = 91st centile","observation","71 - body_mass_index","2014-01-30",0,"Main"
"55","647N.00","Read","Child weight 92nd - 97th centile","observation","71 - body_mass_index","2014-01-30",0,"Main"
"56","647O.00","Read","Child weight = 98th centile","observation","71 - body_mass_index","2014-01-30",0,"Main"
"57","647P.00","Read","Child weight 98.1st - 99.6th centile","observation","71 - body_mass_index","2014-01-30",0,"Main"
"58","647Q.00","Read","Child weight > 99.6th centile","observation","71 - body_mass_index","2014-01-30",0,"Main"
"59","647Z.00","Read","Child weight centiles NOS","observation","71 - body_mass_index","2014-01-30",0,"Main"
"60","66C..11","Read","Weight monitoring","observation","71 - body_mass_index","2014-01-30",0,"Sensitivity"
"61","Q111.00","Read","Premature - weight 1000g-2499g or gestation of 28-37weeks","observation","71 - body_mass_index","2014-01-30",0,"Main"
"62","Q114.00","Read","Low birthweight","observation","71 - body_mass_index","2014-01-30",0,"Main"
"63","Q114000","Read","Birth weight 1000-2499 g","observation","71 - body_mass_index","2014-01-30",0,"Main"
"64","Q115.00","Read","Extremely low birth weight infant","observation","71 - body_mass_index","2014-01-30",0,"Main"
"65","Q115000","Read","Birth weight 999 g or less","observation","71 - body_mass_index","2014-01-30",0,"Main"
"66","Q120.00","Read","Very large baby - weight greater than 4500gm","observation","71 - body_mass_index","2014-01-30",0,"Main"
"67","L3333NA","OXMIS","WEIGHT ABNORMAL RANGE RECORDED","observation","71 - body_mass_index","2014-01-30",0,"Main"
"68","L3333NN","OXMIS","WEIGHT NORMAL RANGE RECORDED","observation","71 - body_mass_index","2014-01-30",0,"Main"
"69","T3324PW","OXMIS","PERCENTILE WEIGHT","observation","71 - body_mass_index","2014-01-30",0,"Main"
"70","T3324WC","OXMIS","WEIGHT CHECK","observation","71 - body_mass_index","2014-01-30",0,"Main"
"71","T3326BA","OXMIS","PERCENTILE WEIGHT OUTSIDE 5% RANGE","observation","71 - body_mass_index","2014-01-30",0,"Main"
"72","T3326BB","OXMIS","PERCENTILE WEIGHT WITHIN  5% RANGE","observation","71 - body_mass_index","2014-01-30",0,"Main"
"73","T3326BC","OXMIS","PERCENTILE WEIGHT WITHIN 10% RANGE","observation","71 - body_mass_index","2014-01-30",0,"Main"
"74","T3326BD","OXMIS","PERCENTILE WEIGHT WITHIN 25% RANGE","observation","71 - body_mass_index","2014-01-30",0,"Main"
"75","T3326BE","OXMIS","PERCENTILE WEIGHT WITHIN 75% RANGE","observation","71 - body_mass_index","2014-01-30",0,"Main"
"76","T3326BF","OXMIS","PERCENTILE WEIGHT WITHIN 90% RANGE","observation","71 - body_mass_index","2014-01-30",0,"Main"
"77","T3326BG","OXMIS","PERCENTILE WEIGHT WITHIN 95% RANGE","observation","71 - body_mass_index","2014-01-30",0,"Main"
"78","Y0601K5","OXMIS","WEIGHT CONTROL CLINIC ATTENDANCE","observation","71 - body_mass_index","2014-01-30",0,"Sensitivity"
"79","Y060 AY","OXMIS","SCREENING WEIGHT","observation","71 - body_mass_index","2014-01-30",0,"Main"
"80","Y060 BY","OXMIS","SCREENING WEIGHT NORMAL","observation","71 - body_mass_index","2014-01-30",0,"Main"
"81","Y060 CY","OXMIS","SCREENING WEIGHT ABNORMAL","observation","71 - body_mass_index","2014-01-30",0,"Main"
"82","Y060 JY","OXMIS","WEIGHT CONTROL CLINIC","observation","71 - body_mass_index","2014-01-30",0,"Sensitivity"
