"","code","coding_system","description","entity","list_name","upload_date","QOF","analysis"
"1","44lF.00","Read","Serum cholesterol/HDL ratio","test","73 - cholesterol_level","2014-01-30",0,"Sensitivity"
"2","44lG.00","Read","Plasma cholesterol/HDL ratio","test","73 - cholesterol_level","2014-01-30",0,"Sensitivity"
"3","44lH.00","Read","Serum cholesterol/LDL ratio","test","73 - cholesterol_level","2014-01-30",0,"Sensitivity"
"4","44lI.00","Read","Plasma cholesterol/LDL ratio","test","73 - cholesterol_level","2014-01-30",0,"Sensitivity"
"5","44lJ.00","Read","Serum cholesterol/VLDL ratio","test","73 - cholesterol_level","2014-01-30",0,"Sensitivity"
"6","44lK.00","Read","Plasma cholesterol/VLDL ratio","test","73 - cholesterol_level","2014-01-30",0,"Sensitivity"
"7","44OE.","Read","","test","73 - cholesterol_level","2014-01-30",1,"Main"
"8","44OE.00","Read","Plasma total cholesterol level","test","73 - cholesterol_level","2014-01-30",1,"Main"
"9","44P..","Read","","test","73 - cholesterol_level","2014-01-30",1,"Main"
"10","44P..00","Read","Serum cholesterol","test","73 - cholesterol_level","2014-01-30",1,"Main"
"11","44P1.00","Read","Serum cholesterol normal","test","73 - cholesterol_level","2014-01-30",1,"Main"
"12","44P2.00","Read","Serum cholesterol borderline","test","73 - cholesterol_level","2014-01-30",1,"Main"
"13","44p3.00","Read","Serum cholesterol raised","test","73 - cholesterol_level","2014-01-30",1,"Main"
"14","44P3.00","Read","Serum cholesterol raised","test","73 - cholesterol_level","2014-01-30",1,"Main"
"15","44P4.00","Read","Serum cholesterol very high","test","73 - cholesterol_level","2014-01-30",1,"Main"
"16","44PF.00","Read","Total cholesterol:HDL ratio","test","73 - cholesterol_level","2014-01-30",0,"Sensitivity"
"17","44PG.00","Read","HDL : total cholesterol ratio","test","73 - cholesterol_level","2014-01-30",0,"Sensitivity"
"18","44PH.00","Read","Total cholesterol measurement","test","73 - cholesterol_level","2014-01-30",1,"Main"
"19","44PJ.00","Read","Serum total cholesterol level","test","73 - cholesterol_level","2014-01-30",1,"Main"
"20","44PK.00","Read","Serum fasting total cholesterol","test","73 - cholesterol_level","2014-01-30",1,"Main"
"21","L1420","OXMIS","PLASMA CHOLESTEROL LEVEL (mg/dl)","test","73 - cholesterol_level","2014-01-30",0,"Main"
"22","L1420A","OXMIS","CHOLESTEROL LEVEL (mg/dl)","test","73 - cholesterol_level","2014-01-30",0,"Main"
"23","L1420B","OXMIS","PLASMA CHOLESTEROL LEVEL (mmol/l)","test","73 - cholesterol_level","2014-01-30",0,"Main"
"24","L1420H","OXMIS","CHOLESTEROL LEVEL (mg/dl) RAISED","test","73 - cholesterol_level","2014-01-30",0,"Main"
"25","L1420N","OXMIS","CHOLESTEROL LEVEL (mmol/l) NORMAL","test","73 - cholesterol_level","2014-01-30",0,"Main"
"26","L1420R","OXMIS","CHOLESTEROL LEVEL (mmol/l) RAISED","test","73 - cholesterol_level","2014-01-30",0,"Main"
"27","Y060 AV","OXMIS","SCREENING CHOLESTEROL LEVEL","test","73 - cholesterol_level","2014-01-30",0,"Main"
"28","Y060 BV","OXMIS","SCREENING CHOLESTEROL LEVEL NORMAL","test","73 - cholesterol_level","2014-01-30",0,"Main"
"29","Y060 CV","OXMIS","SCREENING CHOLESTEROL LEVEL ABNORMAL","test","73 - cholesterol_level","2014-01-30",0,"Main"
