"","code","coding_system","description","entity","list_name","upload_date","QOF","analysis"
"1","66YB.00","Read","Chronic obstructive pulmonary disease monitoring","diagnostic","85 - chronic obstructive pulmonary diasease","2014-01-30",0,"Sensitivity"
"2","66Yd.00","Read","COPD accident and emergency attendance since last visit","diagnostic","85 - chronic obstructive pulmonary diasease","2014-01-30",0,"Sensitivity"
"3","66YD.00","Read","Chronic obstructive pulmonary disease monitoring due","diagnostic","85 - chronic obstructive pulmonary diasease","2014-01-30",0,"Sensitivity"
"4","66Ye.00","Read","Emergency COPD admission since last appointment","diagnostic","85 - chronic obstructive pulmonary diasease","2014-01-30",0,"Sensitivity"
"5","66Yf.00","Read","Number of COPD exacerbations in past year","diagnostic","85 - chronic obstructive pulmonary diasease","2014-01-30",0,"Sensitivity"
"6","66Yg.00","Read","Chronic obstructive pulmonary disease disturbs sleep","diagnostic","85 - chronic obstructive pulmonary diasease","2014-01-30",0,"Sensitivity"
"7","66Yh.00","Read","Chronic obstructive pulmonary disease does not disturb sleep","diagnostic","85 - chronic obstructive pulmonary diasease","2014-01-30",0,"Sensitivity"
"8","66Yi.00","Read","Multiple COPD emergency hospital admissions","diagnostic","85 - chronic obstructive pulmonary diasease","2014-01-30",0,"Sensitivity"
"9","66YI.00","Read","COPD self-management plan given","diagnostic","85 - chronic obstructive pulmonary diasease","2014-01-30",0,"Sensitivity"
"10","66YL.00","Read","Chronic obstructive pulmonary disease follow-up","diagnostic","85 - chronic obstructive pulmonary diasease","2014-01-30",0,"Sensitivity"
"11","66YL.11","Read","COPD follow-up","diagnostic","85 - chronic obstructive pulmonary diasease","2014-01-30",0,"Sensitivity"
"12","66YL.12","Read","COAD follow-up","diagnostic","85 - chronic obstructive pulmonary diasease","2014-01-30",0,"Sensitivity"
"13","66YM.00","Read","Chronic obstructive pulmonary disease annual review","diagnostic","85 - chronic obstructive pulmonary diasease","2014-01-30",0,"Sensitivity"
"14","66YS.00","Read","Chronic obstructive pulmonary disease monitoring by nurse","diagnostic","85 - chronic obstructive pulmonary diasease","2014-01-30",0,"Sensitivity"
"15","66YT.00","Read","Chronic obstructive pulmonary disease monitoring by doctor","diagnostic","85 - chronic obstructive pulmonary diasease","2014-01-30",0,"Sensitivity"
"16","8H2R.00","Read","Admit COPD emergency","diagnostic","85 - chronic obstructive pulmonary diasease","2014-01-30",0,"Sensitivity"
"17","H3...00","Read","Chronic obstructive pulmonary disease","diagnostic","85 - chronic obstructive pulmonary diasease","2014-01-30",1,"Main"
"18","H31..00","Read","Chronic bronchitis","diagnostic","85 - chronic obstructive pulmonary diasease","2014-01-30",1,"Main"
"19","H310.00","Read","Simple chronic bronchitis","diagnostic","85 - chronic obstructive pulmonary diasease","2014-01-30",1,"Main"
"20","H310000","Read","Chronic catarrhal bronchitis","diagnostic","85 - chronic obstructive pulmonary diasease","2014-01-30",1,"Main"
"21","H310z00","Read","Simple chronic bronchitis NOS","diagnostic","85 - chronic obstructive pulmonary diasease","2014-01-30",1,"Main"
"22","H311.00","Read","Mucopurulent chronic bronchitis","diagnostic","85 - chronic obstructive pulmonary diasease","2014-01-30",1,"Main"
"23","H311000","Read","Purulent chronic bronchitis","diagnostic","85 - chronic obstructive pulmonary diasease","2014-01-30",1,"Main"
"24","H311100","Read","Fetid chronic bronchitis","diagnostic","85 - chronic obstructive pulmonary diasease","2014-01-30",1,"Main"
"25","H311z00","Read","Mucopurulent chronic bronchitis NOS","diagnostic","85 - chronic obstructive pulmonary diasease","2014-01-30",1,"Main"
"26","H312.00","Read","Obstructive chronic bronchitis","diagnostic","85 - chronic obstructive pulmonary diasease","2014-01-30",1,"Main"
"27","H312000","Read","Chronic asthmatic bronchitis","diagnostic","85 - chronic obstructive pulmonary diasease","2014-01-30",1,"Main"
"28","H312011","Read","Chronic wheezy bronchitis","diagnostic","85 - chronic obstructive pulmonary diasease","2014-01-30",1,"Main"
"29","H312100","Read","Emphysematous bronchitis","diagnostic","85 - chronic obstructive pulmonary diasease","2014-01-30",1,"Main"
"30","H312200","Read","Acute exacerbation of chronic obstructive airways disease","diagnostic","85 - chronic obstructive pulmonary diasease","2014-01-30",0,"Sensitivity"
"31","H312300","Read","Bronchiolitis obliterans","diagnostic","85 - chronic obstructive pulmonary diasease","2014-01-30",1,"Main"
"32","H312z00","Read","Obstructive chronic bronchitis NOS","diagnostic","85 - chronic obstructive pulmonary diasease","2014-01-30",1,"Main"
"33","H313.00","Read","Mixed simple and mucopurulent chronic bronchitis","diagnostic","85 - chronic obstructive pulmonary diasease","2014-01-30",1,"Main"
"34","H31y.00","Read","Other chronic bronchitis","diagnostic","85 - chronic obstructive pulmonary diasease","2014-01-30",1,"Main"
"35","H31y100","Read","Chronic tracheobronchitis","diagnostic","85 - chronic obstructive pulmonary diasease","2014-01-30",1,"Main"
"36","H31yz00","Read","Other chronic bronchitis NOS","diagnostic","85 - chronic obstructive pulmonary diasease","2014-01-30",1,"Main"
"37","H31z.00","Read","Chronic bronchitis NOS","diagnostic","85 - chronic obstructive pulmonary diasease","2014-01-30",1,"Main"
"38","H32..00","Read","Emphysema","diagnostic","85 - chronic obstructive pulmonary diasease","2014-01-30",1,"Main"
