"","code","coding_system","description","entity","list_name","upload_date","analysis"
"1","C370.00","Read","Cystic fibrosis","diagnostic","77 - cystic fibrosis","2014-01-30","Main"
"2","C370000","Read","Cystic fibrosis with no meconium ileus","diagnostic","77 - cystic fibrosis","2014-01-30","Main"
"3","C370100","Read","Cystic fibrosis with meconium ileus","diagnostic","77 - cystic fibrosis","2014-01-30","Main"
"4","C370111","Read","Meconium ileus in cystic fibrosis","diagnostic","77 - cystic fibrosis","2014-01-30","Sensitivity"
"5","C370.12","Read","Mucoviscidosis","diagnostic","77 - cystic fibrosis","2014-01-30","Main"
"6","C370200","Read","Cystic fibrosis with pulmonary manifestations","diagnostic","77 - cystic fibrosis","2014-01-30","Main"
"7","C370300","Read","Cystic fibrosis with intestinal manifestations","diagnostic","77 - cystic fibrosis","2014-01-30","Main"
"8","C370y00","Read","Cystic fibrosis with other manifestations","diagnostic","77 - cystic fibrosis","2014-01-30","Main"
"9","C370y11","Read","Cystic fibrosis with combined manifestations","diagnostic","77 - cystic fibrosis","2014-01-30","Main"
"10","C370z00","Read","Cystic fibrosis NOS","diagnostic","77 - cystic fibrosis","2014-01-30","Main"
"11","2730A","OXMIS","FIBROSIS CYSTIC","diagnostic","77 - cystic fibrosis","2014-01-30","Main"
"12","7484F","OXMIS","FIBROCYSTIC DISEASE LUNG","diagnostic","77 - cystic fibrosis","2014-01-30","Main"
