"","code","coding_system","description","entity","list_name","upload_date","QOF","analysis"
"1","3AE..00","Read","Global deterioration scale: assessment of prim deg dementia","diagnostic","86 - dementia","2014-01-30",0,"Sensitivity"
"2","66h..00","Read","Dementia monitoring","diagnostic","86 - dementia","2014-01-30",0,"Sensitivity"
"3","6AB..00","Read","Dementia annual review","diagnostic","86 - dementia","2014-01-30",0,"Sensitivity"
"4","E00..00","Read","Senile and presenile organic psychotic conditions","diagnostic","86 - dementia","2014-01-30",1,"Main"
"5","e000.00","Read","Uncomplicated senile dementia","diagnostic","86 - dementia","2014-01-30",1,"Main"
"6","E000.00","Read","Uncomplicated senile dementia","diagnostic","86 - dementia","2014-01-30",1,"Main"
"7","E001.00","Read","Presenile dementia","diagnostic","86 - dementia","2014-01-30",1,"Main"
"8","E001000","Read","Uncomplicated presenile dementia","diagnostic","86 - dementia","2014-01-30",1,"Main"
"9","E00..11","Read","Senile dementia","diagnostic","86 - dementia","2014-01-30",1,"Main"
"10","E001100","Read","Presenile dementia with delirium","diagnostic","86 - dementia","2014-01-30",1,"Main"
"11","E00..12","Read","Senile/presenile dementia","diagnostic","86 - dementia","2014-01-30",1,"Main"
"12","E001200","Read","Presenile dementia with paranoia","diagnostic","86 - dementia","2014-01-30",1,"Main"
"13","E001300","Read","Presenile dementia with depression","diagnostic","86 - dementia","2014-01-30",1,"Main"
"14","E001z00","Read","Presenile dementia NOS","diagnostic","86 - dementia","2014-01-30",1,"Main"
"15","E002.00","Read","Senile dementia with depressive or paranoid features","diagnostic","86 - dementia","2014-01-30",1,"Main"
"16","E002000","Read","Senile dementia with paranoia","diagnostic","86 - dementia","2014-01-30",1,"Main"
"17","E002100","Read","Senile dementia with depression","diagnostic","86 - dementia","2014-01-30",1,"Main"
"18","E002z00","Read","Senile dementia with depressive or paranoid features NOS","diagnostic","86 - dementia","2014-01-30",1,"Main"
"19","E003.00","Read","Senile dementia with delirium","diagnostic","86 - dementia","2014-01-30",1,"Main"
"20","E004.00","Read","Arteriosclerotic dementia","diagnostic","86 - dementia","2014-01-30",1,"Main"
"21","E004000","Read","Uncomplicated arteriosclerotic dementia","diagnostic","86 - dementia","2014-01-30",1,"Main"
"22","E004100","Read","Arteriosclerotic dementia with delirium","diagnostic","86 - dementia","2014-01-30",1,"Main"
"23","E004.11","Read","Multi infarct dementia","diagnostic","86 - dementia","2014-01-30",1,"Main"
"24","E004200","Read","Arteriosclerotic dementia with paranoia","diagnostic","86 - dementia","2014-01-30",1,"Main"
"25","E004300","Read","Arteriosclerotic dementia with depression","diagnostic","86 - dementia","2014-01-30",1,"Main"
"26","E004z00","Read","Arteriosclerotic dementia NOS","diagnostic","86 - dementia","2014-01-30",1,"Main"
"27","E00y.00","Read","Other senile and presenile organic psychoses","diagnostic","86 - dementia","2014-01-30",1,"Main"
"28","E00y.11","Read","Presbyophrenic psychosis","diagnostic","86 - dementia","2014-01-30",1,"Main"
"29","E00z.00","Read","Senile or presenile psychoses NOS","diagnostic","86 - dementia","2014-01-30",1,"Main"
"30","E012.00","Read","Other alcoholic dementia","diagnostic","86 - dementia","2014-01-30",1,"Main"
"31","E012000","Read","Chronic alcoholic brain syndrome","diagnostic","86 - dementia","2014-01-30",1,"Main"
"32","E012.11","Read","Alcoholic dementia NOS","diagnostic","86 - dementia","2014-01-30",1,"Main"
"33","E041.00","Read","Dementia in conditions EC","diagnostic","86 - dementia","2014-01-30",1,"Main"
"34","Eu00.00","Read","[X]Dementia in Alzheimer's disease","diagnostic","86 - dementia","2014-01-30",1,"Main"
"35","Eu00000","Read","[X]Dementia in Alzheimer's disease with early onset","diagnostic","86 - dementia","2014-01-30",1,"Main"
"36","Eu00011","Read","[X]Presenile dementia;Alzheimer's type","diagnostic","86 - dementia","2014-01-30",1,"Main"
"37","Eu00012","Read","[X]Primary degen dementia; Alzheimer's type; presenile onset","diagnostic","86 - dementia","2014-01-30",1,"Main"
"38","Eu00013","Read","[X]Alzheimer's disease type 2","diagnostic","86 - dementia","2014-01-30",1,"Main"
"39","Eu00100","Read","[X]Dementia in Alzheimer's disease with late onset","diagnostic","86 - dementia","2014-01-30",1,"Main"
"40","Eu00111","Read","[X]Alzheimer's disease type 1","diagnostic","86 - dementia","2014-01-30",1,"Main"
"41","Eu00112","Read","[X]Senile dementia;Alzheimer's type","diagnostic","86 - dementia","2014-01-30",1,"Main"
"42","Eu00113","Read","[X]Primary degen dementia of Alzheimer's type; senile onset","diagnostic","86 - dementia","2014-01-30",1,"Main"
"43","Eu00200","Read","[X]Dementia in Alzheimer's dis; atypical or mixed type","diagnostic","86 - dementia","2014-01-30",1,"Main"
"44","Eu00z00","Read","[X]Dementia in Alzheimer's disease; unspecified","diagnostic","86 - dementia","2014-01-30",1,"Main"
"45","Eu00z11","Read","[X]Alzheimer's dementia unspec","diagnostic","86 - dementia","2014-01-30",1,"Main"
"46","Eu01.00","Read","[X]Vascular dementia","diagnostic","86 - dementia","2014-01-30",1,"Main"
"47","Eu01000","Read","[X]Vascular dementia of acute onset","diagnostic","86 - dementia","2014-01-30",1,"Main"
"48","Eu01100","Read","[X]Multi-infarct dementia","diagnostic","86 - dementia","2014-01-30",1,"Main"
"49","Eu01.11","Read","[X]Arteriosclerotic dementia","diagnostic","86 - dementia","2014-01-30",1,"Main"
"50","Eu01111","Read","[X]Predominantly cortical dementia","diagnostic","86 - dementia","2014-01-30",1,"Main"
"51","Eu01200","Read","[X]Subcortical vascular dementia","diagnostic","86 - dementia","2014-01-30",1,"Main"
"52","Eu01300","Read","[X]Mixed cortical and subcortical vascular dementia","diagnostic","86 - dementia","2014-01-30",1,"Main"
"53","Eu01y00","Read","[X]Other vascular dementia","diagnostic","86 - dementia","2014-01-30",1,"Main"
"54","Eu01z00","Read","[X]Vascular dementia; unspecified","diagnostic","86 - dementia","2014-01-30",1,"Main"
"55","Eu02.00","Read","[X]Dementia in other diseases classified elsewhere","diagnostic","86 - dementia","2014-01-30",1,"Main"
"56","Eu02000","Read","[X]Dementia in Pick's disease","diagnostic","86 - dementia","2014-01-30",1,"Main"
"57","Eu02100","Read","[X]Dementia in Creutzfeldt-Jakob disease","diagnostic","86 - dementia","2014-01-30",1,"Main"
"58","Eu02200","Read","[X]Dementia in Huntington's disease","diagnostic","86 - dementia","2014-01-30",1,"Main"
"59","Eu02300","Read","[X]Dementia in Parkinson's disease","diagnostic","86 - dementia","2014-01-30",1,"Main"
"60","Eu02400","Read","[X]Dementia in human immunodef virus [HIV] disease","diagnostic","86 - dementia","2014-01-30",1,"Main"
"61","Eu02500","Read","[X]Lewy body dementia","diagnostic","86 - dementia","2014-01-30",1,"Main"
"62","Eu02y00","Read","[X]Dementia in other specified diseases classif elsewhere","diagnostic","86 - dementia","2014-01-30",1,"Main"
"63","Eu02z00","Read","[X] Unspecified dementia","diagnostic","86 - dementia","2014-01-30",1,"Main"
"64","Eu02z11","Read","[X] Presenile dementia NOS","diagnostic","86 - dementia","2014-01-30",1,"Main"
"65","Eu02z12","Read","[X] Presenile psychosis NOS","diagnostic","86 - dementia","2014-01-30",1,"Main"
"66","Eu02z13","Read","[X] Primary degenerative dementia NOS","diagnostic","86 - dementia","2014-01-30",1,"Main"
"67","Eu02z14","Read","[X] Senile dementia NOS","diagnostic","86 - dementia","2014-01-30",1,"Main"
"68","Eu02z15","Read","[X] Senile psychosis NOS","diagnostic","86 - dementia","2014-01-30",1,"Main"
"69","Eu02z16","Read","[X] Senile dementia; depressed or paranoid type","diagnostic","86 - dementia","2014-01-30",1,"Main"
"70","Eu04100","Read","[X]Delirium superimposed on dementia","diagnostic","86 - dementia","2014-01-30",1,"Sensitivity"
"71","Eu10711","Read","[X]Alcoholic dementia NOS","diagnostic","86 - dementia","2014-01-30",0,"Main"
"72","F110.00","Read","Alzheimer's disease","diagnostic","86 - dementia","2014-01-30",1,"Main"
"73","F110000","Read","Alzheimer's disease with early onset","diagnostic","86 - dementia","2014-01-30",1,"Main"
"74","F110100","Read","Alzheimer's disease with late onset","diagnostic","86 - dementia","2014-01-30",1,"Main"
"75","F111.00","Read","Pick's disease","diagnostic","86 - dementia","2014-01-30",1,"Main"
"76","F112.00","Read","Senile degeneration of brain","diagnostic","86 - dementia","2014-01-30",1,"Main"
"77","F116.00","Read","Lewy body disease","diagnostic","86 - dementia","2014-01-30",1,"Main"
"78","Fyu3000","Read","[X]Other Alzheimer's disease","diagnostic","86 - dementia","2014-01-30",0,"Main"
"79","ZR1K.00","Read","Alzheimer's disease assessment scale","diagnostic","86 - dementia","2014-01-30",0,"Sensitivity"
"80","ZR1K.11","Read","ADAS - Alzheimer's disease assessment scale","diagnostic","86 - dementia","2014-01-30",0,"Sensitivity"
"81","ZR2X.12","Read","BDRS - Blessed dementia rating scale","diagnostic","86 - dementia","2014-01-30",0,"Sensitivity"
"82","ZR3V.00","Read","Clinical dementia rating scale","diagnostic","86 - dementia","2014-01-30",0,"Sensitivity"
"83","ZR3V.11","Read","DRS - Clinical dementia rating scale","diagnostic","86 - dementia","2014-01-30",0,"Sensitivity"
"84","ZR3V.12","Read","CDR - Clinical dementia rating scale","diagnostic","86 - dementia","2014-01-30",0,"Sensitivity"
"85","ZR3V.13","Read","Dementia rating scale","diagnostic","86 - dementia","2014-01-30",0,"Sensitivity"
"86","ZS7C500","Read","Language disorder of dementia","diagnostic","86 - dementia","2014-01-30",0,"Sensitivity"
"87","2900","OXMIS","SENILE DEMENTIA","diagnostic","86 - dementia","2014-01-30",0,"Main"
"88","2901A","OXMIS","PRESENILE DEMENTIA","diagnostic","86 - dementia","2014-01-30",0,"Main"
"89","2901B","OXMIS","ALZHEIMER'S DISEASE","diagnostic","86 - dementia","2014-01-30",0,"Main"
"90","2901D","OXMIS","JACOB- CREUZFELDT DISEASE WITH DEMENTIA","diagnostic","86 - dementia","2014-01-30",0,"Main"
"91","2919","OXMIS","DEMENTIA ALCOHOLIC","diagnostic","86 - dementia","2014-01-30",0,"Main"
"92","2930","OXMIS","DEMENTIA ARTERIOSCLEROTIC","diagnostic","86 - dementia","2014-01-30",0,"Main"
"93","299 B","OXMIS","DEMENTIA","diagnostic","86 - dementia","2014-01-30",0,"Main"
"94","299 G","OXMIS","DEMENTIA AGGRESSIVE","diagnostic","86 - dementia","2014-01-30",0,"Main"
"95","Y0601JS","OXMIS","DEMENTIA CLINIC ATTENDANCE","diagnostic","86 - dementia","2014-01-30",0,"Sensitivity"
"96","Y060 JS","OXMIS","DEMENTIA CLINIC","diagnostic","86 - dementia","2014-01-30",0,"Sensitivity"
