"","code","coding_system","description","entity","list_name","upload_date","QOF","analysis"
"1","13AB.00","Read","Diabetic lipid lowering diet","diagnostic","94 - diabetes mellitus","2014-01-30",0,"Sensitivity"
"2","13AC.00","Read","Diabetic weight reducing diet","diagnostic","94 - diabetes mellitus","2014-01-30",0,"Sensitivity"
"3","13B1.00","Read","Diabetic diet","diagnostic","94 - diabetes mellitus","2014-01-30",0,"Sensitivity"
"4","14F4.00","Read","H/O: Admission in last year for diabetes foot problem","diagnostic","94 - diabetes mellitus","2014-01-30",0,"Sensitivity"
"5","2126300","Read","Diabetes resolved","diagnostic","94 - diabetes mellitus","2014-01-30",-1,"Resolve"
"6","212H.00","Read","Diabetes resolved","diagnostic","94 - diabetes mellitus","2014-01-30",-1,"Resolve"
"7","2500W","Read","DIABETIC CLINIC","diagnostic","94 - diabetes mellitus","2014-01-30",0,"Sensitivity"
"8","2BBF.00","Read","Retinal abnormality - diabetes related","diagnostic","94 - diabetes mellitus","2014-01-30",0,"Sensitivity"
"9","2BBk.00","Read","O/E - right eye stable treated prolif diabetic retinopathy","diagnostic","94 - diabetes mellitus","2014-01-30",0,"Sensitivity"
"10","2BBl.00","Read","O/E - left eye stable treated prolif diabetic retinopathy","diagnostic","94 - diabetes mellitus","2014-01-30",0,"Sensitivity"
"11","2BBL.00","Read","O/E - diabetic maculopathy present both eyes","diagnostic","94 - diabetes mellitus","2014-01-30",0,"Sensitivity"
"12","2BBM.00","Read","O/E - diabetic maculopathy absent both eyes","diagnostic","94 - diabetes mellitus","2014-01-30",0,"Sensitivity"
"13","2BBo.00","Read","O/E - sight threatening diabetic retinopathy","diagnostic","94 - diabetes mellitus","2014-01-30",0,"Sensitivity"
"14","2BBP.00","Read","O/E - right eye background diabetic retinopathy","diagnostic","94 - diabetes mellitus","2014-01-30",0,"Sensitivity"
"15","2BBQ.00","Read","O/E - left eye background diabetic retinopathy","diagnostic","94 - diabetes mellitus","2014-01-30",0,"Sensitivity"
"16","2BBR.00","Read","O/E - right eye preproliferative diabetic retinopathy","diagnostic","94 - diabetes mellitus","2014-01-30",0,"Sensitivity"
"17","2BBS.00","Read","O/E - left eye preproliferative diabetic retinopathy","diagnostic","94 - diabetes mellitus","2014-01-30",0,"Sensitivity"
"18","2BBT.00","Read","O/E - right eye proliferative diabetic retinopathy","diagnostic","94 - diabetes mellitus","2014-01-30",0,"Sensitivity"
"19","2BBV.00","Read","O/E - left eye proliferative diabetic retinopathy","diagnostic","94 - diabetes mellitus","2014-01-30",0,"Sensitivity"
"20","2BBW.00","Read","O/E - right eye diabetic maculopathy","diagnostic","94 - diabetes mellitus","2014-01-30",0,"Sensitivity"
"21","2BBX.00","Read","O/E - left eye diabetic maculopathy","diagnostic","94 - diabetes mellitus","2014-01-30",0,"Sensitivity"
"22","2G51000","Read","Foot abnormality - diabetes related","diagnostic","94 - diabetes mellitus","2014-01-30",0,"Sensitivity"
"23","2G5A.00","Read","O/E - Right diabetic foot at risk","diagnostic","94 - diabetes mellitus","2014-01-30",0,"Sensitivity"
"24","2G5B.00","Read","O/E - Left diabetic foot at risk","diagnostic","94 - diabetes mellitus","2014-01-30",0,"Sensitivity"
"25","2G5C.00","Read","Foot abnormality - diabetes related","diagnostic","94 - diabetes mellitus","2014-01-30",0,"Sensitivity"
"26","2G5E.00","Read","O/E - Right diabetic foot at low risk","diagnostic","94 - diabetes mellitus","2014-01-30",0,"Sensitivity"
"27","2G5F.00","Read","O/E - Right diabetic foot at moderate risk","diagnostic","94 - diabetes mellitus","2014-01-30",0,"Sensitivity"
"28","2G5G.00","Read","O/E - Right diabetic foot at high risk","diagnostic","94 - diabetes mellitus","2014-01-30",0,"Sensitivity"
"29","2G5H.00","Read","O/E - Right diabetic foot - ulcerated","diagnostic","94 - diabetes mellitus","2014-01-30",0,"Sensitivity"
"30","2G5I.00","Read","O/E - Left diabetic foot at low risk","diagnostic","94 - diabetes mellitus","2014-01-30",0,"Sensitivity"
"31","2G5J.00","Read","O/E - Left diabetic foot at moderate risk","diagnostic","94 - diabetes mellitus","2014-01-30",0,"Sensitivity"
"32","2G5K.00","Read","O/E - Left diabetic foot at high risk","diagnostic","94 - diabetes mellitus","2014-01-30",0,"Sensitivity"
"33","2G5L.00","Read","O/E - Left diabetic foot - ulcerated","diagnostic","94 - diabetes mellitus","2014-01-30",0,"Sensitivity"
"34","2G5V.00","Read","O/E - right chronic diabetic foot ulcer","diagnostic","94 - diabetes mellitus","2014-01-30",0,"Sensitivity"
"35","2G5W.00","Read","O/E - left chronic diabetic foot ulcer","diagnostic","94 - diabetes mellitus","2014-01-30",0,"Sensitivity"
"36","42c..00","Read","HbA1 - diabetic control","diagnostic","94 - diabetes mellitus","2014-01-30",0,"Sensitivity"
"37","42c0.00","Read","HbA1 < 7% - good control","diagnostic","94 - diabetes mellitus","2014-01-30",0,"Sensitivity"
"38","42c1.00","Read","HbA1 7 - 10% - borderline control","diagnostic","94 - diabetes mellitus","2014-01-30",0,"Sensitivity"
"39","42c2.00","Read","HbA1 > 10% - bad control","diagnostic","94 - diabetes mellitus","2014-01-30",0,"Sensitivity"
"40","42W..00","Read","Hb. A1C - diabetic control","diagnostic","94 - diabetes mellitus","2014-01-30",0,"Sensitivity"
"41","42W1.00","Read","Hb. A1C < 7% - good control","diagnostic","94 - diabetes mellitus","2014-01-30",0,"Sensitivity"
"42","42W2.00","Read","Hb. A1C 7-10% - borderline","diagnostic","94 - diabetes mellitus","2014-01-30",0,"Sensitivity"
"43","42W3.00","Read","Hb. A1C > 10% - bad control","diagnostic","94 - diabetes mellitus","2014-01-30",0,"Sensitivity"
"44","42WZ.00","Read","Hb. A1C - diabetic control NOS","diagnostic","94 - diabetes mellitus","2014-01-30",0,"Sensitivity"
"45","66A..00","Read","Diabetic monitoring","diagnostic","94 - diabetes mellitus","2014-01-30",0,"Sensitivity"
"46","66A1.00","Read","Initial diabetic assessment","diagnostic","94 - diabetes mellitus","2014-01-30",0,"Sensitivity"
"47","66A2.00","Read","Follow-up diabetic assessment","diagnostic","94 - diabetes mellitus","2014-01-30",0,"Sensitivity"
"48","66A3.00","Read","Diabetic on diet only","diagnostic","94 - diabetes mellitus","2014-01-30",0,"Main"
"49","66A4.00","Read","Diabetic on oral treatment","diagnostic","94 - diabetes mellitus","2014-01-30",0,"Main"
"50","66A5.00","Read","Diabetic on insulin","diagnostic","94 - diabetes mellitus","2014-01-30",0,"Main"
"51","66A6.00","Read","Last hypo. attack","diagnostic","94 - diabetes mellitus","2014-01-30",0,"Sensitivity"
"52","66A7.00","Read","Frequency of hypo. attacks","diagnostic","94 - diabetes mellitus","2014-01-30",0,"Sensitivity"
"53","66A7000","Read","Frequency of hospital treated hypoglycaemia","diagnostic","94 - diabetes mellitus","2014-01-30",0,"Sensitivity"
"54","66A7100","Read","Frequency of GP or paramedic treated hypoglycaemia","diagnostic","94 - diabetes mellitus","2014-01-30",0,"Sensitivity"
"55","66A8.00","Read","Has seen dietician - diabetes","diagnostic","94 - diabetes mellitus","2014-01-30",0,"Sensitivity"
"56","66A9.00","Read","Understands diet - diabetes","diagnostic","94 - diabetes mellitus","2014-01-30",0,"Sensitivity"
"57","66Aa.00","Read","Diabetic diet - poor compliance","diagnostic","94 - diabetes mellitus","2014-01-30",0,"Sensitivity"
"58","66AA.11","Read","Injection sites - diabetic","diagnostic","94 - diabetes mellitus","2014-01-30",0,"Sensitivity"
"59","66Ab.00","Read","Diabetic foot examination","diagnostic","94 - diabetes mellitus","2014-01-30",0,"Sensitivity"
"60","66Ac.00","Read","Diabetic peripheral neuropathy screening","diagnostic","94 - diabetes mellitus","2014-01-30",0,"Sensitivity"
"61","66Ad.00","Read","Hypoglycaemic attack requiring 3rd party assistance","diagnostic","94 - diabetes mellitus","2014-01-30",0,"Sensitivity"
"62","66AD.00","Read","Fundoscopy - diabetic check","diagnostic","94 - diabetes mellitus","2014-01-30",0,"Sensitivity"
"63","66AG.00","Read","Diabetic drug side effects","diagnostic","94 - diabetes mellitus","2014-01-30",0,"Sensitivity"
"64","66Ah.00","Read","Insulin needles changed for each injection","diagnostic","94 - diabetes mellitus","2014-01-30",0,"Sensitivity"
"65","66AH.00","Read","Diabetic treatment changed","diagnostic","94 - diabetes mellitus","2014-01-30",0,"Sensitivity"
"66","66AH000","Read","Conversion to insulin","diagnostic","94 - diabetes mellitus","2014-01-30",0,"Sensitivity"
"67","66Ai.00","Read","Diabetic 6 month review","diagnostic","94 - diabetes mellitus","2014-01-30",0,"Sensitivity"
"68","66AI.00","Read","Diabetic - good control","diagnostic","94 - diabetes mellitus","2014-01-30",0,"Main"
"69","66Aj.00","Read","Insulin needles changed less than once a day","diagnostic","94 - diabetes mellitus","2014-01-30",0,"Sensitivity"
"70","66AJ.00","Read","Diabetic - poor control","diagnostic","94 - diabetes mellitus","2014-01-30",0,"Main"
"71","66AJ000","Read","Chronic hyperglycaemia","diagnostic","94 - diabetes mellitus","2014-01-30",0,"Sensitivity"
"72","66AJ100","Read","Brittle diabetes","diagnostic","94 - diabetes mellitus","2014-01-30",0,"Main"
"73","66AJ.11","Read","Unstable diabetes","diagnostic","94 - diabetes mellitus","2014-01-30",0,"Main"
"74","66AJ200","Read","Loss of hypoglycaemic warning","diagnostic","94 - diabetes mellitus","2014-01-30",0,"Sensitivity"
"75","66AJ300","Read","Recurrent severe hypos","diagnostic","94 - diabetes mellitus","2014-01-30",0,"Sensitivity"
"76","66AJz00","Read","Diabetic - poor control NOS","diagnostic","94 - diabetes mellitus","2014-01-30",0,"Main"
"77","66Ak.00","Read","Diabetic monitoring - lower risk albumin excretion","diagnostic","94 - diabetes mellitus","2014-01-30",0,"Sensitivity"
"78","66AK.00","Read","Diabetic - cooperative patient","diagnostic","94 - diabetes mellitus","2014-01-30",0,"Main"
"79","66Al.00","Read","Diabetic monitoring - higher risk albumin excretion","diagnostic","94 - diabetes mellitus","2014-01-30",0,"Sensitivity"
"80","66AL.00","Read","Diabetic-uncooperative patient","diagnostic","94 - diabetes mellitus","2014-01-30",0,"Main"
"81","66AM.00","Read","Diabetic - follow-up default","diagnostic","94 - diabetes mellitus","2014-01-30",0,"Sensitivity"
"82","66An.00","Read","Diabetes type 1 review","diagnostic","94 - diabetes mellitus","2014-01-30",0,"Sensitivity"
"83","66AN.00","Read","Date diabetic treatment start","diagnostic","94 - diabetes mellitus","2014-01-30",0,"Sensitivity"
"84","66Ao.00","Read","Diabetes type 2 review","diagnostic","94 - diabetes mellitus","2014-01-30",0,"Sensitivity"
"85","66AP.00","Read","Diabetes: practice programme","diagnostic","94 - diabetes mellitus","2014-01-30",0,"Sensitivity"
"86","66AQ.00","Read","Diabetes: shared care programme","diagnostic","94 - diabetes mellitus","2014-01-30",0,"Sensitivity"
"87","66AR.00","Read","Diabetes management plan given","diagnostic","94 - diabetes mellitus","2014-01-30",0,"Sensitivity"
"88","66AS.00","Read","Diabetic annual review","diagnostic","94 - diabetes mellitus","2014-01-30",0,"Sensitivity"
"89","66AT.00","Read","Annual diabetic blood test","diagnostic","94 - diabetes mellitus","2014-01-30",0,"Sensitivity"
"90","66AU.00","Read","Diabetes care by hospital only","diagnostic","94 - diabetes mellitus","2014-01-30",0,"Sensitivity"
"91","66AV.00","Read","Diabetic on insulin and oral treatment","diagnostic","94 - diabetes mellitus","2014-01-30",0,"Main"
"92","66AW.00","Read","Diabetic foot risk assessment","diagnostic","94 - diabetes mellitus","2014-01-30",0,"Sensitivity"
"93","66AX.00","Read","Diabetes: shared care in pregnancy - diabetol and obstet","diagnostic","94 - diabetes mellitus","2014-01-30",0,"Sensitivity"
"94","66AY.00","Read","Diabetic diet - good compliance","diagnostic","94 - diabetes mellitus","2014-01-30",0,"Sensitivity"
"95","66AZ.00","Read","Diabetic monitoring NOS","diagnostic","94 - diabetes mellitus","2014-01-30",0,"Sensitivity"
"96","68A7.00","Read","Diabetic retinopathy screening","diagnostic","94 - diabetes mellitus","2014-01-30",0,"Sensitivity"
"97","68A9.00","Read","Diabetic retinopathy screening offered","diagnostic","94 - diabetes mellitus","2014-01-30",0,"Sensitivity"
"98","68AB.00","Read","Diabetic digital retinopathy screening offered","diagnostic","94 - diabetes mellitus","2014-01-30",0,"Sensitivity"
"99","7276.00","Read","Pan retinal photocoagulation for diabetes","diagnostic","94 - diabetes mellitus","2014-01-30",0,"Sensitivity"
"100","8A12.00","Read","Diabetic crisis monitoring","diagnostic","94 - diabetes mellitus","2014-01-30",0,"Sensitivity"
"101","8A13.00","Read","Diabetic stabilisation","diagnostic","94 - diabetes mellitus","2014-01-30",0,"Sensitivity"
"102","8B3l.00","Read","Diabetes medication review","diagnostic","94 - diabetes mellitus","2014-01-30",0,"Sensitivity"
"103","8BL2.00","Read","Patient on maximal tolerated therapy for diabetes","diagnostic","94 - diabetes mellitus","2014-01-30",0,"Sensitivity"
"104","8H2J.00","Read","Admit diabetic emergency","diagnostic","94 - diabetes mellitus","2014-01-30",0,"Sensitivity"
"105","8H3O.00","Read","Non-urgent diabetic admission","diagnostic","94 - diabetes mellitus","2014-01-30",0,"Sensitivity"
"106","8H4F.00","Read","Referral to diabetologist","diagnostic","94 - diabetes mellitus","2014-01-30",0,"Sensitivity"
"107","8H7C.00","Read","Refer; diabetic liaison nurse","diagnostic","94 - diabetes mellitus","2014-01-30",0,"Sensitivity"
