"","code","coding_system","description","entity","list_name","upload_date","BNF_header","BNF_code","drug_substance_name"
"1",236001,"GPRD_product_code","ESTRADIOL + LEVONORGESTREL - TWICE WEEKLY patch 50micrograms + 20micrograms/24 hours","drug","106 - hormone replacement drugs","2014-01-30",NA,6040101,NA
"2",397009,"GPRD_product_code","ETHINYLESTRADIOL tabs 10micrograms [UCB]","drug","106 - hormone replacement drugs","2014-01-30",NA,6040101,NA
"3",397010,"GPRD_product_code","ETHINYLESTRADIOL tabs 50micrograms [UCB]","drug","106 - hormone replacement drugs","2014-01-30",NA,6040101,NA
"4",397011,"GPRD_product_code","ETHINYLESTRADIOL tabs 1mg [UCB]","drug","106 - hormone replacement drugs","2014-01-30",NA,6040101,NA
"5",428001,"GPRD_product_code","HARMOGEN tabs 1.5mg","drug","106 - hormone replacement drugs","2014-01-30",NA,6040101,NA
"6",704001,"GPRD_product_code","OVESTIN tabs 250micrograms","drug","106 - hormone replacement drugs","2014-01-30",NA,6040101,NA
"7",704002,"GPRD_product_code","OVESTIN tabs 1mg","drug","106 - hormone replacement drugs","2014-01-30",NA,6040101,NA
"8",779001,"GPRD_product_code","PREMARIN tabs 625micrograms","drug","106 - hormone replacement drugs","2014-01-30",NA,6040101,NA
"9",779002,"GPRD_product_code","PREMARIN tabs 1.25mg","drug","106 - hormone replacement drugs","2014-01-30",NA,6040101,NA
"10",779003,"GPRD_product_code","PREMARIN tabs 2.5mg","drug","106 - hormone replacement drugs","2014-01-30",NA,6040101,NA
"11",780001,"GPRD_product_code","PREMPAK 0.625 tabs","drug","106 - hormone replacement drugs","2014-01-30",NA,6040101,NA
"12",1088001,"GPRD_product_code","ESTRADIOL implant 25mg","drug","106 - hormone replacement drugs","2014-01-30",NA,6040101,NA
"13",1088002,"GPRD_product_code","ESTRADIOL implant 50mg","drug","106 - hormone replacement drugs","2014-01-30",NA,6040101,NA
"14",1088003,"GPRD_product_code","ESTRADIOL implant 100mg","drug","106 - hormone replacement drugs","2014-01-30",NA,6040101,NA
"15",1102001,"GPRD_product_code","MENOPHASE tabs","drug","106 - hormone replacement drugs","2014-01-30",NA,6040101,NA
"16",1107001,"GPRD_product_code","PREMPAK -C 0.625 tabs","drug","106 - hormone replacement drugs","2014-01-30",NA,6040101,NA
"17",1159001,"GPRD_product_code","PREMPAK 1.25 tabs","drug","106 - hormone replacement drugs","2014-01-30",NA,6040101,NA
"18",1160001,"GPRD_product_code","PREMPAK -C 1.25 tabs","drug","106 - hormone replacement drugs","2014-01-30",NA,6040101,NA
"19",1271001,"GPRD_product_code","MIXOGEN tabs","drug","106 - hormone replacement drugs","2014-01-30",NA,6040101,NA
"20",1328001,"GPRD_product_code","BENZTRONE inj 1mg/ml","drug","106 - hormone replacement drugs","2014-01-30",NA,6040101,NA
"21",1328002,"GPRD_product_code","BENZTRONE inj 5mg/ml","drug","106 - hormone replacement drugs","2014-01-30",NA,6040101,NA
"22",1531009,"GPRD_product_code","ESTRADIOL implant 25mg [ORGANON]","drug","106 - hormone replacement drugs","2014-01-30",NA,6040101,NA
"23",1531010,"GPRD_product_code","ESTRADIOL implant 50mg [ORGANON]","drug","106 - hormone replacement drugs","2014-01-30",NA,6040101,NA
"24",1531011,"GPRD_product_code","ESTRADIOL implant 100mg [ORGANON]","drug","106 - hormone replacement drugs","2014-01-30",NA,6040101,NA
"25",2006001,"GPRD_product_code","ETHINYLESTRADIOL tabs 10micrograms","drug","106 - hormone replacement drugs","2014-01-30",NA,6040101,NA
"26",2006002,"GPRD_product_code","ETHINYLESTRADIOL tabs 20micrograms","drug","106 - hormone replacement drugs","2014-01-30",NA,6040101,NA
"27",2052007,"GPRD_product_code","PREMARIN 0.625MG/NORGESTREL 0.15MG MG TAB","drug","106 - hormone replacement drugs","2014-01-30",NA,0,NA
"28",2234001,"GPRD_product_code","CLIMAGEST tabs 1mg","drug","106 - hormone replacement drugs","2014-01-30",NA,6040101,NA
"29",2234002,"GPRD_product_code","CLIMAGEST tabs 2mg","drug","106 - hormone replacement drugs","2014-01-30",NA,6040101,NA
"30",2237001,"GPRD_product_code","ZUMENON tabs 2mg","drug","106 - hormone replacement drugs","2014-01-30",NA,6040101,NA
