"","code","coding_system","description","entity","list_name","upload_date","QOF","analysis"
"1","C03..00","Read","Congenital hypothyroidism","diagnostic","87 - hypothyroidism","2014-01-30",1,"Main"
"2","C03y.00","Read","Other specified congenital hypothyroidism","diagnostic","87 - hypothyroidism","2014-01-30",1,"Main"
"3","C03y000","Read","Congenital hypothyroidism with diffuse goitre","diagnostic","87 - hypothyroidism","2014-01-30",1,"Main"
"4","C03y100","Read","Congenital hypothyroidism without goitre","diagnostic","87 - hypothyroidism","2014-01-30",1,"Main"
"5","C03z.00","Read","Congenital hypothyroidism NOS","diagnostic","87 - hypothyroidism","2014-01-30",1,"Main"
"6","C04..00","Read","Acquired hypothyroidism","diagnostic","87 - hypothyroidism","2014-01-30",1,"Main"
"7","C040.00","Read","Postsurgical hypothyroidism","diagnostic","87 - hypothyroidism","2014-01-30",1,"Main"
"8","C040.11","Read","Post ablative hypothyroidism","diagnostic","87 - hypothyroidism","2014-01-30",1,"Main"
"9","C041.00","Read","Other postablative hypothyroidism","diagnostic","87 - hypothyroidism","2014-01-30",1,"Main"
"10","C041000","Read","Irradiation hypothyroidism","diagnostic","87 - hypothyroidism","2014-01-30",1,"Main"
"11","C04..11","Read","Myxoedema","diagnostic","87 - hypothyroidism","2014-01-30",1,"Main"
"12","C04..12","Read","Thyroid deficiency","diagnostic","87 - hypothyroidism","2014-01-30",1,"Main"
"13","C04..13","Read","Hypothyroidism","diagnostic","87 - hypothyroidism","2014-01-30",1,"Main"
"14","C041z00","Read","Postablative hypothyroidism NOS","diagnostic","87 - hypothyroidism","2014-01-30",1,"Main"
"15","C042.00","Read","Iodine hypothyroidism","diagnostic","87 - hypothyroidism","2014-01-30",1,"Main"
"16","C043.00","Read","Other iatrogenic hypothyroidism","diagnostic","87 - hypothyroidism","2014-01-30",1,"Main"
"17","C043000","Read","Hypothyroidism resulting from para-aminosalicylic acid","diagnostic","87 - hypothyroidism","2014-01-30",1,"Main"
"18","C043100","Read","Hypothyroidism resulting from phenylbutazone","diagnostic","87 - hypothyroidism","2014-01-30",1,"Main"
"19","C043200","Read","Hypothyroidism resulting from resorcinol","diagnostic","87 - hypothyroidism","2014-01-30",1,"Main"
"20","C043z00","Read","Iatrogenic hypothyroidism NOS","diagnostic","87 - hypothyroidism","2014-01-30",1,"Main"
"21","C044.00","Read","Postinfectious hypothyroidism","diagnostic","87 - hypothyroidism","2014-01-30",1,"Main"
"22","C045.00","Read","Acquired atrophy of thyroid","diagnostic","87 - hypothyroidism","2014-01-30",1,"Main"
"23","C046.00","Read","Autoimmune myxoedema","diagnostic","87 - hypothyroidism","2014-01-30",1,"Main"
"24","C04y.00","Read","Other acquired hypothyroidism","diagnostic","87 - hypothyroidism","2014-01-30",1,"Main"
"25","C04z.00","Read","Hypothyroidism NOS","diagnostic","87 - hypothyroidism","2014-01-30",1,"Main"
"26","C04z000","Read","Premature puberty due to hypothyroidism","diagnostic","87 - hypothyroidism","2014-01-30",1,"Main"
"27","C04z100","Read","Myxoedema coma","diagnostic","87 - hypothyroidism","2014-01-30",1,"Main"
"28","C04z.11","Read","Pretibial myxoedema - hypothyroid","diagnostic","87 - hypothyroidism","2014-01-30",1,"Main"
"29","C04z.12","Read","Thyroid insufficiency","diagnostic","87 - hypothyroidism","2014-01-30",1,"Main"
"30","C04z.13","Read","Hypothyroid goitre; acquired","diagnostic","87 - hypothyroidism","2014-01-30",1,"Main"
"31","Cyu1100","Read","[X]Other sp cified hypothyroidism","diagnostic","87 - hypothyroidism","2014-01-30",1,"Main"
"32","F381400","Read","Myasthenic syndrome due to hypothyroidism","diagnostic","87 - hypothyroidism","2014-01-30",0,"Sensitivity"
"33","f921.00","Read","THYROXINE","diagnostic","87 - hypothyroidism","2014-01-30",1,"Main"
"34","f922.00","Read","THYROXINE tabs 50micrograms","diagnostic","87 - hypothyroidism","2014-01-30",1,"Main"
"35","f923.00","Read","THYROXINE tabs 100micrograms","diagnostic","87 - hypothyroidism","2014-01-30",1,"Main"
"36","243","OXMIS","HYPOTHYROIDISM CONGENITAL","diagnostic","87 - hypothyroidism","2014-01-30",1,"Main"
"37","244 AC","OXMIS","HYPOTHYROIDISM ACQUIRED","diagnostic","87 - hypothyroidism","2014-01-30",1,"Main"
"38","244 AG","OXMIS","HYPOTHYROIDISM COMPENSATED","diagnostic","87 - hypothyroidism","2014-01-30",1,"Main"
