"","code","coding_system","description","entity","list_name","upload_date","BNF_header","BNF_code","drug_substance_name"
"1",465001,"GPRD_product_code","INFLUVAC SUB-UNIT vaccine","drug","107 - Influenza immunisation drugs","2014-01-30",NA,14040900,NA
"2",1401001,"GPRD_product_code","MASTAFLU vaccine","drug","107 - Influenza immunisation drugs","2014-01-30",NA,14040900,NA
"3",2187001,"GPRD_product_code","FLUZONE vaccine","drug","107 - Influenza immunisation drugs","2014-01-30",NA,14040900,NA
"4",2699001,"GPRD_product_code","FLUVIRIN vaccine","drug","107 - Influenza immunisation drugs","2014-01-30",NA,14040900,NA
"5",3431009,"GPRD_product_code","INFLUENZA INACTIVATED SPLIT VIRION vaccine [EVANS VAC]","drug","107 - Influenza immunisation drugs","2014-01-30",NA,14040900,NA
"6",3789009,"GPRD_product_code","INFLUENZA INACTIVATED SPLIT VIRION vaccine [SAN PAST]","drug","107 - Influenza immunisation drugs","2014-01-30",NA,14040900,NA
"7",3861009,"GPRD_product_code","INFLUENZA INACTIVATED SURFACE ANTIGEN vaccine [EVANS VAC]","drug","107 - Influenza immunisation drugs","2014-01-30",NA,14040900,NA
"8",5380001,"GPRD_product_code","INFLUENZA INACTIVATED SURFACE ANTIGEN vaccine","drug","107 - Influenza immunisation drugs","2014-01-30",NA,14040900,NA
"9",5882001,"GPRD_product_code","MFV-JECT vaccine","drug","107 - Influenza immunisation drugs","2014-01-30",NA,14040900,NA
"10",6092009,"GPRD_product_code","INFLUENZA INACTIVATED SPLIT VIRION vaccine [CHIRON]","drug","107 - Influenza immunisation drugs","2014-01-30",NA,14040900,NA
"11",6235009,"GPRD_product_code","INFLUENZA INACTIVATED SPLIT VIRION paed vac [SAN PAST]","drug","107 - Influenza immunisation drugs","2014-01-30",NA,14040900,NA
"12",7313001,"GPRD_product_code","FLUARIX vaccine","drug","107 - Influenza immunisation drugs","2014-01-30",NA,14040900,NA
"13",8968001,"GPRD_product_code","AGRIPPAL vaccine","drug","107 - Influenza immunisation drugs","2014-01-30",NA,14040900,NA
"14",10431001,"GPRD_product_code","INFLUENZA INACTIVATED SPLIT VIRION vaccine","drug","107 - Influenza immunisation drugs","2014-01-30",NA,14040900,NA
"15",10433001,"GPRD_product_code","INFLUENZA INACTIVATED SPLIT VIRION vaccine","drug","107 - Influenza immunisation drugs","2014-01-30",NA,14040900,NA
"16",10905001,"GPRD_product_code","BEGRIVAC vaccine","drug","107 - Influenza immunisation drugs","2014-01-30",NA,14040900,NA
"17",11288001,"GPRD_product_code","INFLEXAL V vaccine","drug","107 - Influenza immunisation drugs","2014-01-30",NA,14040900,NA
"18",12770001,"GPRD_product_code","INVIVAC vaccine","drug","107 - Influenza immunisation drugs","2014-01-30",NA,14040900,NA
"19",13403001,"GPRD_product_code","ENZIRA vaccine","drug","107 - Influenza immunisation drugs","2014-01-30",NA,14040900,NA
"20",13457001,"GPRD_product_code","INFLUENZA INACTIVATED SPLIT VIRION paed vac","drug","107 - Influenza immunisation drugs","2014-01-30",NA,14040900,NA
"21",14256001,"GPRD_product_code","VIROFLU vaccine","drug","107 - Influenza immunisation drugs","2014-01-30",NA,14040900,NA
"22",14264001,"GPRD_product_code","IMUVAC vaccine","drug","107 - Influenza immunisation drugs","2014-01-30",NA,14040900,NA
