"","code","coding_system","description","entity","list_name","upload_date","QOF","analysis"
"1","65E..00","Read","Influenza vaccination","immunisation","100 - Influenza immunisation","2014-01-30",1,"Main"
"2","9OX8.00","Read","Has influenza vaccination at work","immunisation","100 - Influenza immunisation","2014-01-30",0,"Sensitivity"
"3","n473.00","Read","","immunisation","100 - Influenza immunisation","2014-01-30",1,"Main"
"4","n477.00","Read","","immunisation","100 - Influenza immunisation","2014-01-30",1,"Main"
"5","n47d.00","Read","","immunisation","100 - Influenza immunisation","2014-01-30",1,"Main"
"6","U60K400","Read","[X]Influenza vaccine causing adverse effects therapeutic use","immunisation","100 - Influenza immunisation","2014-01-30",0,"Main"
"7","ZV04800","Read","[V]Influenza vaccination","immunisation","100 - Influenza immunisation","2014-01-30",0,"Main"
"8","ZV04811","Read","[V]Flu - influenza vaccination","immunisation","100 - Influenza immunisation","2014-01-30",0,"Main"
"9","INFLUV1","OXMIS","1st INFLUENZA IMMUNISATION","immunisation","100 - Influenza immunisation","2014-01-30",0,"Main"
"10","INFLUV2","OXMIS","2nd INFLUENZA IMMUNISATION","immunisation","100 - Influenza immunisation","2014-01-30",0,"Main"
"11","INFLUV3","OXMIS","3rd INFLUENZA IMMUNISATION","immunisation","100 - Influenza immunisation","2014-01-30",0,"Main"
"12","Y42  IV","OXMIS","INFLUENZA VACCINE GIVEN","immunisation","100 - Influenza immunisation","2014-01-30",0,"Main"
