"","code","coding_system","description","entity","list_name","upload_date","BNF_header","BNF_code","drug_substance_name"
"1",9001,"GPRD_product_code",NA,"drug","112 - Oral decongestants","2014-01-30",NA,3100000,NA
"2",9002,"GPRD_product_code",NA,"drug","112 - Oral decongestants","2014-01-30",NA,3100000,NA
"3",10001,"GPRD_product_code",NA,"drug","112 - Oral decongestants","2014-01-30",NA,3100000,NA
"4",186001,"GPRD_product_code",NA,"drug","112 - Oral decongestants","2014-01-30",NA,3100000,NA
"5",186002,"GPRD_product_code",NA,"drug","112 - Oral decongestants","2014-01-30",NA,3100000,NA
"6",246001,"GPRD_product_code",NA,"drug","112 - Oral decongestants","2014-01-30",NA,3100000,NA
"7",902001,"GPRD_product_code",NA,"drug","112 - Oral decongestants","2014-01-30",NA,3100000,NA
"8",902002,"GPRD_product_code",NA,"drug","112 - Oral decongestants","2014-01-30",NA,3100000,NA
"9",1320001,"GPRD_product_code",NA,"drug","112 - Oral decongestants","2014-01-30",NA,3100000,NA
"10",1359001,"GPRD_product_code",NA,"drug","112 - Oral decongestants","2014-01-30",NA,3100000,NA
"11",1462001,"GPRD_product_code",NA,"drug","112 - Oral decongestants","2014-01-30",NA,3100000,NA
"12",1765001,"GPRD_product_code",NA,"drug","112 - Oral decongestants","2014-01-30",NA,3100000,NA
"13",2481001,"GPRD_product_code",NA,"drug","112 - Oral decongestants","2014-01-30",NA,3100000,NA
"14",2484001,"GPRD_product_code",NA,"drug","112 - Oral decongestants","2014-01-30",NA,3100000,NA
"15",2571001,"GPRD_product_code",NA,"drug","112 - Oral decongestants","2014-01-30",NA,3100000,NA
"16",3143007,"GPRD_product_code",NA,"drug","112 - Oral decongestants","2014-01-30",NA,0,NA
"17",3167007,"GPRD_product_code",NA,"drug","112 - Oral decongestants","2014-01-30",NA,0,NA
"18",3581007,"GPRD_product_code",NA,"drug","112 - Oral decongestants","2014-01-30",NA,0,NA
"19",4010001,"GPRD_product_code",NA,"drug","112 - Oral decongestants","2014-01-30",NA,3100000,NA
"20",4629001,"GPRD_product_code",NA,"drug","112 - Oral decongestants","2014-01-30",NA,3100000,NA
"21",4629002,"GPRD_product_code",NA,"drug","112 - Oral decongestants","2014-01-30",NA,3100000,NA
"22",4629003,"GPRD_product_code",NA,"drug","112 - Oral decongestants","2014-01-30",NA,3100000,NA
"23",4631001,"GPRD_product_code",NA,"drug","112 - Oral decongestants","2014-01-30",NA,3100000,NA
"24",4632001,"GPRD_product_code",NA,"drug","112 - Oral decongestants","2014-01-30",NA,3100000,NA
"25",5437001,"GPRD_product_code",NA,"drug","112 - Oral decongestants","2014-01-30",NA,3100000,NA
"26",5437002,"GPRD_product_code",NA,"drug","112 - Oral decongestants","2014-01-30",NA,3100000,NA
"27",5611001,"GPRD_product_code",NA,"drug","112 - Oral decongestants","2014-01-30",NA,3100000,NA
"28",5611002,"GPRD_product_code",NA,"drug","112 - Oral decongestants","2014-01-30",NA,3100000,NA
"29",5686001,"GPRD_product_code",NA,"drug","112 - Oral decongestants","2014-01-30",NA,3100000,NA
"30",5689001,"GPRD_product_code",NA,"drug","112 - Oral decongestants","2014-01-30",NA,3100000,NA
"31",5689002,"GPRD_product_code",NA,"drug","112 - Oral decongestants","2014-01-30",NA,3100000,NA
"32",5689003,"GPRD_product_code",NA,"drug","112 - Oral decongestants","2014-01-30",NA,3100000,NA
"33",5691001,"GPRD_product_code",NA,"drug","112 - Oral decongestants","2014-01-30",NA,3100000,NA
"34",5691002,"GPRD_product_code",NA,"drug","112 - Oral decongestants","2014-01-30",NA,3100000,NA
"35",5706001,"GPRD_product_code",NA,"drug","112 - Oral decongestants","2014-01-30",NA,3100000,NA
"36",5909001,"GPRD_product_code",NA,"drug","112 - Oral decongestants","2014-01-30",NA,3100000,NA
"37",6643001,"GPRD_product_code",NA,"drug","112 - Oral decongestants","2014-01-30",NA,3100000,NA
"38",6699007,"GPRD_product_code",NA,"drug","112 - Oral decongestants","2014-01-30",NA,0,NA
"39",7354001,"GPRD_product_code",NA,"drug","112 - Oral decongestants","2014-01-30",NA,3100000,NA
"40",7361001,"GPRD_product_code",NA,"drug","112 - Oral decongestants","2014-01-30",NA,3100000,NA
"41",7361002,"GPRD_product_code",NA,"drug","112 - Oral decongestants","2014-01-30",NA,3100000,NA
"42",7712001,"GPRD_product_code",NA,"drug","112 - Oral decongestants","2014-01-30",NA,3100000,NA
"43",7921001,"GPRD_product_code",NA,"drug","112 - Oral decongestants","2014-01-30",NA,3100000,NA
"44",8019001,"GPRD_product_code",NA,"drug","112 - Oral decongestants","2014-01-30",NA,3100000,NA
"45",8082001,"GPRD_product_code",NA,"drug","112 - Oral decongestants","2014-01-30",NA,3100000,NA
"46",8528001,"GPRD_product_code",NA,"drug","112 - Oral decongestants","2014-01-30",NA,3100000,NA
"47",8794001,"GPRD_product_code",NA,"drug","112 - Oral decongestants","2014-01-30",NA,3100000,NA
"48",9169001,"GPRD_product_code",NA,"drug","112 - Oral decongestants","2014-01-30",NA,3100000,NA
"49",9278001,"GPRD_product_code",NA,"drug","112 - Oral decongestants","2014-01-30",NA,3100000,NA
"50",9287001,"GPRD_product_code",NA,"drug","112 - Oral decongestants","2014-01-30",NA,3100000,NA
"51",9616001,"GPRD_product_code",NA,"drug","112 - Oral decongestants","2014-01-30",NA,3100000,NA
"52",10411001,"GPRD_product_code",NA,"drug","112 - Oral decongestants","2014-01-30",NA,3100000,NA
"53",10564001,"GPRD_product_code",NA,"drug","112 - Oral decongestants","2014-01-30",NA,3100000,NA
"54",10732001,"GPRD_product_code",NA,"drug","112 - Oral decongestants","2014-01-30",NA,3100000,NA
"55",10820001,"GPRD_product_code",NA,"drug","112 - Oral decongestants","2014-01-30",NA,3100000,NA
"56",10890001,"GPRD_product_code",NA,"drug","112 - Oral decongestants","2014-01-30",NA,3100000,NA
"57",10890002,"GPRD_product_code",NA,"drug","112 - Oral decongestants","2014-01-30",NA,3100000,NA
"58",10929001,"GPRD_product_code",NA,"drug","112 - Oral decongestants","2014-01-30",NA,3100000,NA
"59",10972001,"GPRD_product_code",NA,"drug","112 - Oral decongestants","2014-01-30",NA,3100000,NA
"60",11468001,"GPRD_product_code",NA,"drug","112 - Oral decongestants","2014-01-30",NA,3100000,NA
"61",11596001,"GPRD_product_code",NA,"drug","112 - Oral decongestants","2014-01-30",NA,3100000,NA
"62",11618001,"GPRD_product_code",NA,"drug","112 - Oral decongestants","2014-01-30",NA,3100000,NA
"63",12177001,"GPRD_product_code",NA,"drug","112 - Oral decongestants","2014-01-30",NA,3100000,NA
"64",12886001,"GPRD_product_code",NA,"drug","112 - Oral decongestants","2014-01-30",NA,3100000,NA
"65",12887001,"GPRD_product_code",NA,"drug","112 - Oral decongestants","2014-01-30",NA,3100000,NA
"66",14214001,"GPRD_product_code",NA,"drug","112 - Oral decongestants","2014-01-30",NA,3100000,NA
