"","code","coding_system","description","entity","list_name","upload_date","analysis"
"1","585O.00","Read","Quantitative ultrasound scan of heel - result osteoporotic","diagnostic","93 - osteoporosis","2014-01-30","Main"
"2","58E4.00","Read","Forearm DXA scan result osteoporotic","diagnostic","93 - osteoporosis","2014-01-30","Main"
"3","58EA.00","Read","Heel DXA scan result osteoporotic","diagnostic","93 - osteoporosis","2014-01-30","Main"
"4","58EG.00","Read","Hip DXA scan result osteoporotic","diagnostic","93 - osteoporosis","2014-01-30","Main"
"5","58EM.00","Read","Lumbar DXA scan result osteoporotic","diagnostic","93 - osteoporosis","2014-01-30","Main"
"6","66a..00","Read","Osteoporosis monitoring","diagnostic","93 - osteoporosis","2014-01-30","Sensitivity"
"7","66a2.00","Read","Osteoporosis treatment started","diagnostic","93 - osteoporosis","2014-01-30","Sensitivity"
"8","66a3.00","Read","Osteoporosis treatment stopped","diagnostic","93 - osteoporosis","2014-01-30","Sensitivity"
"9","66a4.00","Read","Osteoporosis treatment changed","diagnostic","93 - osteoporosis","2014-01-30","Sensitivity"
"10","66a6.00","Read","Osteoporosis - dietary advice","diagnostic","93 - osteoporosis","2014-01-30","Sensitivity"
"11","66a7.00","Read","Osteoporosis - dietary assessment","diagnostic","93 - osteoporosis","2014-01-30","Sensitivity"
"12","66a8.00","Read","Osteoporosis - exercise advice","diagnostic","93 - osteoporosis","2014-01-30","Sensitivity"
"13","66a9.00","Read","Osteoporosis - falls prevention","diagnostic","93 - osteoporosis","2014-01-30","Sensitivity"
"14","66aA.00","Read","Osteoporosis - treatment response","diagnostic","93 - osteoporosis","2014-01-30","Sensitivity"
"15","66aE.00","Read","Refer to osteoporosis specialist","diagnostic","93 - osteoporosis","2014-01-30","Sensitivity"
"16","7230A","Read","OSTEOPOROSIS","diagnostic","93 - osteoporosis","2014-01-30","Main"
"17","7230B","Read","OSTEOPOROSIS SENILIS","diagnostic","93 - osteoporosis","2014-01-30","Main"
"18","7230D","Read","VERTEBRAL OSTEOPOROSIS","diagnostic","93 - osteoporosis","2014-01-30","Main"
"19","7230PM","Read","OSTEOPOROSIS POSTMENOPAUSAL","diagnostic","93 - osteoporosis","2014-01-30","Main"
"20","7230PT","Read","OSTEOPOROSIS POST-TRAUMATIC","diagnostic","93 - osteoporosis","2014-01-30","Main"
"21","8HTS.00","Read","Referral to osteoporosis clinic","diagnostic","93 - osteoporosis","2014-01-30","Sensitivity"
"22","9N0h.00","Read","Seen in osteoporosis clinic","diagnostic","93 - osteoporosis","2014-01-30","Sensitivity"
"23","9Od0.00","Read","Attends osteoporosis monitoring","diagnostic","93 - osteoporosis","2014-01-30","Sensitivity"
"24","N330.00","Read","Osteoporosis","diagnostic","93 - osteoporosis","2014-01-30","Main"
"25","N330000","Read","Osteoporosis; unspecified","diagnostic","93 - osteoporosis","2014-01-30","Main"
"26","N330100","Read","Senile osteoporosis","diagnostic","93 - osteoporosis","2014-01-30","Main"
"27","N330200","Read","Postmenopausal osteoporosis","diagnostic","93 - osteoporosis","2014-01-30","Main"
"28","N330300","Read","Idiopathic osteoporosis","diagnostic","93 - osteoporosis","2014-01-30","Main"
"29","N330400","Read","Dissuse osteoporosis","diagnostic","93 - osteoporosis","2014-01-30","Main"
