"","code","coding_system","description","entity","list_name","upload_date","analysis"
"1","A552.00","Read","Postmeasles otitis media","diagnostic","78 - otitis media","2014-01-30","Main"
"2","F51..00","Read","Nonsuppurative otitis media + eustachian tube disorders","diagnostic","78 - otitis media","2014-01-30","Main"
"3","F510.00","Read","Acute non suppurative otitis media","diagnostic","78 - otitis media","2014-01-30","Main"
"4","F510000","Read","Acute otitis media with effusion","diagnostic","78 - otitis media","2014-01-30","Main"
"5","F510011","Read","Acute secretory otitis media","diagnostic","78 - otitis media","2014-01-30","Main"
"6","F510100","Read","Acute serous otitis media","diagnostic","78 - otitis media","2014-01-30","Main"
"7","F510200","Read","Acute mucoid otitis media","diagnostic","78 - otitis media","2014-01-30","Main"
"8","F510300","Read","Acute sanguinous otitis media","diagnostic","78 - otitis media","2014-01-30","Main"
"9","F510400","Read","Acute allergic serous otitis media","diagnostic","78 - otitis media","2014-01-30","Main"
"10","F510500","Read","Acute allergic mucoid otitis media","diagnostic","78 - otitis media","2014-01-30","Main"
"11","F510600","Read","Acute allergic sanguinous otitis media","diagnostic","78 - otitis media","2014-01-30","Main"
"12","F510z00","Read","Acute nonsuppurative otitis media NOS","diagnostic","78 - otitis media","2014-01-30","Main"
"13","F511.00","Read","Chronic otitis media with effusion; serous","diagnostic","78 - otitis media","2014-01-30","Main"
"14","F511100","Read","Serosanguinous chronic otitis media","diagnostic","78 - otitis media","2014-01-30","Main"
"15","F511.11","Read","Chronic secretory otitis media; serous","diagnostic","78 - otitis media","2014-01-30","Main"
"16","F511z00","Read","Chronic serous otitis media NOS","diagnostic","78 - otitis media","2014-01-30","Main"
"17","F512.00","Read","Chronic otitis media with effusion; mucoid","diagnostic","78 - otitis media","2014-01-30","Main"
"18","F512100","Read","Mucosanguinous chronic otitis media","diagnostic","78 - otitis media","2014-01-30","Main"
"19","F512.12","Read","Chronic secretory otitis media; mucoid","diagnostic","78 - otitis media","2014-01-30","Main"
"20","F512z00","Read","Chronic mucoid otitis media NOS","diagnostic","78 - otitis media","2014-01-30","Main"
"21","F513.00","Read","Chronic otitis media with effusion; other","diagnostic","78 - otitis media","2014-01-30","Main"
"22","F513000","Read","Chronic allergic otitis media","diagnostic","78 - otitis media","2014-01-30","Main"
"23","F513100","Read","Chronic otitis media with effusion; purulent","diagnostic","78 - otitis media","2014-01-30","Main"
"24","F513111","Read","Chronic secretory otitis media; purulent","diagnostic","78 - otitis media","2014-01-30","Main"
"25","F513z00","Read","Other chronic nonsuppurative otitis media NOS","diagnostic","78 - otitis media","2014-01-30","Main"
"26","F514.00","Read","Unspecified nonsuppurative otitis media","diagnostic","78 - otitis media","2014-01-30","Main"
"27","F514000","Read","Allergic otitis media NOS","diagnostic","78 - otitis media","2014-01-30","Main"
"28","F514100","Read","Serous otitis media NOS","diagnostic","78 - otitis media","2014-01-30","Main"
"29","F514200","Read","Catarrhal otitis media NOS","diagnostic","78 - otitis media","2014-01-30","Main"
"30","F514300","Read","Mucoid otitis media NOS","diagnostic","78 - otitis media","2014-01-30","Main"
"31","F514z00","Read","Nonsuppurative otitis media NOS","diagnostic","78 - otitis media","2014-01-30","Main"
"32","F518.00","Read","Chronic otitis media with effusion; unspecified","diagnostic","78 - otitis media","2014-01-30","Main"
"33","F52..00","Read","Suppurative and unspecified otitis media","diagnostic","78 - otitis media","2014-01-30","Main"
"34","F520.00","Read","Acute suppurative otitis media","diagnostic","78 - otitis media","2014-01-30","Main"
"35","F520000","Read","Acute suppurative otitis media tympanic membrane intact","diagnostic","78 - otitis media","2014-01-30","Main"
"36","F520100","Read","Acute suppurative otitis media tympanic membrane ruptured","diagnostic","78 - otitis media","2014-01-30","Main"
"37","F520300","Read","Acute suppurative otitis media due to disease EC","diagnostic","78 - otitis media","2014-01-30","Main"
"38","F520z00","Read","Acute suppurative otitis media NOS","diagnostic","78 - otitis media","2014-01-30","Main"
"39","F521.00","Read","Chronic suppurative otitis media; tubotympanic","diagnostic","78 - otitis media","2014-01-30","Main"
"40","F522.00","Read","Chronic suppurative otitis media; atticoantral","diagnostic","78 - otitis media","2014-01-30","Main"
"41","F523.00","Read","Chronic suppurative otitis media NOS","diagnostic","78 - otitis media","2014-01-30","Main"
"42","F524.00","Read","Purulent otitis media NOS","diagnostic","78 - otitis media","2014-01-30","Main"
"43","F524000","Read","Bilateral suppurative otitis media","diagnostic","78 - otitis media","2014-01-30","Main"
"44","F525.00","Read","Recurrent acute otitis media","diagnostic","78 - otitis media","2014-01-30","Main"
"45","F526.00","Read","Acute left otitis media","diagnostic","78 - otitis media","2014-01-30","Main"
"46","F527.00","Read","Acute right otitis media","diagnostic","78 - otitis media","2014-01-30","Main"
"47","f528.00","Read","Acute bilateral otitis media","diagnostic","78 - otitis media","2014-01-30","Main"
"48","F528.00","Read","Acute bilateral otitis media","diagnostic","78 - otitis media","2014-01-30","Main"
"49","F52z.00","Read","Otitis media NOS","diagnostic","78 - otitis media","2014-01-30","Main"
"50","FyuP000","Read","[X]Other acute nonsuppurative otitis media","diagnostic","78 - otitis media","2014-01-30","Main"
"51","FyuP100","Read","[X]Other chronic nonsuppurative otitis media","diagnostic","78 - otitis media","2014-01-30","Main"
"52","FyuP200","Read","[X]Other chronic suppurative otitis media","diagnostic","78 - otitis media","2014-01-30","Main"
"53","FyuP300","Read","[X]Otitis media in bacterial diseases classified elsewhere","diagnostic","78 - otitis media","2014-01-30","Main"
"54","FyuP400","Read","[X]Otitis media in viral diseases classified elsewhere","diagnostic","78 - otitis media","2014-01-30","Main"
"55","FyuP500","Read","[X]Otitis media in other diseases classified elsewhere","diagnostic","78 - otitis media","2014-01-30","Main"
"56","SN30.11","Read","Aero-otitis media","diagnostic","78 - otitis media","2014-01-30","Main"
"57","3810","OXMIS","OTITIS MEDIA ACUTE","diagnostic","78 - otitis media","2014-01-30","Main"
"58","3810ML","OXMIS","OTITIS MEDIA ACUTE LEFT","diagnostic","78 - otitis media","2014-01-30","Main"
"59","3810MR","OXMIS","OTITIS MEDIA ACUTE RIGHT","diagnostic","78 - otitis media","2014-01-30","Main"
"60","3811A","OXMIS","OTITIS MEDIA CHRONIC","diagnostic","78 - otitis media","2014-01-30","Main"
"61","3811AR","OXMIS","RECURRENT OTITIS MEDIA","diagnostic","78 - otitis media","2014-01-30","Main"
"62","3811AT","OXMIS","OTITIS MEDIA CATARRHAL","diagnostic","78 - otitis media","2014-01-30","Main"
"63","3811D","OXMIS","OTITIS MEDIA CHRONIC SUPPURATIVE","diagnostic","78 - otitis media","2014-01-30","Main"
"64","3811E","OXMIS","OTITIS MEDIA BILATERAL SUPPURATIVE","diagnostic","78 - otitis media","2014-01-30","Main"
"65","3811TR","OXMIS","SECRETORY OTITIS MEDIA","diagnostic","78 - otitis media","2014-01-30","Main"
"66","3819","OXMIS","OTITIS MEDIA","diagnostic","78 - otitis media","2014-01-30","Main"
"67","3819E","OXMIS","OTITIS MEDIA BILATERAL","diagnostic","78 - otitis media","2014-01-30","Main"
"68","3819MP","OXMIS","SUPPURATIVE OTITIS MEDIA","diagnostic","78 - otitis media","2014-01-30","Main"
"69","3829","OXMIS","OTITIS MEDIA WITH MASTOIDITIS","diagnostic","78 - otitis media","2014-01-30","Main"
