"","code","coding_system","description","entity","list_name","upload_date","analysis"
"1","14NB.00","Read","H/O: Peripheral vascular disease procedure","diagnostic","81 - peripheral arterial disease","2014-01-30","Sensitivity"
"2","662U.00","Read","Peripheral vascular disease monitoring","diagnostic","81 - peripheral arterial disease","2014-01-30","Sensitivity"
"3","7A10100","Read","Bypass aorta by anastomosis axillary to femoral artery NEC","diagnostic","81 - peripheral arterial disease","2014-01-30","Sensitivity"
"4","7A11.00","Read","Replacement of aneurysmal bifurcation of aorta","diagnostic","81 - peripheral arterial disease","2014-01-30","Sensitivity"
"5","7A11000","Read","Emerg repl aneurysm bifurc aorta by anast aorta to fem art","diagnostic","81 - peripheral arterial disease","2014-01-30","Sensitivity"
"6","7A11100","Read","Replace aneurysm bifurc aorta by anast aorta to femoral art","diagnostic","81 - peripheral arterial disease","2014-01-30","Sensitivity"
"7","7A11200","Read","Emerg repl aneurysm bifurc aorta by anast aorta to iliac a","diagnostic","81 - peripheral arterial disease","2014-01-30","Sensitivity"
"8","7A11211","Read","Y graft of abdominal Aortic aneurysm (emergency)","diagnostic","81 - peripheral arterial disease","2014-01-30","Sensitivity"
"9","7A11300","Read","Replace aneurysm bifurc aorta by anast aorta to iliac artery","diagnostic","81 - peripheral arterial disease","2014-01-30","Sensitivity"
"10","7A11311","Read","Y graft abdominal Aortic aneurysm","diagnostic","81 - peripheral arterial disease","2014-01-30","Sensitivity"
"11","7A11y00","Read","Replacement of aneurysmal bifurcation of aorta OS","diagnostic","81 - peripheral arterial disease","2014-01-30","Sensitivity"
"12","7A11z00","Read","Replacement of aneurysmal bifurcation of aorta NOS","diagnostic","81 - peripheral arterial disease","2014-01-30","Sensitivity"
"13","7A12000","Read","Emerg bypass bifurc aorta by anast aorta to femoral artery","diagnostic","81 - peripheral arterial disease","2014-01-30","Sensitivity"
"14","7A12100","Read","Bypass bifurc aorta by anastom aorta to femoral artery NEC","diagnostic","81 - peripheral arterial disease","2014-01-30","Sensitivity"
"15","7A12200","Read","Emerg bypass bifurc aorta by anastom aorta to iliac artery","diagnostic","81 - peripheral arterial disease","2014-01-30","Sensitivity"
"16","7A12300","Read","Bypass bifurcation aorta by anastom aorta to iliac artery","diagnostic","81 - peripheral arterial disease","2014-01-30","Sensitivity"
"17","7A13100","Read","Emerg replace aneurysm thor aorta by anastom aorta to aorta","diagnostic","81 - peripheral arterial disease","2014-01-30","Sensitivity"
"18","7A13200","Read","Emerg replace aneurysm suprarenal aorta by anast aorta/aorta","diagnostic","81 - peripheral arterial disease","2014-01-30","Sensitivity"
"19","7A13300","Read","Emerg replace aneurysm infrarenal aorta by anast aorta/aorta","diagnostic","81 - peripheral arterial disease","2014-01-30","Sensitivity"
"20","7A13400","Read","Emerg replace aneurysm abdom aorta by anast aorta/aorta NEC","diagnostic","81 - peripheral arterial disease","2014-01-30","Sensitivity"
"21","7A13411","Read","Tube graft abdominal Aortic aneurysm (emergency)","diagnostic","81 - peripheral arterial disease","2014-01-30","Sensitivity"
"22","7A14100","Read","Replace aneurysm thoracic aorta by anast of aorta/aorta NEC","diagnostic","81 - peripheral arterial disease","2014-01-30","Sensitivity"
"23","7A14400","Read","Replace aneurysm abdominal aorta by anast aorta to aorta NEC","diagnostic","81 - peripheral arterial disease","2014-01-30","Sensitivity"
"24","7A14411","Read","Tube graft of Abdominal aortic aneurysm","diagnostic","81 - peripheral arterial disease","2014-01-30","Sensitivity"
"25","7A1B000","Read","Endovascular stenting infrarenal abdominal aortic aneurysm","diagnostic","81 - peripheral arterial disease","2014-01-30","Sensitivity"
"26","7A1B200","Read","Endovascular stenting of thoracic aortic aneurysm","diagnostic","81 - peripheral arterial disease","2014-01-30","Sensitivity"
