"","code","coding_system","description","entity","list_name","upload_date","QOF","analysis"
"1","44J3.00","Read","Serum creatinine","test","74 - serum_creatine","2014-01-30",1,"Main"
"2","44J3000","Read","Serum creatinine abnormal","test","74 - serum_creatine","2014-01-30",1,"Main"
"3","44J3100","Read","Serum creatinine low","test","74 - serum_creatine","2014-01-30",1,"Main"
"4","44J3200","Read","Serum creatinine normal","test","74 - serum_creatine","2014-01-30",1,"Main"
"5","44J3300","Read","Serum creatinine raised","test","74 - serum_creatine","2014-01-30",1,"Main"
"6","44J3z00","Read","Serum creatinine NOS","test","74 - serum_creatine","2014-01-30",1,"Main"
"7","44JC.00","Read","Corrected plasma creatinine level","test","74 - serum_creatine","2014-01-30",1,"Main"
"8","44JD.00","Read","Corrected serum creatinine level","test","74 - serum_creatine","2014-01-30",1,"Main"
"9","44JF.00","Read","Plasma creatinine level","test","74 - serum_creatine","2014-01-30",1,"Main"
"10","451E.00","Read","GFR calculated abbreviated MDRD","test","74 - serum_creatine","2014-01-30",1,"Main"
"11","451F.00","Read","Glomerular filtration rate","test","74 - serum_creatine","2014-01-30",1,"Main"
"12","451G.00","Read","GFR calculated abbreviated MDRD adj for African Americ orign","test","74 - serum_creatine","2014-01-30",1,"Main"
"13","7P14000","Read","Glomerular filtration rate testing","test","74 - serum_creatine","2014-01-30",0,"Sensitivity"
