"","code","coding_system","description","entity","list_name","upload_date","analysis"
"1","14N7.00","Read","H/O: splenectomy","diagnostic","79 - splenectomy","2014-01-30","Main"
"2","7840.00","Read","Total excision of spleen","diagnostic","79 - splenectomy","2014-01-30","Main"
"3","7840000","Read","Total excision of spleen and replantation of fragments","diagnostic","79 - splenectomy","2014-01-30","Main"
"4","7840100","Read","Total splenectomy","diagnostic","79 - splenectomy","2014-01-30","Main"
"5","7840.11","Read","Total splenectomy","diagnostic","79 - splenectomy","2014-01-30","Main"
"6","7840300","Read","Splenectomy NEC","diagnostic","79 - splenectomy","2014-01-30","Main"
"7","7840400","Read","Laparoscopic total splenectomy","diagnostic","79 - splenectomy","2014-01-30","Main"
"8","7840y00","Read","Other specified total excision of spleen","diagnostic","79 - splenectomy","2014-01-30","Main"
"9","7840z00","Read","Total excision of spleen NOS","diagnostic","79 - splenectomy","2014-01-30","Main"
"10","7841.00","Read","Other excision of spleen","diagnostic","79 - splenectomy","2014-01-30","Main"
"11","7841000","Read","Partial splenectomy","diagnostic","79 - splenectomy","2014-01-30","Main"
"12","2894C","OXMIS","ABSENCE SPLEEN ACQUIRED","diagnostic","79 - splenectomy","2014-01-30","Main"
"13","K540","OXMIS","SPLENECTOMY","diagnostic","79 - splenectomy","2014-01-30","Main"
