"","code","coding_system","description","entity","list_name","upload_date","QOF","analysis"
"1","14A7.00","Read","H/O: CVA/stroke","diagnostic","88 - stroke","2014-01-30",0,"Sensitivity"
"2","14A7.12","Read","H/O: stroke","diagnostic","88 - stroke","2014-01-30",0,"Sensitivity"
"3","14AB.00","Read","H/O: TIA","diagnostic","88 - stroke","2014-01-30",0,"Sensitivity"
"4","14AK.00","Read","H/O: Stroke in last year","diagnostic","88 - stroke","2014-01-30",0,"Sensitivity"
"5","662e.00","Read","Stroke/CVA annual review","diagnostic","88 - stroke","2014-01-30",0,"Sensitivity"
"6","662M.00","Read","Stroke monitoring","diagnostic","88 - stroke","2014-01-30",0,"Sensitivity"
"7","662o.00","Read","Haemorrhagic stroke monitoring","diagnostic","88 - stroke","2014-01-30",0,"Sensitivity"
"8","7P24200","Read","Delivery of rehabilitation for stroke","diagnostic","88 - stroke","2014-01-30",0,"Sensitivity"
"9","8HBJ.00","Read","Stroke / transient ischaemic attack referral","diagnostic","88 - stroke","2014-01-30",0,"Sensitivity"
"10","8HHM.00","Read","Ref to multidisciplinary stroke function improvement service","diagnostic","88 - stroke","2014-01-30",0,"Sensitivity"
"11","8HTQ.00","Read","Referral to stroke clinic","diagnostic","88 - stroke","2014-01-30",0,"Sensitivity"
"12","9N0p.00","Read","Seen in stroke clinic","diagnostic","88 - stroke","2014-01-30",0,"Sensitivity"
"13","F423600","Read","Amaurosis fugax","diagnostic","88 - stroke","2014-01-30",1,"Sensitivity"
"14","G61..00","Read","Intracerebral haemorrhage","diagnostic","88 - stroke","2014-01-30",1,"Main"
"15","G610.00","Read","Cortical haemorrhage","diagnostic","88 - stroke","2014-01-30",1,"Main"
"16","G611.00","Read","Internal capsule haemorrhage","diagnostic","88 - stroke","2014-01-30",1,"Main"
"17","G61..11","Read","CVA - cerebrovascular accid due to intracerebral haemorrhage","diagnostic","88 - stroke","2014-01-30",1,"Main"
"18","G61..12","Read","Stroke due to intracerebral haemorrhage","diagnostic","88 - stroke","2014-01-30",1,"Main"
"19","G612.00","Read","Basal nucleus haemorrhage","diagnostic","88 - stroke","2014-01-30",1,"Main"
"20","G613.00","Read","Cerebellar haemorrhage","diagnostic","88 - stroke","2014-01-30",1,"Main"
"21","G614.00","Read","Pontine haemorrhage","diagnostic","88 - stroke","2014-01-30",1,"Main"
"22","G615.00","Read","Bulbar haemorrhage","diagnostic","88 - stroke","2014-01-30",1,"Main"
"23","G616.00","Read","External capsule haemorrhage","diagnostic","88 - stroke","2014-01-30",1,"Main"
"24","G618.00","Read","Intracerebral haemorrhage; multiple localized","diagnostic","88 - stroke","2014-01-30",1,"Main"
"25","G61X.00","Read","Intracerebral haemorrhage in hemisphere; unspecified","diagnostic","88 - stroke","2014-01-30",1,"Main"
