"","code","coding_system","description","entity","list_name","upload_date","BNF_header","BNF_code","drug_substance_name"
"1",12001,"GPRD_product_code",NA,"drug","114 - Strong analgesics","2014-01-30",NA,4070100,NA
"2",12002,"GPRD_product_code",NA,"drug","114 - Strong analgesics","2014-01-30",NA,4070100,NA
"3",181001,"GPRD_product_code",NA,"drug","114 - Strong analgesics","2014-01-30",NA,4070100,NA
"4",190009,"GPRD_product_code",NA,"drug","114 - Strong analgesics","2014-01-30",NA,4070100,NA
"5",193010,"GPRD_product_code",NA,"drug","114 - Strong analgesics","2014-01-30",NA,4070200,NA
"6",193011,"GPRD_product_code",NA,"drug","114 - Strong analgesics","2014-01-30",NA,4070200,NA
"7",234009,"GPRD_product_code",NA,"drug","114 - Strong analgesics","2014-01-30",NA,4070200,NA
"8",259001,"GPRD_product_code",NA,"drug","114 - Strong analgesics","2014-01-30",NA,4070100,NA
"9",270001,"GPRD_product_code",NA,"drug","114 - Strong analgesics","2014-01-30",NA,4070200,NA
"10",271001,"GPRD_product_code",NA,"drug","114 - Strong analgesics","2014-01-30",NA,4070100,NA
"11",286001,"GPRD_product_code",NA,"drug","114 - Strong analgesics","2014-01-30",NA,4070200,NA
"12",310001,"GPRD_product_code",NA,"drug","114 - Strong analgesics","2014-01-30",NA,4070200,NA
"13",321009,"GPRD_product_code",NA,"drug","114 - Strong analgesics","2014-01-30",NA,4070100,NA
"14",322009,"GPRD_product_code",NA,"drug","114 - Strong analgesics","2014-01-30",NA,4070100,NA
"15",322010,"GPRD_product_code",NA,"drug","114 - Strong analgesics","2014-01-30",NA,4070100,NA
"16",323009,"GPRD_product_code",NA,"drug","114 - Strong analgesics","2014-01-30",NA,4070100,NA
"17",324009,"GPRD_product_code",NA,"drug","114 - Strong analgesics","2014-01-30",NA,4070200,NA
"18",325009,"GPRD_product_code",NA,"drug","114 - Strong analgesics","2014-01-30",NA,4070200,NA
"19",325010,"GPRD_product_code",NA,"drug","114 - Strong analgesics","2014-01-30",NA,4070200,NA
"20",325011,"GPRD_product_code",NA,"drug","114 - Strong analgesics","2014-01-30",NA,4070100,NA
"21",326009,"GPRD_product_code",NA,"drug","114 - Strong analgesics","2014-01-30",NA,4070100,NA
"22",327009,"GPRD_product_code",NA,"drug","114 - Strong analgesics","2014-01-30",NA,4070100,NA
"23",328009,"GPRD_product_code",NA,"drug","114 - Strong analgesics","2014-01-30",NA,4070100,NA
"24",329009,"GPRD_product_code",NA,"drug","114 - Strong analgesics","2014-01-30",NA,4070200,NA
"25",330009,"GPRD_product_code",NA,"drug","114 - Strong analgesics","2014-01-30",NA,4070200,NA
"26",331009,"GPRD_product_code",NA,"drug","114 - Strong analgesics","2014-01-30",NA,4070100,NA
"27",332009,"GPRD_product_code",NA,"drug","114 - Strong analgesics","2014-01-30",NA,4070100,NA
"28",333009,"GPRD_product_code",NA,"drug","114 - Strong analgesics","2014-01-30",NA,4070100,NA
"29",334009,"GPRD_product_code",NA,"drug","114 - Strong analgesics","2014-01-30",NA,4070100,NA
"30",335009,"GPRD_product_code",NA,"drug","114 - Strong analgesics","2014-01-30",NA,4070100,NA
"31",336009,"GPRD_product_code",NA,"drug","114 - Strong analgesics","2014-01-30",NA,4070100,NA
"32",337009,"GPRD_product_code",NA,"drug","114 - Strong analgesics","2014-01-30",NA,4070100,NA
"33",353009,"GPRD_product_code",NA,"drug","114 - Strong analgesics","2014-01-30",NA,4070200,NA
"34",353010,"GPRD_product_code",NA,"drug","114 - Strong analgesics","2014-01-30",NA,4070200,NA
"35",353011,"GPRD_product_code",NA,"drug","114 - Strong analgesics","2014-01-30",NA,4070200,NA
"36",359011,"GPRD_product_code",NA,"drug","114 - Strong analgesics","2014-01-30",NA,4070200,NA
"37",361009,"GPRD_product_code",NA,"drug","114 - Strong analgesics","2014-01-30",NA,4070200,NA
"38",363009,"GPRD_product_code",NA,"drug","114 - Strong analgesics","2014-01-30",NA,99000000,NA
"39",363010,"GPRD_product_code",NA,"drug","114 - Strong analgesics","2014-01-30",NA,4070200,NA
"40",363011,"GPRD_product_code",NA,"drug","114 - Strong analgesics","2014-01-30",NA,4070200,NA
"41",364009,"GPRD_product_code",NA,"drug","114 - Strong analgesics","2014-01-30",NA,99000000,NA
"42",369001,"GPRD_product_code",NA,"drug","114 - Strong analgesics","2014-01-30",NA,4070100,NA
"43",370001,"GPRD_product_code",NA,"drug","114 - Strong analgesics","2014-01-30",NA,4070200,NA
"44",370002,"GPRD_product_code",NA,"drug","114 - Strong analgesics","2014-01-30",NA,4070200,NA
"45",371009,"GPRD_product_code",NA,"drug","114 - Strong analgesics","2014-01-30",NA,4070200,NA
"46",372009,"GPRD_product_code",NA,"drug","114 - Strong analgesics","2014-01-30",NA,4070200,NA
"47",373009,"GPRD_product_code",NA,"drug","114 - Strong analgesics","2014-01-30",NA,4070200,NA
"48",374009,"GPRD_product_code",NA,"drug","114 - Strong analgesics","2014-01-30",NA,4070200,NA
"49",375009,"GPRD_product_code",NA,"drug","114 - Strong analgesics","2014-01-30",NA,4070200,NA
"50",375010,"GPRD_product_code",NA,"drug","114 - Strong analgesics","2014-01-30",NA,4070200,NA
"51",487009,"GPRD_product_code",NA,"drug","114 - Strong analgesics","2014-01-30",NA,4070200,NA
"52",487011,"GPRD_product_code",NA,"drug","114 - Strong analgesics","2014-01-30",NA,4070200,NA
"53",511009,"GPRD_product_code",NA,"drug","114 - Strong analgesics","2014-01-30",NA,4070200,NA
"54",511010,"GPRD_product_code",NA,"drug","114 - Strong analgesics","2014-01-30",NA,4070200,NA
"55",511011,"GPRD_product_code",NA,"drug","114 - Strong analgesics","2014-01-30",NA,4070200,NA
"56",535009,"GPRD_product_code",NA,"drug","114 - Strong analgesics","2014-01-30",NA,4070200,NA
"57",535010,"GPRD_product_code",NA,"drug","114 - Strong analgesics","2014-01-30",NA,4070200,NA
"58",536009,"GPRD_product_code",NA,"drug","114 - Strong analgesics","2014-01-30",NA,4070200,NA
"59",536010,"GPRD_product_code",NA,"drug","114 - Strong analgesics","2014-01-30",NA,4070200,NA
"60",539009,"GPRD_product_code",NA,"drug","114 - Strong analgesics","2014-01-30",NA,4070200,NA
"61",539010,"GPRD_product_code",NA,"drug","114 - Strong analgesics","2014-01-30",NA,4070200,NA
"62",539011,"GPRD_product_code",NA,"drug","114 - Strong analgesics","2014-01-30",NA,4070200,NA
"63",561001,"GPRD_product_code",NA,"drug","114 - Strong analgesics","2014-01-30",NA,4070100,NA
"64",561002,"GPRD_product_code",NA,"drug","114 - Strong analgesics","2014-01-30",NA,4070200,NA
"65",561003,"GPRD_product_code",NA,"drug","114 - Strong analgesics","2014-01-30",NA,4070100,NA
"66",569009,"GPRD_product_code",NA,"drug","114 - Strong analgesics","2014-01-30",NA,4070200,NA
"67",569010,"GPRD_product_code",NA,"drug","114 - Strong analgesics","2014-01-30",NA,4070200,NA
"68",603001,"GPRD_product_code",NA,"drug","114 - Strong analgesics","2014-01-30",NA,4070200,NA
"69",603002,"GPRD_product_code",NA,"drug","114 - Strong analgesics","2014-01-30",NA,4070200,NA
"70",603003,"GPRD_product_code",NA,"drug","114 - Strong analgesics","2014-01-30",NA,4070200,NA
"71",604001,"GPRD_product_code",NA,"drug","114 - Strong analgesics","2014-01-30",NA,4070200,NA
"72",604002,"GPRD_product_code",NA,"drug","114 - Strong analgesics","2014-01-30",NA,4070200,NA
"73",604003,"GPRD_product_code",NA,"drug","114 - Strong analgesics","2014-01-30",NA,4070200,NA
"74",641001,"GPRD_product_code",NA,"drug","114 - Strong analgesics","2014-01-30",NA,4070100,NA
"75",677001,"GPRD_product_code",NA,"drug","114 - Strong analgesics","2014-01-30",NA,4070200,NA
"76",713001,"GPRD_product_code",NA,"drug","114 - Strong analgesics","2014-01-30",NA,4070200,NA
"77",719009,"GPRD_product_code",NA,"drug","114 - Strong analgesics","2014-01-30",NA,4070200,NA
"78",719010,"GPRD_product_code",NA,"drug","114 - Strong analgesics","2014-01-30",NA,4070200,NA
"79",720009,"GPRD_product_code",NA,"drug","114 - Strong analgesics","2014-01-30",NA,4070100,NA
"80",739001,"GPRD_product_code",NA,"drug","114 - Strong analgesics","2014-01-30",NA,4070200,NA
"81",740001,"GPRD_product_code",NA,"drug","114 - Strong analgesics","2014-01-30",NA,4070200,NA
"82",740002,"GPRD_product_code",NA,"drug","114 - Strong analgesics","2014-01-30",NA,4070200,NA
"83",754009,"GPRD_product_code",NA,"drug","114 - Strong analgesics","2014-01-30",NA,4070200,NA
"84",755009,"GPRD_product_code",NA,"drug","114 - Strong analgesics","2014-01-30",NA,4070200,NA
"85",763009,"GPRD_product_code",NA,"drug","114 - Strong analgesics","2014-01-30",NA,4070200,NA
