"","code","coding_system","description","entity","list_name","upload_date","BNF_header","BNF_code","drug_substance_name"
"1",212001,"GPRD_product_code","daonil tabs 5mg","drug","105 - sulphonylureas","2014-01-30",NA,6010201,NA
"2",235001,"GPRD_product_code","diabinese tabs 100mg","drug","105 - sulphonylureas","2014-01-30",NA,6010201,NA
"3",235002,"GPRD_product_code","diabinese tabs 250mg","drug","105 - sulphonylureas","2014-01-30",NA,6010201,NA
"4",331001,"GPRD_product_code","euglucon tabs 2.5mg","drug","105 - sulphonylureas","2014-01-30",NA,6010201,NA
"5",331002,"GPRD_product_code","euglucon tabs 5mg","drug","105 - sulphonylureas","2014-01-30",NA,6010201,NA
"6",417009,"GPRD_product_code","glibenclamide tabs 5mg [cp pharm]","drug","105 - sulphonylureas","2014-01-30",NA,6010201,NA
"7",417010,"GPRD_product_code","glibenclamide tabs 2.5mg [cp pharm]","drug","105 - sulphonylureas","2014-01-30",NA,6010201,NA
"8",418009,"GPRD_product_code","glibenclamide tabs 2.5mg [celltech]","drug","105 - sulphonylureas","2014-01-30",NA,6010201,NA
"9",418010,"GPRD_product_code","glibenclamide tabs 5mg [celltech]","drug","105 - sulphonylureas","2014-01-30",NA,6010201,NA
"10",419009,"GPRD_product_code","glibenclamide tabs 5mg [hillcross]","drug","105 - sulphonylureas","2014-01-30",NA,6010201,NA
"11",419010,"GPRD_product_code","glibenclamide tabs 2.5mg [hillcross]","drug","105 - sulphonylureas","2014-01-30",NA,6010201,NA
"12",752009,"GPRD_product_code","chlorpropamide tabs 100mg [cp pharm]","drug","105 - sulphonylureas","2014-01-30",NA,6010201,NA
"13",752010,"GPRD_product_code","chlorpropamide tabs 250mg [cp pharm]","drug","105 - sulphonylureas","2014-01-30",NA,6010201,NA
"14",753009,"GPRD_product_code","chlorpropamide tabs 100mg [celltech]","drug","105 - sulphonylureas","2014-01-30",NA,6010201,NA
"15",753010,"GPRD_product_code","chlorpropamide tabs 250mg [celltech]","drug","105 - sulphonylureas","2014-01-30",NA,6010201,NA
"16",854001,"GPRD_product_code","semi-daonil tabs 2.5mg","drug","105 - sulphonylureas","2014-01-30",NA,6010201,NA
"17",1335009,"GPRD_product_code","glibenclamide tabs 5mg [aps]","drug","105 - sulphonylureas","2014-01-30",NA,6010201,NA
"18",1335010,"GPRD_product_code","glibenclamide tabs 2.5mg [aps]","drug","105 - sulphonylureas","2014-01-30",NA,6010201,NA
"19",1356009,"GPRD_product_code","glibenclamide tabs 5mg [berk]","drug","105 - sulphonylureas","2014-01-30",NA,6010201,NA
"20",1356010,"GPRD_product_code","glibenclamide tabs 2.5mg [berk]","drug","105 - sulphonylureas","2014-01-30",NA,6010201,NA
"21",1451009,"GPRD_product_code","glibenclamide tabs 5mg [numark]","drug","105 - sulphonylureas","2014-01-30",NA,6010201,NA
"22",1581009,"GPRD_product_code","glibenclamide tabs 2.5mg [lagap]","drug","105 - sulphonylureas","2014-01-30",NA,6010201,NA
"23",1581010,"GPRD_product_code","glibenclamide tabs 5mg [lagap]","drug","105 - sulphonylureas","2014-01-30",NA,6010201,NA
"24",1811009,"GPRD_product_code","chlorpropamide tabs 100mg [aps]","drug","105 - sulphonylureas","2014-01-30",NA,6010201,NA
"25",1811010,"GPRD_product_code","chlorpropamide tabs 250mg [aps]","drug","105 - sulphonylureas","2014-01-30",NA,6010201,NA
"26",2224009,"GPRD_product_code","chlorpropamide tabs 100mg [alphar/cox]","drug","105 - sulphonylureas","2014-01-30",NA,6010201,NA
"27",2224010,"GPRD_product_code","chlorpropamide tabs 250mg [alphar/cox]","drug","105 - sulphonylureas","2014-01-30",NA,6010201,NA
