"","code","coding_system","description","entity","list_name","upload_date"
"1","22A..00","Read","O/E - weight","observation","117 - Body_mass_index","2014-02-14"
"2","22A1.00","Read","O/E - weight > 20% below ideal","observation","117 - Body_mass_index","2014-02-14"
"3","22A2.00","Read","O/E -weight 10-20% below ideal","observation","117 - Body_mass_index","2014-02-14"
"4","22A3.00","Read","O/E - weight within 10% ideal","observation","117 - Body_mass_index","2014-02-14"
"5","22A4.00","Read","O/E - weight 10-20% over ideal","observation","117 - Body_mass_index","2014-02-14"
"6","22A4.11","Read","O/E - overweight","observation","117 - Body_mass_index","2014-02-14"
"7","22A5.00","Read","O/E - weight > 20% over ideal","observation","117 - Body_mass_index","2014-02-14"
"8","22A5.11","Read","O/E - obese","observation","117 - Body_mass_index","2014-02-14"
"9","22A6.00","Read","O/E - Underweight","observation","117 - Body_mass_index","2014-02-14"
"10","22K..00","Read","Body Mass Index","observation","117 - Body_mass_index","2014-02-14"
"11","22K1.00","Read","Body Mass Index normal K/M2","observation","117 - Body_mass_index","2014-02-14"
"12","22K2.00","Read","Body Mass Index high K/M2","observation","117 - Body_mass_index","2014-02-14"
"13","22K3.00","Read","Body Mass Index low K/M2","observation","117 - Body_mass_index","2014-02-14"
"14","22K4.00","Read","Body mass index index 25-29 - overweight","observation","117 - Body_mass_index","2014-02-14"
"15","22K5.00","Read","Body mass index 30+ - obesity","observation","117 - Body_mass_index","2014-02-14"
"16","22K6.00","Read","Body mass index less than 20","observation","117 - Body_mass_index","2014-02-14"
"17","22K7.00","Read","Body mass index 40+ - severely obese","observation","117 - Body_mass_index","2014-02-14"
"18","22K8.00","Read","Body mass index 20-24 - normal","observation","117 - Body_mass_index","2014-02-14"
"19","22Z..00","Read","Height and Weight","observation","117 - Body_mass_index","2014-02-14"
"20","636..00","Read","Birthweight of baby","observation","117 - Body_mass_index","2014-02-14"
"21","636..11","Read","Birthweight","observation","117 - Body_mass_index","2014-02-14"
"22","636..12","Read","Weight - baby","observation","117 - Body_mass_index","2014-02-14"
"23","636Z.00","Read","Birthweight of baby NOS","observation","117 - Body_mass_index","2014-02-14"
"24","647..00","Read","Child weight centiles","observation","117 - Body_mass_index","2014-02-14"
"25","6471.00","Read","Child weight < 3rd centile","observation","117 - Body_mass_index","2014-02-14"
"26","6472.00","Read","Child weight=3rd-9th centile","observation","117 - Body_mass_index","2014-02-14"
"27","6473.00","Read","Child weight=10th-24th centile","observation","117 - Body_mass_index","2014-02-14"
"28","6474.00","Read","Child weight=25th-49th centile","observation","117 - Body_mass_index","2014-02-14"
"29","6475.00","Read","Child weight=50th-74th centile","observation","117 - Body_mass_index","2014-02-14"
"30","6476.00","Read","Child weight=75th-89th centile","observation","117 - Body_mass_index","2014-02-14"
"31","6477.00","Read","Child weight=90th-96th centile","observation","117 - Body_mass_index","2014-02-14"
"32","6478.00","Read","Child weight > 97th centile","observation","117 - Body_mass_index","2014-02-14"
"33","6479.00","Read","Child weight < 0.4th centile","observation","117 - Body_mass_index","2014-02-14"
"34","647A.00","Read","Child weight = 0.4th centile","observation","117 - Body_mass_index","2014-02-14"
"35","647B.00","Read","Child weight 0.5th - 1.9th centile","observation","117 - Body_mass_index","2014-02-14"
"36","647C.00","Read","Child weight = 2nd centile","observation","117 - Body_mass_index","2014-02-14"
"37","647D.00","Read","Child weight 3rd - 8th centile","observation","117 - Body_mass_index","2014-02-14"
"38","647E.00","Read","Child weight 9th centile","observation","117 - Body_mass_index","2014-02-14"
"39","647F.00","Read","Child weight 10th - 24th centile","observation","117 - Body_mass_index","2014-02-14"
"40","647G.00","Read","Child weight = 25th centile","observation","117 - Body_mass_index","2014-02-14"
"41","647H.00","Read","Child weight 26th - 49th centile","observation","117 - Body_mass_index","2014-02-14"
"42","647I.00","Read","Child weight = 50th centile","observation","117 - Body_mass_index","2014-02-14"
"43","647J.00","Read","Child weight 51st - 74th centile","observation","117 - Body_mass_index","2014-02-14"
"44","647K.00","Read","Child weight = 75th centile","observation","117 - Body_mass_index","2014-02-14"
"45","647L.00","Read","Child weight 76th - 90th centile","observation","117 - Body_mass_index","2014-02-14"
"46","647M.00","Read","Child weight = 91st centile","observation","117 - Body_mass_index","2014-02-14"
"47","647N.00","Read","Child weight 92nd - 97th centile","observation","117 - Body_mass_index","2014-02-14"
"48","647O.00","Read","Child weight = 98th centile","observation","117 - Body_mass_index","2014-02-14"
"49","647P.00","Read","Child weight 98.1st - 99.6th centile","observation","117 - Body_mass_index","2014-02-14"
"50","647Q.00","Read","Child weight > 99.6th centile","observation","117 - Body_mass_index","2014-02-14"
"51","647Z.00","Read","Child weight centiles NOS","observation","117 - Body_mass_index","2014-02-14"
"52","Q111.00","Read","Premature - weight 1000g-2499g or gestation of 28-37weeks","observation","117 - Body_mass_index","2014-02-14"
"53","Q114.00","Read","Low birthweight","observation","117 - Body_mass_index","2014-02-14"
"54","Q114000","Read","Birth weight 1000-2499 g","observation","117 - Body_mass_index","2014-02-14"
"55","Q115.00","Read","Extremely low birth weight infant","observation","117 - Body_mass_index","2014-02-14"
"56","Q115000","Read","Birth weight 999 g or less","observation","117 - Body_mass_index","2014-02-14"
"57","Q120.00","Read","Very large baby - weight greater than 4500gm","observation","117 - Body_mass_index","2014-02-14"
"58","L3333NA","OXMIS","WEIGHT ABNORMAL RANGE RECORDED","observation","117 - Body_mass_index","2014-02-14"
"59","L3333NN","OXMIS","WEIGHT NORMAL RANGE RECORDED","observation","117 - Body_mass_index","2014-02-14"
"60","T3324PW","OXMIS","PERCENTILE WEIGHT","observation","117 - Body_mass_index","2014-02-14"
"61","T3324WC","OXMIS","WEIGHT CHECK","observation","117 - Body_mass_index","2014-02-14"
"62","T3326BA","OXMIS","PERCENTILE WEIGHT OUTSIDE 5% RANGE","observation","117 - Body_mass_index","2014-02-14"
"63","T3326BC","OXMIS","PERCENTILE WEIGHT WITHIN 10% RANGE","observation","117 - Body_mass_index","2014-02-14"
