"","code","coding_system","description","entity","list_name","upload_date"
"1","B0...00","Read","Malignant neoplasm of lip; oral cavity and pharynx","diagnostic","122 - Cancer","2014-02-14"
"2","B00..00","Read","Malignant neoplasm of lip","diagnostic","122 - Cancer","2014-02-14"
"3","B000.00","Read","Malignant neoplasm of upper lip; vermilion border","diagnostic","122 - Cancer","2014-02-14"
"4","B000000","Read","Malignant neoplasm of upper lip; external","diagnostic","122 - Cancer","2014-02-14"
"5","B000100","Read","Malignant neoplasm of upper lip; lipstick area","diagnostic","122 - Cancer","2014-02-14"
"6","B000z00","Read","Malignant neoplasm of upper lip; vermilion border NOS","diagnostic","122 - Cancer","2014-02-14"
"7","B001.00","Read","Malignant neoplasm of lower lip; vermilion border","diagnostic","122 - Cancer","2014-02-14"
"8","B001000","Read","Malignant neoplasm of lower lip; external","diagnostic","122 - Cancer","2014-02-14"
"9","B00..11","Read","Carcinoma of lip","diagnostic","122 - Cancer","2014-02-14"
"10","B001100","Read","Malignant neoplasm of lower lip; lipstick area","diagnostic","122 - Cancer","2014-02-14"
"11","B001z00","Read","Malignant neoplasm of lower lip; vermilion border NOS","diagnostic","122 - Cancer","2014-02-14"
"12","B002.00","Read","Malignant neoplasm of upper lip; inner aspect","diagnostic","122 - Cancer","2014-02-14"
"13","B002100","Read","Malignant neoplasm of upper lip; frenulum","diagnostic","122 - Cancer","2014-02-14"
"14","B002200","Read","Malignant neoplasm of upper lip; mucosa","diagnostic","122 - Cancer","2014-02-14"
"15","B002300","Read","Malignant neoplasm of upper lip; oral aspect","diagnostic","122 - Cancer","2014-02-14"
"16","B002z00","Read","Malignant neoplasm of upper lip; inner aspect NOS","diagnostic","122 - Cancer","2014-02-14"
"17","B003.00","Read","Malignant neoplasm of lower lip; inner aspect","diagnostic","122 - Cancer","2014-02-14"
"18","B003000","Read","Malignant neoplasm of lower lip; buccal aspect","diagnostic","122 - Cancer","2014-02-14"
"19","B003100","Read","Malignant neoplasm of lower lip; frenulum","diagnostic","122 - Cancer","2014-02-14"
"20","B003200","Read","Malignant neoplasm of lower lip; mucosa","diagnostic","122 - Cancer","2014-02-14"
"21","B003300","Read","Malignant neoplasm of lower lip; oral aspect","diagnostic","122 - Cancer","2014-02-14"
"22","B003z00","Read","Malignant neoplasm of lower lip; inner aspect NOS","diagnostic","122 - Cancer","2014-02-14"
"23","B004.00","Read","Malignant neoplasm of lip unspecified; inner aspect","diagnostic","122 - Cancer","2014-02-14"
"24","B004000","Read","Malignant neoplasm of lip unspecified; buccal aspect","diagnostic","122 - Cancer","2014-02-14"
"25","B004200","Read","Malignant neoplasm of lip unspecified; mucosa","diagnostic","122 - Cancer","2014-02-14"
"26","B004300","Read","Malignant neoplasm of lip; oral aspect","diagnostic","122 - Cancer","2014-02-14"
"27","B005.00","Read","Malignant neoplasm of commissure of lip","diagnostic","122 - Cancer","2014-02-14"
"28","B006.00","Read","Malignant neoplasm of overlapping lesion of lip","diagnostic","122 - Cancer","2014-02-14"
"29","B007.00","Read","Malignant neoplasm of lip; unspecified","diagnostic","122 - Cancer","2014-02-14"
"30","B00z000","Read","Malignant neoplasm of lip; unspecified; external","diagnostic","122 - Cancer","2014-02-14"
"31","B00z100","Read","Malignant neoplasm of lip; unspecified; lipstick area","diagnostic","122 - Cancer","2014-02-14"
"32","B00zz00","Read","Malignant neoplasm of lip; vermilion border NOS","diagnostic","122 - Cancer","2014-02-14"
"33","B01..00","Read","Malignant neoplasm of tongue","diagnostic","122 - Cancer","2014-02-14"
"34","B010.00","Read","Malignant neoplasm of base of tongue","diagnostic","122 - Cancer","2014-02-14"
"35","B010000","Read","Malignant neoplasm of base of tongue dorsal surface","diagnostic","122 - Cancer","2014-02-14"
"36","B010.11","Read","Malignant neoplasm of posterior third of tongue","diagnostic","122 - Cancer","2014-02-14"
"37","B010z00","Read","Malignant neoplasm of fixed part of tongue NOS","diagnostic","122 - Cancer","2014-02-14"
"38","B0...11","Read","Carcinoma of lip; oral cavity and pharynx","diagnostic","122 - Cancer","2014-02-14"
"39","B011.00","Read","Malignant neoplasm of dorsal surface of tongue","diagnostic","122 - Cancer","2014-02-14"
"40","B011z00","Read","Malignant neoplasm of dorsum of tongue NOS","diagnostic","122 - Cancer","2014-02-14"
"41","B012.00","Read","Malignant neoplasm of tongue; tip and lateral border","diagnostic","122 - Cancer","2014-02-14"
"42","B013.00","Read","Malignant neoplasm of ventral surface of tongue","diagnostic","122 - Cancer","2014-02-14"
"43","B013000","Read","Malignant neoplasm of anterior 2/3 of tongue ventral surface","diagnostic","122 - Cancer","2014-02-14"
"44","B013100","Read","Malignant neoplasm of frenulum linguae","diagnostic","122 - Cancer","2014-02-14"
"45","B013z00","Read","Malignant neoplasm of ventral tongue surface NOS","diagnostic","122 - Cancer","2014-02-14"
"46","B014.00","Read","Malignant neoplasm of anterior 2/3 of tongue unspecified","diagnostic","122 - Cancer","2014-02-14"
"47","B015.00","Read","Malignant neoplasm of tongue; junctional zone","diagnostic","122 - Cancer","2014-02-14"
"48","B016.00","Read","Malignant neoplasm of lingual tonsil","diagnostic","122 - Cancer","2014-02-14"
"49","B017.00","Read","Malignant overlapping lesion of tongue","diagnostic","122 - Cancer","2014-02-14"
"50","B01y.00","Read","Malignant neoplasm of other sites of tongue","diagnostic","122 - Cancer","2014-02-14"
"51","B01z.00","Read","Malignant neoplasm of tongue NOS","diagnostic","122 - Cancer","2014-02-14"
"52","B02..00","Read","Malignant neoplasm of major salivary glands","diagnostic","122 - Cancer","2014-02-14"
"53","B020.00","Read","Malignant neoplasm of parotid gland","diagnostic","122 - Cancer","2014-02-14"
"54","B021.00","Read","Malignant neoplasm of submandibular gland","diagnostic","122 - Cancer","2014-02-14"
"55","B022.00","Read","Malignant neoplasm of sublingual gland","diagnostic","122 - Cancer","2014-02-14"
"56","B02y.00","Read","Malignant neoplasm of other major salivary glands","diagnostic","122 - Cancer","2014-02-14"
"57","B02z.00","Read","Malignant neoplasm of major salivary gland NOS","diagnostic","122 - Cancer","2014-02-14"
"58","B03..00","Read","Malignant neoplasm of gum","diagnostic","122 - Cancer","2014-02-14"
"59","B030.00","Read","Malignant neoplasm of upper gum","diagnostic","122 - Cancer","2014-02-14"
"60","B031.00","Read","Malignant neoplasm of lower gum","diagnostic","122 - Cancer","2014-02-14"
"61","B03y.00","Read","Malignant neoplasm of other sites of gum","diagnostic","122 - Cancer","2014-02-14"
"62","B03z.00","Read","Malignant neoplasm of gum NOS","diagnostic","122 - Cancer","2014-02-14"
"63","B04..00","Read","Malignant neoplasm of floor of mouth","diagnostic","122 - Cancer","2014-02-14"
"64","B040.00","Read","Malignant neoplasm of anterior portion of floor of mouth","diagnostic","122 - Cancer","2014-02-14"
"65","B041.00","Read","Malignant neoplasm of lateral portion of floor of mouth","diagnostic","122 - Cancer","2014-02-14"
"66","B042.00","Read","Malignant neoplasm; overlapping lesion of floor of mouth","diagnostic","122 - Cancer","2014-02-14"
"67","B04y.00","Read","Malignant neoplasm of other sites of floor of mouth","diagnostic","122 - Cancer","2014-02-14"
"68","B04z.00","Read","Malignant neoplasm of floor of mouth NOS","diagnostic","122 - Cancer","2014-02-14"
"69","B05..00","Read","Malignant neoplasm of other and unspecified parts of mouth","diagnostic","122 - Cancer","2014-02-14"
"70","B050.00","Read","Malignant neoplasm of cheek mucosa","diagnostic","122 - Cancer","2014-02-14"
"71","B050.11","Read","Malignant neoplasm of buccal mucosa","diagnostic","122 - Cancer","2014-02-14"
"72","B051.00","Read","Malignant neoplasm of vestibule of mouth","diagnostic","122 - Cancer","2014-02-14"
"73","B051000","Read","Malignant neoplasm of upper buccal sulcus","diagnostic","122 - Cancer","2014-02-14"
"74","B051100","Read","Malignant neoplasm of lower buccal sulcus","diagnostic","122 - Cancer","2014-02-14"
"75","B052.00","Read","Malignant neoplasm of hard palate","diagnostic","122 - Cancer","2014-02-14"
"76","B053.00","Read","Malignant neoplasm of soft palate","diagnostic","122 - Cancer","2014-02-14"
"77","B054.00","Read","Malignant neoplasm of uvula","diagnostic","122 - Cancer","2014-02-14"
"78","B055.00","Read","Malignant neoplasm of palate unspecified","diagnostic","122 - Cancer","2014-02-14"
"79","B055000","Read","Malignant neoplasm of junction of hard and soft palate","diagnostic","122 - Cancer","2014-02-14"
"80","B055100","Read","Malignant neoplasm of roof of mouth","diagnostic","122 - Cancer","2014-02-14"
"81","B055z00","Read","Malignant neoplasm of palate NOS","diagnostic","122 - Cancer","2014-02-14"
"82","B056.00","Read","Malignant neoplasm of retromolar area","diagnostic","122 - Cancer","2014-02-14"
"83","B057.00","Read","Overlapping lesion of other and unspecified parts of mouth","diagnostic","122 - Cancer","2014-02-14"
"84","B05y.00","Read","Malignant neoplasm of other specified mouth parts","diagnostic","122 - Cancer","2014-02-14"
"85","B05z.00","Read","Malignant neoplasm of mouth NOS","diagnostic","122 - Cancer","2014-02-14"
"86","B05z000","Read","Kaposi's sarcoma of palate","diagnostic","122 - Cancer","2014-02-14"
"87","B06..00","Read","Malignant neoplasm of oropharynx","diagnostic","122 - Cancer","2014-02-14"
"88","B060.00","Read","Malignant neoplasm of tonsil","diagnostic","122 - Cancer","2014-02-14"
"89","B060000","Read","Malignant neoplasm of faucial tonsil","diagnostic","122 - Cancer","2014-02-14"
"90","B060100","Read","Malignant neoplasm of palatine tonsil","diagnostic","122 - Cancer","2014-02-14"
"91","B060200","Read","Malignant neoplasm of overlapping lesion of tonsil","diagnostic","122 - Cancer","2014-02-14"
"92","B060z00","Read","Malignant neoplasm tonsil NOS","diagnostic","122 - Cancer","2014-02-14"
"93","B061.00","Read","Malignant neoplasm of tonsillar fossa","diagnostic","122 - Cancer","2014-02-14"
"94","B062.00","Read","Malignant neoplasm of tonsillar pillar","diagnostic","122 - Cancer","2014-02-14"
"95","B062000","Read","Malignant neoplasm of faucial pillar","diagnostic","122 - Cancer","2014-02-14"
"96","B062100","Read","Malignant neoplasm of glossopalatine fold","diagnostic","122 - Cancer","2014-02-14"
"97","B062200","Read","Malignant neoplasm of palatoglossal arch","diagnostic","122 - Cancer","2014-02-14"
"98","B062300","Read","Malignant neoplasm of palatopharyngeal arch","diagnostic","122 - Cancer","2014-02-14"
"99","B062z00","Read","Malignant neoplasm of tonsillar fossa NOS","diagnostic","122 - Cancer","2014-02-14"
"100","B063.00","Read","Malignant neoplasm of vallecula","diagnostic","122 - Cancer","2014-02-14"
"101","B064.00","Read","Malignant neoplasm of anterior epiglottis","diagnostic","122 - Cancer","2014-02-14"
"102","B064000","Read","Malignant neoplasm of epiglottis; free border","diagnostic","122 - Cancer","2014-02-14"
"103","B064100","Read","Malignant neoplasm of glossoepiglottic fold","diagnostic","122 - Cancer","2014-02-14"
"104","B064z00","Read","Malignant neoplasm of anterior epiglottis NOS","diagnostic","122 - Cancer","2014-02-14"
"105","B065.00","Read","Malignant neoplasm of junctional region of epiglottis","diagnostic","122 - Cancer","2014-02-14"
"106","B066.00","Read","Malignant neoplasm of lateral wall of oropharynx","diagnostic","122 - Cancer","2014-02-14"
"107","B067.00","Read","Malignant neoplasm of posterior wall of oropharynx","diagnostic","122 - Cancer","2014-02-14"
"108","B06y.00","Read","Malignant neoplasm of oropharynx; other specified sites","diagnostic","122 - Cancer","2014-02-14"
"109","B06yz00","Read","Malignant neoplasm of other specified site of oropharynx NOS","diagnostic","122 - Cancer","2014-02-14"
"110","B06z.00","Read","Malignant neoplasm of oropharynx NOS","diagnostic","122 - Cancer","2014-02-14"
"111","B07..00","Read","Malignant neoplasm of nasopharynx","diagnostic","122 - Cancer","2014-02-14"
"112","B070.00","Read","Malignant neoplasm of roof of nasopharynx","diagnostic","122 - Cancer","2014-02-14"
"113","B071.00","Read","Malignant neoplasm of posterior wall of nasopharynx","diagnostic","122 - Cancer","2014-02-14"
"114","B071000","Read","Malignant neoplasm of adenoid","diagnostic","122 - Cancer","2014-02-14"
"115","B071100","Read","Malignant neoplasm of pharyngeal tonsil","diagnostic","122 - Cancer","2014-02-14"
"116","B071z00","Read","Malignant neoplasm of posterior wall of nasopharynx NOS","diagnostic","122 - Cancer","2014-02-14"
"117","B072.00","Read","Malignant neoplasm of lateral wall of nasopharynx","diagnostic","122 - Cancer","2014-02-14"
"118","B072000","Read","Malignant neoplasm of pharyngeal recess","diagnostic","122 - Cancer","2014-02-14"
"119","B072z00","Read","Malignant neoplasm of lateral wall of nasopharynx NOS","diagnostic","122 - Cancer","2014-02-14"
"120","B073.00","Read","Malignant neoplasm of anterior wall of nasopharynx","diagnostic","122 - Cancer","2014-02-14"
"121","B073200","Read","Malignant neoplasm posterior margin nasal septum and choanae","diagnostic","122 - Cancer","2014-02-14"
"122","B073z00","Read","Malignant neoplasm of anterior wall of nasopharynx NOS","diagnostic","122 - Cancer","2014-02-14"
"123","B074.00","Read","Malignant neoplasm; overlapping lesion of nasopharynx","diagnostic","122 - Cancer","2014-02-14"
"124","B07y.00","Read","Malignant neoplasm of other specified site of nasopharynx","diagnostic","122 - Cancer","2014-02-14"
"125","B07z.00","Read","Malignant neoplasm of nasopharynx NOS","diagnostic","122 - Cancer","2014-02-14"
"126","B08..00","Read","Malignant neoplasm of hypopharynx","diagnostic","122 - Cancer","2014-02-14"
"127","B080.00","Read","Malignant neoplasm of postcricoid region","diagnostic","122 - Cancer","2014-02-14"
"128","B081.00","Read","Malignant neoplasm of pyriform sinus","diagnostic","122 - Cancer","2014-02-14"
