"","code","coding_system","description","entity","list_name","upload_date"
"1","G1yz100","Read","Rheumatic left ventricular failure","diagnostic","120 - Congestive cardiac failure","2014-02-14"
"2","G58..00","Read","Heart failure","diagnostic","120 - Congestive cardiac failure","2014-02-14"
"3","G580.00","Read","Congestive heart failure","diagnostic","120 - Congestive cardiac failure","2014-02-14"
"4","G580000","Read","Acute congestive heart failure","diagnostic","120 - Congestive cardiac failure","2014-02-14"
"5","G580100","Read","Chronic congestive heart failure","diagnostic","120 - Congestive cardiac failure","2014-02-14"
"6","G580.11","Read","Congestive cardiac failure","diagnostic","120 - Congestive cardiac failure","2014-02-14"
"7","G580.12","Read","Right heart failure","diagnostic","120 - Congestive cardiac failure","2014-02-14"
"8","G580.13","Read","Right ventricular failure","diagnostic","120 - Congestive cardiac failure","2014-02-14"
"9","G580.14","Read","Biventricular failure","diagnostic","120 - Congestive cardiac failure","2014-02-14"
"10","G580200","Read","Decompensated cardiac failure","diagnostic","120 - Congestive cardiac failure","2014-02-14"
"11","G580300","Read","Compensated cardiac failure","diagnostic","120 - Congestive cardiac failure","2014-02-14"
"12","G580400","Read","Congestive heart failure due to valvular disease","diagnostic","120 - Congestive cardiac failure","2014-02-14"
"13","G581.00","Read","Left ventricular failure","diagnostic","120 - Congestive cardiac failure","2014-02-14"
"14","G581000","Read","Acute left ventricular failure","diagnostic","120 - Congestive cardiac failure","2014-02-14"
"15","G58..11","Read","Cardiac failure","diagnostic","120 - Congestive cardiac failure","2014-02-14"
"16","G581.11","Read","Asthma - cardiac","diagnostic","120 - Congestive cardiac failure","2014-02-14"
"17","G581.12","Read","Pulmonary oedema - acute","diagnostic","120 - Congestive cardiac failure","2014-02-14"
"18","G581.13","Read","Impaired left ventricular function","diagnostic","120 - Congestive cardiac failure","2014-02-14"
"19","G582.00","Read","Acute heart failure","diagnostic","120 - Congestive cardiac failure","2014-02-14"
"20","G583.00","Read","Heart failure with normal ejection fraction","diagnostic","120 - Congestive cardiac failure","2014-02-14"
"21","G583.11","Read","HFNEF - heart failure with normal ejection fraction","diagnostic","120 - Congestive cardiac failure","2014-02-14"
"22","G584.00","Read","","diagnostic","120 - Congestive cardiac failure","2014-02-14"
"23","G58z.00","Read","Heart failure NOS","diagnostic","120 - Congestive cardiac failure","2014-02-14"
"24","G58z.11","Read","Weak heart","diagnostic","120 - Congestive cardiac failure","2014-02-14"
"25","G58z.12","Read","Cardiac failure NOS","diagnostic","120 - Congestive cardiac failure","2014-02-14"
"26","G5yy900","Read","Left ventricular systolic dysfunction","diagnostic","120 - Congestive cardiac failure","2014-02-14"
"27","G5yyA00","Read","Left ventricular diastolic dysfunction","diagnostic","120 - Congestive cardiac failure","2014-02-14"
