"","code","coding_system","description","entity","list_name","upload_date"
"1","2126300","Read","Diabetes resolved","diagnostic","119 - Diabetes","2014-02-14"
"2","C10..00","Read","Diabetes mellitus","diagnostic","119 - Diabetes","2014-02-14"
"3","C100.00","Read","Diabetes mellitus with no mention of complication","diagnostic","119 - Diabetes","2014-02-14"
"4","C100000","Read","Diabetes mellitus; juvenile type; no mention of complication","diagnostic","119 - Diabetes","2014-02-14"
"5","C100011","Read","Insulin dependent diabetes mellitus","diagnostic","119 - Diabetes","2014-02-14"
"6","C100100","Read","Diabetes mellitus; adult onset; no mention of complication","diagnostic","119 - Diabetes","2014-02-14"
"7","C100111","Read","Maturity onset diabetes","diagnostic","119 - Diabetes","2014-02-14"
"8","C100112","Read","Non-insulin dependent diabetes mellitus","diagnostic","119 - Diabetes","2014-02-14"
"9","C100z00","Read","Diabetes mellitus NOS with no mention of complication","diagnostic","119 - Diabetes","2014-02-14"
"10","C101.00","Read","Diabetes mellitus with ketoacidosis","diagnostic","119 - Diabetes","2014-02-14"
"11","C101000","Read","Diabetes mellitus; juvenile type; with ketoacidosis","diagnostic","119 - Diabetes","2014-02-14"
"12","C101100","Read","Diabetes mellitus; adult onset; with ketoacidosis","diagnostic","119 - Diabetes","2014-02-14"
"13","C101y00","Read","Other specified diabetes mellitus with ketoacidosis","diagnostic","119 - Diabetes","2014-02-14"
"14","C101z00","Read","Diabetes mellitus NOS with ketoacidosis","diagnostic","119 - Diabetes","2014-02-14"
"15","C102.00","Read","Diabetes mellitus with hyperosmolar coma","diagnostic","119 - Diabetes","2014-02-14"
"16","C102000","Read","Diabetes mellitus; juvenile type; with hyperosmolar coma","diagnostic","119 - Diabetes","2014-02-14"
"17","C102100","Read","Diabetes mellitus; adult onset; with hyperosmolar coma","diagnostic","119 - Diabetes","2014-02-14"
"18","C102z00","Read","Diabetes mellitus NOS with hyperosmolar coma","diagnostic","119 - Diabetes","2014-02-14"
"19","C103.00","Read","Diabetes mellitus with ketoacidotic coma","diagnostic","119 - Diabetes","2014-02-14"
"20","C103000","Read","Diabetes mellitus; juvenile type; with ketoacidotic coma","diagnostic","119 - Diabetes","2014-02-14"
"21","C103100","Read","Diabetes mellitus; adult onset; with ketoacidotic coma","diagnostic","119 - Diabetes","2014-02-14"
"22","C103y00","Read","Other specified diabetes mellitus with coma","diagnostic","119 - Diabetes","2014-02-14"
"23","C103z00","Read","Diabetes mellitus NOS with ketoacidotic coma","diagnostic","119 - Diabetes","2014-02-14"
"24","C104.00","Read","Diabetes mellitus with renal manifestation","diagnostic","119 - Diabetes","2014-02-14"
"25","C104000","Read","Diabetes mellitus; juvenile type; with renal manifestation","diagnostic","119 - Diabetes","2014-02-14"
"26","C104100","Read","Diabetes mellitus; adult onset; with renal manifestation","diagnostic","119 - Diabetes","2014-02-14"
"27","C104.11","Read","Diabetic nephropathy","diagnostic","119 - Diabetes","2014-02-14"
"28","C104y00","Read","Other specified diabetes mellitus with renal complications","diagnostic","119 - Diabetes","2014-02-14"
"29","C104z00","Read","Diabetes mellitus with nephropathy NOS","diagnostic","119 - Diabetes","2014-02-14"
"30","C105.00","Read","Diabetes mellitus with ophthalmic manifestation","diagnostic","119 - Diabetes","2014-02-14"
"31","C105000","Read","Diabetes mellitus; juvenile type; + ophthalmic manifestation","diagnostic","119 - Diabetes","2014-02-14"
"32","C105100","Read","Diabetes mellitus; adult onset; + ophthalmic manifestation","diagnostic","119 - Diabetes","2014-02-14"
"33","C105y00","Read","Other specified diabetes mellitus with ophthalmic complicatn","diagnostic","119 - Diabetes","2014-02-14"
"34","C105z00","Read","Diabetes mellitus NOS with ophthalmic manifestation","diagnostic","119 - Diabetes","2014-02-14"
"35","C106.00","Read","Diabetes mellitus with neurological manifestation","diagnostic","119 - Diabetes","2014-02-14"
"36","C106000","Read","Diabetes mellitus; juvenile; + neurological manifestation","diagnostic","119 - Diabetes","2014-02-14"
"37","C106100","Read","Diabetes mellitus; adult onset; + neurological manifestation","diagnostic","119 - Diabetes","2014-02-14"
"38","C106.11","Read","Diabetic amyotrophy","diagnostic","119 - Diabetes","2014-02-14"
"39","C106.12","Read","Diabetes mellitus with neuropathy","diagnostic","119 - Diabetes","2014-02-14"
"40","C106.13","Read","Diabetes mellitus with polyneuropathy","diagnostic","119 - Diabetes","2014-02-14"
"41","C106y00","Read","Other specified diabetes mellitus with neurological comps","diagnostic","119 - Diabetes","2014-02-14"
"42","C106z00","Read","Diabetes mellitus NOS with neurological manifestation","diagnostic","119 - Diabetes","2014-02-14"
"43","C107.00","Read","Diabetes mellitus with peripheral circulatory disorder","diagnostic","119 - Diabetes","2014-02-14"
"44","C107000","Read","Diabetes mellitus; juvenile +peripheral circulatory disorder","diagnostic","119 - Diabetes","2014-02-14"
"45","C107100","Read","Diabetes mellitus; adult; + peripheral circulatory disorder","diagnostic","119 - Diabetes","2014-02-14"
"46","C107.11","Read","Diabetes mellitus with gangrene","diagnostic","119 - Diabetes","2014-02-14"
"47","C107.12","Read","Diabetes with gangrene","diagnostic","119 - Diabetes","2014-02-14"
"48","C107200","Read","Diabetes mellitus; adult with gangrene","diagnostic","119 - Diabetes","2014-02-14"
"49","C107300","Read","IDDM with peripheral circulatory disorder","diagnostic","119 - Diabetes","2014-02-14"
"50","C107400","Read","NIDDM with peripheral circulatory disorder","diagnostic","119 - Diabetes","2014-02-14"
"51","C107z00","Read","Diabetes mellitus NOS with peripheral circulatory disorder","diagnostic","119 - Diabetes","2014-02-14"
"52","C108.00","Read","Insulin dependent diabetes mellitus","diagnostic","119 - Diabetes","2014-02-14"
"53","C108000","Read","Insulin-dependent diabetes mellitus with renal complications","diagnostic","119 - Diabetes","2014-02-14"
