"","code","coding_system","description","entity","list_name","upload_date"
"1","2126100","Read","Hypertension resolved","diagnostic","121 - Hypertension","2014-02-14"
"2","G2...00","Read","Hypertensive disease","diagnostic","121 - Hypertension","2014-02-14"
"3","G20..00","Read","Essential hypertension","diagnostic","121 - Hypertension","2014-02-14"
"4","G200.00","Read","Malignant essential hypertension","diagnostic","121 - Hypertension","2014-02-14"
"5","G201.00","Read","Benign essential hypertension","diagnostic","121 - Hypertension","2014-02-14"
"6","G20..11","Read","High blood pressure","diagnostic","121 - Hypertension","2014-02-14"
"7","G202.00","Read","Systolic hypertension","diagnostic","121 - Hypertension","2014-02-14"
"8","G203.00","Read","Diastolic hypertension","diagnostic","121 - Hypertension","2014-02-14"
"9","G20z.00","Read","Essential hypertension NOS","diagnostic","121 - Hypertension","2014-02-14"
"10","G20z.11","Read","Hypertension NOS","diagnostic","121 - Hypertension","2014-02-14"
"11","G24..00","Read","Secondary hypertension","diagnostic","121 - Hypertension","2014-02-14"
"12","G240.00","Read","Secondary malignant hypertension","diagnostic","121 - Hypertension","2014-02-14"
"13","G240000","Read","Secondary malignant renovascular hypertension","diagnostic","121 - Hypertension","2014-02-14"
"14","G240z00","Read","Secondary malignant hypertension NOS","diagnostic","121 - Hypertension","2014-02-14"
"15","G241.00","Read","Secondary benign hypertension","diagnostic","121 - Hypertension","2014-02-14"
"16","G241000","Read","Secondary benign renovascular hypertension","diagnostic","121 - Hypertension","2014-02-14"
"17","G241z00","Read","Secondary benign hypertension NOS","diagnostic","121 - Hypertension","2014-02-14"
"18","G244.00","Read","Hypertension secondary to endocrine disorders","diagnostic","121 - Hypertension","2014-02-14"
"19","G24z.00","Read","Secondary hypertension NOS","diagnostic","121 - Hypertension","2014-02-14"
"20","G24z000","Read","Secondary renovascular hypertension NOS","diagnostic","121 - Hypertension","2014-02-14"
"21","G24z100","Read","Hypertension secondary to drug","diagnostic","121 - Hypertension","2014-02-14"
"22","G24zz00","Read","Secondary hypertension NOS","diagnostic","121 - Hypertension","2014-02-14"
"23","G2y..00","Read","Other specified hypertensive disease","diagnostic","121 - Hypertension","2014-02-14"
"24","G2z..00","Read","Hypertensive disease NOS","diagnostic","121 - Hypertension","2014-02-14"
