"","code","coding_system","description","entity","list_name","upload_date"
"1","124..11","Read","FH: Cancer - *","diagnostic","136 - cancer","2014-06-24"
"2","1241.11","Read","FH: Stomach cancer","diagnostic","136 - cancer","2014-06-24"
"3","1241.12","Read","FH: Bowel cancer","diagnostic","136 - cancer","2014-06-24"
"4","1241.13","Read","FH: Intestinal cancer","diagnostic","136 - cancer","2014-06-24"
"5","1242.11","Read","FH: Bronchus cancer","diagnostic","136 - cancer","2014-06-24"
"6","1243.11","Read","FH: Breast cancer","diagnostic","136 - cancer","2014-06-24"
"7","124F.00","Read","FH: Bowel cancer","diagnostic","136 - cancer","2014-06-24"
"8","124H.00","Read","Family history of prostate cancer","diagnostic","136 - cancer","2014-06-24"
"9","142..11","Read","H/O: cancer","diagnostic","136 - cancer","2014-06-24"
"10","1Bb1.00","Read","Fear of getting cancer","diagnostic","136 - cancer","2014-06-24"
"11","1I2..00","Read","No evidence of cancer found","diagnostic","136 - cancer","2014-06-24"
"12","1I20.00","Read","No evidence of recurrence of cancer","diagnostic","136 - cancer","2014-06-24"
"13","1J00.00","Read","Suspected lung cancer","diagnostic","136 - cancer","2014-06-24"
"14","1J06.00","Read","Suspected cervical cancer","diagnostic","136 - cancer","2014-06-24"
"15","1J07.00","Read","Suspected endometrial cancer","diagnostic","136 - cancer","2014-06-24"
"16","1J08.00","Read","Suspected prostate cancer","diagnostic","136 - cancer","2014-06-24"
"17","1J09.00","Read","Suspected bladder cancer","diagnostic","136 - cancer","2014-06-24"
"18","1J0A.00","Read","Suspected kidney cancer","diagnostic","136 - cancer","2014-06-24"
"19","1J0B.00","Read","Suspected urothelial cancer","diagnostic","136 - cancer","2014-06-24"
"20","1J0C.00","Read","Suspected testicular cancer","diagnostic","136 - cancer","2014-06-24"
"21","1J0D.00","Read","Suspected upper gastrointestinal cancer","diagnostic","136 - cancer","2014-06-24"
"22","1J0E.00","Read","Suspected lower gastrointestinal cancer","diagnostic","136 - cancer","2014-06-24"
"23","1J0G.00","Read","Suspected skin cancer","diagnostic","136 - cancer","2014-06-24"
"24","1J0H.00","Read","Suspected head and neck cancer","diagnostic","136 - cancer","2014-06-24"
"25","1J0I.00","Read","Suspected breast cancer","diagnostic","136 - cancer","2014-06-24"
"26","1J0J.00","Read","Suspected gynaecological cancer","diagnostic","136 - cancer","2014-06-24"
"27","1J0K.00","Read","Suspected pancreatic cancer","diagnostic","136 - cancer","2014-06-24"
"28","1O0..00","Read","Cancer confirmed","diagnostic","136 - cancer","2014-06-24"
"29","4M0..00","Read","Gleason grading of prostate cancer","diagnostic","136 - cancer","2014-06-24"
"30","677H.00","Read","Cancer information offered","diagnostic","136 - cancer","2014-06-24"
"31","677K.00","Read","Cancer home care pack given","diagnostic","136 - cancer","2014-06-24"
"32","67D2.00","Read","Cancer information offered to patient","diagnostic","136 - cancer","2014-06-24"
"33","67G2.00","Read","Cancer information offered to significant other","diagnostic","136 - cancer","2014-06-24"
"34","68W2.00","Read","Bowel cancer screening programme","diagnostic","136 - cancer","2014-06-24"
"35","8B3p.00","Read","Administration of cancer treatment","diagnostic","136 - cancer","2014-06-24"
"36","8BAD000","Read","Cancer chemotherapy","diagnostic","136 - cancer","2014-06-24"
"37","8BAV.00","Read","Cancer care review","diagnostic","136 - cancer","2014-06-24"
"38","8BC3.00","Read","Cancer care plan given","diagnostic","136 - cancer","2014-06-24"
"39","8BC6.00","Read","Cancer treatment started","diagnostic","136 - cancer","2014-06-24"
"40","8BCF.00","Read","Cancer hospital treatment completed","diagnostic","136 - cancer","2014-06-24"
"41","8CEB.00","Read","Cancer screening leaflet given","diagnostic","136 - cancer","2014-06-24"
"42","8CL0.00","Read","Cancer diagnosis discussed","diagnostic","136 - cancer","2014-06-24"
"43","8CL1.00","Read","Cancer diagnosis discussed with significant other","diagnostic","136 - cancer","2014-06-24"
"44","8CL2.00","Read","Cancer diagnosis discussed with patient","diagnostic","136 - cancer","2014-06-24"
"45","8CM0.00","Read","Cancer care plan","diagnostic","136 - cancer","2014-06-24"
"46","8CP0.00","Read","Cancer care plan discussed with patient","diagnostic","136 - cancer","2014-06-24"
"47","8CP1.00","Read","Cancer care plan discussed with significant other","diagnostic","136 - cancer","2014-06-24"
"48","8CR8.00","Read","Cancer shared care medication card","diagnostic","136 - cancer","2014-06-24"
"49","8HH8.00","Read","Referred to cancer primary healthcare multidisciplinary team","diagnostic","136 - cancer","2014-06-24"
"50","8HHt.00","Read","Fast track cancer referral","diagnostic","136 - cancer","2014-06-24"
"51","8Hn..00","Read","Priority cancer referral","diagnostic","136 - cancer","2014-06-24"
"52","8O83.00","Read","Cancer emotional and psychosocial support and advice","diagnostic","136 - cancer","2014-06-24"
"53","9e00.00","Read","GP out of hours service notified of cancer care plan","diagnostic","136 - cancer","2014-06-24"
"54","9h8..00","Read","Exception reporting: cancer quality indicators","diagnostic","136 - cancer","2014-06-24"
"55","9h81.00","Read","Excepted from cancer quality indicators: Patient unsuitable","diagnostic","136 - cancer","2014-06-24"
"56","9h82.00","Read","Excepted from cancer quality indicators: Informed dissent","diagnostic","136 - cancer","2014-06-24"
"57","9N4S.00","Read","DNA - Did not attend cancer clinic","diagnostic","136 - cancer","2014-06-24"
"58","9Nh1.00","Read","Under care cancer primary healthcare multidisciplinary team","diagnostic","136 - cancer","2014-06-24"
"59","9NX0.00","Read","Cancer primary healthcare multidisciplinary team","diagnostic","136 - cancer","2014-06-24"
"60","9NX1.00","Read","Cancer supportive care worker","diagnostic","136 - cancer","2014-06-24"
"61","9Ok..00","Read","Cancer monitoring administration","diagnostic","136 - cancer","2014-06-24"
"62","9Ok0.00","Read","Cancer monitoring first letter","diagnostic","136 - cancer","2014-06-24"
"63","9Ok1.00","Read","Cancer monitoring second letter","diagnostic","136 - cancer","2014-06-24"
"64","9Ok2.00","Read","Cancer monitoring third letter","diagnostic","136 - cancer","2014-06-24"
"65","9Ok3.00","Read","Date cancer diagnosis received in primary care","diagnostic","136 - cancer","2014-06-24"
"66","9Ok5.00","Read","Cancer pain and symptom management","diagnostic","136 - cancer","2014-06-24"
"67","9Ok6.00","Read","Cancer short term health assessment","diagnostic","136 - cancer","2014-06-24"
"68","9Ok7.00","Read","Cancer rehabilitation and readaption","diagnostic","136 - cancer","2014-06-24"
"69","9Ok9.00","Read","Cancer screening follow up","diagnostic","136 - cancer","2014-06-24"
"70","9OkA.00","Read","Cancer monitoring verbal invitation","diagnostic","136 - cancer","2014-06-24"
"71","9OkB.00","Read","Cancer monitoring telephone invitation","diagnostic","136 - cancer","2014-06-24"
"72","A788600","Read","Human immunodeficiency virus with secondary cancers","diagnostic","136 - cancer","2014-06-24"
"73","B0...00","Read","Malignant neoplasm of lip; oral cavity and pharynx","diagnostic","136 - cancer","2014-06-24"
"74","B00..00","Read","Malignant neoplasm of lip","diagnostic","136 - cancer","2014-06-24"
"75","B000.00","Read","Malignant neoplasm of upper lip; vermilion border","diagnostic","136 - cancer","2014-06-24"
"76","B000000","Read","Malignant neoplasm of upper lip; external","diagnostic","136 - cancer","2014-06-24"
"77","B000100","Read","Malignant neoplasm of upper lip; lipstick area","diagnostic","136 - cancer","2014-06-24"
"78","B000z00","Read","Malignant neoplasm of upper lip; vermilion border NOS","diagnostic","136 - cancer","2014-06-24"
"79","B001.00","Read","Malignant neoplasm of lower lip; vermilion border","diagnostic","136 - cancer","2014-06-24"
"80","B001000","Read","Malignant neoplasm of lower lip; external","diagnostic","136 - cancer","2014-06-24"
"81","B00..11","Read","Carcinoma of lip","diagnostic","136 - cancer","2014-06-24"
"82","B001100","Read","Malignant neoplasm of lower lip; lipstick area","diagnostic","136 - cancer","2014-06-24"
"83","B001z00","Read","Malignant neoplasm of lower lip; vermilion border NOS","diagnostic","136 - cancer","2014-06-24"
"84","B002.00","Read","Malignant neoplasm of upper lip; inner aspect","diagnostic","136 - cancer","2014-06-24"
"85","B002100","Read","Malignant neoplasm of upper lip; frenulum","diagnostic","136 - cancer","2014-06-24"
"86","B002200","Read","Malignant neoplasm of upper lip; mucosa","diagnostic","136 - cancer","2014-06-24"
"87","B002300","Read","Malignant neoplasm of upper lip; oral aspect","diagnostic","136 - cancer","2014-06-24"
"88","B002z00","Read","Malignant neoplasm of upper lip; inner aspect NOS","diagnostic","136 - cancer","2014-06-24"
"89","B003.00","Read","Malignant neoplasm of lower lip; inner aspect","diagnostic","136 - cancer","2014-06-24"
"90","B003000","Read","Malignant neoplasm of lower lip; buccal aspect","diagnostic","136 - cancer","2014-06-24"
