"","code","coding_system","description","entity","list_name","upload_date"
"1",10081,"Read","Chronic uraemia","diagnostic","137 - Chronic Kidney Disease","2014-06-24"
"2",10647,"Read","Nephritis - chronic","diagnostic","137 - Chronic Kidney Disease","2014-06-24"
"3",10809,"Read","Chronic membranous glomerulonephritis","diagnostic","137 - Chronic Kidney Disease","2014-06-24"
"4",11553,"Read","Kidney transplant failure and rejection","diagnostic","137 - Chronic Kidney Disease","2014-06-24"
"5",11875,"Read","Nephropathy - chronic","diagnostic","137 - Chronic Kidney Disease","2014-06-24"
"6",12479,"Read","Chronic kidney disease stage 4","diagnostic","137 - Chronic Kidney Disease","2014-06-24"
"7",12566,"Read","Chronic kidney disease stage 3","diagnostic","137 - Chronic Kidney Disease","2014-06-24"
"8",12585,"Read","Chronic kidney disease stage 5","diagnostic","137 - Chronic Kidney Disease","2014-06-24"
"9",15097,"Read","Chronic glomerulonephritis NOS","diagnostic","137 - Chronic Kidney Disease","2014-06-24"
"10",17253,"Read","Renal transplant planned","diagnostic","137 - Chronic Kidney Disease","2014-06-24"
"11",17365,"Read","Nephrotic syndrome; diffuse crescentic glomerulonephritis","diagnostic","137 - Chronic Kidney Disease","2014-06-24"
"12",1803,"Read","Nephrotic syndrome with membranous glomerulonephritis","diagnostic","137 - Chronic Kidney Disease","2014-06-24"
"13",18774,"Read","Renal transplant with complication; without blame","diagnostic","137 - Chronic Kidney Disease","2014-06-24"
"14",19316,"Read","Nephrotic syndrome; diffuse membranous glomerulonephritis","diagnostic","137 - Chronic Kidney Disease","2014-06-24"
"15",21158,"Read","Chronic pyelitis","diagnostic","137 - Chronic Kidney Disease","2014-06-24"
"16",21947,"Read","Nephrotic syn difus mesangial prolifertiv glomerulonephritis","diagnostic","137 - Chronic Kidney Disease","2014-06-24"
"17",21989,"Read","Nephrotic syn;diffuse mesangiocapillary glomerulonephritis","diagnostic","137 - Chronic Kidney Disease","2014-06-24"
"18",22205,"Read","Lupus nephritis","diagnostic","137 - Chronic Kidney Disease","2014-06-24"
"19",22852,"Read","Nephrotic syndrome; focal and segmental glomerular lesions","diagnostic","137 - Chronic Kidney Disease","2014-06-24"
"20",23913,"Read","Nephrotic syndrome; minor glomerular abnormality","diagnostic","137 - Chronic Kidney Disease","2014-06-24"
"21",2471,"Read","Nephrotic syndrome in diabetes mellitus","diagnostic","137 - Chronic Kidney Disease","2014-06-24"
"22",25055,"Read","Chronic pyonephrosis","diagnostic","137 - Chronic Kidney Disease","2014-06-24"
"23",26862,"Read","Exploration of renal transplant","diagnostic","137 - Chronic Kidney Disease","2014-06-24"
"24",27427,"Read","Nephrotic syndrome NOS","diagnostic","137 - Chronic Kidney Disease","2014-06-24"
"25",2939,"Read","Calculous pyelonephritis","diagnostic","137 - Chronic Kidney Disease","2014-06-24"
"26",29634,"Read","Nephrotic syndrome with minimal change glomerulonephritis","diagnostic","137 - Chronic Kidney Disease","2014-06-24"
"27",2999,"Read","Nephrotic syndrome","diagnostic","137 - Chronic Kidney Disease","2014-06-24"
"28",34998,"Read","Chronic proliferative glomerulonephritis","diagnostic","137 - Chronic Kidney Disease","2014-06-24"
"29",35360,"Read","Nonobstructive reflux-associated chronic pyelonephritis","diagnostic","137 - Chronic Kidney Disease","2014-06-24"
"30",40349,"Read","Lipoid nephrosis","diagnostic","137 - Chronic Kidney Disease","2014-06-24"
"31",45499,"Read","Kimmelstiel - Wilson disease","diagnostic","137 - Chronic Kidney Disease","2014-06-24"
"32",4654,"Read","Chronic pyelonephritis","diagnostic","137 - Chronic Kidney Disease","2014-06-24"
"33",4669,"Read","Chronic focal glomerulonephritis","diagnostic","137 - Chronic Kidney Disease","2014-06-24"
"34",47672,"Read","Nephrotic syndrome in systemic lupus erythematosus","diagnostic","137 - Chronic Kidney Disease","2014-06-24"
"35",47922,"Read","Nephrotic syndrome in amyloidosis","diagnostic","137 - Chronic Kidney Disease","2014-06-24"
"36",48111,"Read","Chronic pyelonephritis NOS","diagnostic","137 - Chronic Kidney Disease","2014-06-24"
"37",48855,"Read","Chronic obstructive pyelonephritis","diagnostic","137 - Chronic Kidney Disease","2014-06-24"
"38",50472,"Read","Nephrotic syn;difus endocapilary proliftv glomerulonephritis","diagnostic","137 - Chronic Kidney Disease","2014-06-24"
"39",512,"Read","Chronic renal failure","diagnostic","137 - Chronic Kidney Disease","2014-06-24"
"40",53852,"Read","End stage renal failure","diagnostic","137 - Chronic Kidney Disease","2014-06-24"
"41",54990,"Read","Kidney transplant with complication; without blame","diagnostic","137 - Chronic Kidney Disease","2014-06-24"
"42",56987,"Read","Nephrotic syndrome; dense deposit disease","diagnostic","137 - Chronic Kidney Disease","2014-06-24"
"43",57568,"Read","Chronic pyelonephritis with medullary necrosis","diagnostic","137 - Chronic Kidney Disease","2014-06-24"
"44",57926,"Read","Steroid sensitive nephrotic syndrome","diagnostic","137 - Chronic Kidney Disease","2014-06-24"
"45",58750,"Read","Nephrotic syndrome in polyarteritis nodosa","diagnostic","137 - Chronic Kidney Disease","2014-06-24"
"46",5911,"Read","[V]Kidney transplanted","diagnostic","137 - Chronic Kidney Disease","2014-06-24"
"47",60960,"Read","Other chronic glomerulonephritis","diagnostic","137 - Chronic Kidney Disease","2014-06-24"
"48",61494,"Read","Chronic membranoproliferative glomerulonephritis","diagnostic","137 - Chronic Kidney Disease","2014-06-24"
"49",63615,"Read","Other chronic glomerulonephritis NOS","diagnostic","137 - Chronic Kidney Disease","2014-06-24"
"50",63786,"Read","Congenital nephrotic syndrome","diagnostic","137 - Chronic Kidney Disease","2014-06-24"
"51",65064,"Read","Chronic rapidly progressive glomerulonephritis","diagnostic","137 - Chronic Kidney Disease","2014-06-24"
"52",65400,"Read","Chronic diffuse glomerulonephritis","diagnostic","137 - Chronic Kidney Disease","2014-06-24"
"53",6712,"Read","End stage renal failure","diagnostic","137 - Chronic Kidney Disease","2014-06-24"
"54",72303,"Read","Finnish nephrosis syndrome","diagnostic","137 - Chronic Kidney Disease","2014-06-24"
"55",7804,"Read","Chronic glomerulonephritis","diagnostic","137 - Chronic Kidney Disease","2014-06-24"
"56",8330,"Read","End-stage renal disease","diagnostic","137 - Chronic Kidney Disease","2014-06-24"
"57",94373,"Read","Nephrotic syndrome with other pathological kidney lesions","diagnostic","137 - Chronic Kidney Disease","2014-06-24"
"58",94793,"Read","Chronic kidney disease stage 3 with proteinuria","diagnostic","137 - Chronic Kidney Disease","2014-06-24"
"59",94965,"Read","Chronic kidney disease stage 3A","diagnostic","137 - Chronic Kidney Disease","2014-06-24"
"60",95122,"Read","Chronic kidney disease stage 4 with proteinuria","diagnostic","137 - Chronic Kidney Disease","2014-06-24"
"61",95123,"Read","Chronic kidney disease stage 3 without proteinuria","diagnostic","137 - Chronic Kidney Disease","2014-06-24"
"62",95175,"Read","Chronic kidney disease stage 3A without proteinuria","diagnostic","137 - Chronic Kidney Disease","2014-06-24"
"63",95177,"Read","Chronic kidney disease stage 3B without proteinuria","diagnostic","137 - Chronic Kidney Disease","2014-06-24"
"64",95178,"Read","Chronic kidney disease stage 3B with proteinuria","diagnostic","137 - Chronic Kidney Disease","2014-06-24"
