"","code","coding_system","description","entity","list_name","upload_date"
"1","66A3.00","Read","Diabetic on diet only","diagnostic","58 - Diabetes","2014-01-27"
"2","66A4.00","Read","Diabetic on oral treatment","diagnostic","58 - Diabetes","2014-01-27"
"3","66A5.00","Read","Diabetic on insulin","diagnostic","58 - Diabetes","2014-01-27"
"4","66AI.00","Read","Diabetic - good control","diagnostic","58 - Diabetes","2014-01-27"
"5","66AJ.00","Read","Diabetic - poor control","diagnostic","58 - Diabetes","2014-01-27"
"6","66AJ100","Read","Brittle diabetes","diagnostic","58 - Diabetes","2014-01-27"
"7","66AJ.11","Read","Unstable diabetes","diagnostic","58 - Diabetes","2014-01-27"
"8","66AJz00","Read","Diabetic - poor control NOS","diagnostic","58 - Diabetes","2014-01-27"
"9","66AK.00","Read","Diabetic - cooperative patient","diagnostic","58 - Diabetes","2014-01-27"
"10","66AL.00","Read","Diabetic-uncooperative patient","diagnostic","58 - Diabetes","2014-01-27"
"11","66AV.00","Read","Diabetic on insulin and oral treatment","diagnostic","58 - Diabetes","2014-01-27"
"12","C10..00","Read","Diabetes mellitus","diagnostic","58 - Diabetes","2014-01-27"
"13","C100.00","Read","Diabetes mellitus with no mention of complication","diagnostic","58 - Diabetes","2014-01-27"
"14","C100000","Read","Diabetes mellitus; juvenile type; no mention of complication","diagnostic","58 - Diabetes","2014-01-27"
"15","C100011","Read","Insulin dependent diabetes mellitus","diagnostic","58 - Diabetes","2014-01-27"
"16","C100100","Read","Diabetes mellitus; adult onset; no mention of complication","diagnostic","58 - Diabetes","2014-01-27"
"17","C100111","Read","Maturity onset diabetes","diagnostic","58 - Diabetes","2014-01-27"
"18","C100112","Read","Non-insulin dependent diabetes mellitus","diagnostic","58 - Diabetes","2014-01-27"
"19","C100z00","Read","Diabetes mellitus NOS with no mention of complication","diagnostic","58 - Diabetes","2014-01-27"
"20","C101.00","Read","Diabetes mellitus with ketoacidosis","diagnostic","58 - Diabetes","2014-01-27"
"21","C101000","Read","Diabetes mellitus; juvenile type; with ketoacidosis","diagnostic","58 - Diabetes","2014-01-27"
"22","C101100","Read","Diabetes mellitus; adult onset; with ketoacidosis","diagnostic","58 - Diabetes","2014-01-27"
"23","C101y00","Read","Other specified diabetes mellitus with ketoacidosis","diagnostic","58 - Diabetes","2014-01-27"
"24","C101z00","Read","Diabetes mellitus NOS with ketoacidosis","diagnostic","58 - Diabetes","2014-01-27"
"25","C102.00","Read","Diabetes mellitus with hyperosmolar coma","diagnostic","58 - Diabetes","2014-01-27"
"26","C102000","Read","Diabetes mellitus; juvenile type; with hyperosmolar coma","diagnostic","58 - Diabetes","2014-01-27"
"27","C102100","Read","Diabetes mellitus; adult onset; with hyperosmolar coma","diagnostic","58 - Diabetes","2014-01-27"
"28","C102z00","Read","Diabetes mellitus NOS with hyperosmolar coma","diagnostic","58 - Diabetes","2014-01-27"
"29","C103.00","Read","Diabetes mellitus with ketoacidotic coma","diagnostic","58 - Diabetes","2014-01-27"
"30","C103000","Read","Diabetes mellitus; juvenile type; with ketoacidotic coma","diagnostic","58 - Diabetes","2014-01-27"
"31","C103100","Read","Diabetes mellitus; adult onset; with ketoacidotic coma","diagnostic","58 - Diabetes","2014-01-27"
"32","C103y00","Read","Other specified diabetes mellitus with coma","diagnostic","58 - Diabetes","2014-01-27"
"33","C103z00","Read","Diabetes mellitus NOS with ketoacidotic coma","diagnostic","58 - Diabetes","2014-01-27"
"34","C104.00","Read","Diabetes mellitus with renal manifestation","diagnostic","58 - Diabetes","2014-01-27"
"35","C104000","Read","Diabetes mellitus; juvenile type; with renal manifestation","diagnostic","58 - Diabetes","2014-01-27"
"36","C104100","Read","Diabetes mellitus; adult onset; with renal manifestation","diagnostic","58 - Diabetes","2014-01-27"
"37","C104y00","Read","Other specified diabetes mellitus with renal complications","diagnostic","58 - Diabetes","2014-01-27"
"38","C104z00","Read","Diabetes mellitis with nephropathy NOS","diagnostic","58 - Diabetes","2014-01-27"
"39","C105.00","Read","Diabetes mellitus with ophthalmic manifestation","diagnostic","58 - Diabetes","2014-01-27"
"40","C105000","Read","Diabetes mellitus; juvenile type; + ophthalmic manifestation","diagnostic","58 - Diabetes","2014-01-27"
"41","C105100","Read","Diabetes mellitus; adult onset; + ophthalmic manifestation","diagnostic","58 - Diabetes","2014-01-27"
"42","C105y00","Read","Other specified diabetes mellitus with ophthalmic complicatn","diagnostic","58 - Diabetes","2014-01-27"
"43","C105z00","Read","Diabetes mellitus NOS with ophthalmic manifestation","diagnostic","58 - Diabetes","2014-01-27"
"44","C106.00","Read","Diabetes mellitus with neurological manifestation","diagnostic","58 - Diabetes","2014-01-27"
"45","C106000","Read","Diabetes mellitus; juvenile; + neurological manifestation","diagnostic","58 - Diabetes","2014-01-27"
"46","C106100","Read","Diabetes mellitus; adult onset; + neurological manifestation","diagnostic","58 - Diabetes","2014-01-27"
"47","C106.12","Read","Diabetes mellitus with neuropathy","diagnostic","58 - Diabetes","2014-01-27"
"48","C106.13","Read","Diabetes mellitus with polyneuropathy","diagnostic","58 - Diabetes","2014-01-27"
"49","C106y00","Read","Other specified diabetes mellitus with neurological comps","diagnostic","58 - Diabetes","2014-01-27"
"50","C106z00","Read","Diabetes mellitus NOS with neurological manifestation","diagnostic","58 - Diabetes","2014-01-27"
"51","C107.00","Read","Diabetes mellitus with peripheral circulatory disorder","diagnostic","58 - Diabetes","2014-01-27"
"52","C107000","Read","Diabetes mellitus; juvenile +peripheral circulatory disorder","diagnostic","58 - Diabetes","2014-01-27"
"53","C107100","Read","Diabetes mellitus; adult; + peripheral circulatory disorder","diagnostic","58 - Diabetes","2014-01-27"
"54","C107.11","Read","Diabetes mellitus with gangrene","diagnostic","58 - Diabetes","2014-01-27"
"55","C107.12","Read","Diabetes with gangrene","diagnostic","58 - Diabetes","2014-01-27"
"56","C107200","Read","Diabetes mellitus; adult with gangrene","diagnostic","58 - Diabetes","2014-01-27"
"57","C107300","Read","IDDM with peripheral circulatory disorder","diagnostic","58 - Diabetes","2014-01-27"
"58","C107400","Read","NIDDM with peripheral circulatory disorder","diagnostic","58 - Diabetes","2014-01-27"
"59","C107z00","Read","Diabetes mellitus NOS with peripheral circulatory disorder","diagnostic","58 - Diabetes","2014-01-27"
"60","C108.00","Read","Insulin dependent diabetes mellitus","diagnostic","58 - Diabetes","2014-01-27"
"61","C108000","Read","Insulin-dependent diabetes mellitus with renal complications","diagnostic","58 - Diabetes","2014-01-27"
"62","C108011","Read","Type I diabetes mellitus with renal complications","diagnostic","58 - Diabetes","2014-01-27"
"63","C108012","Read","Type 1 diabetes mellitus with renal complications","diagnostic","58 - Diabetes","2014-01-27"
"64","C108100","Read","Insulin-dependent diabetes mellitus with ophthalmic comps","diagnostic","58 - Diabetes","2014-01-27"
"65","C108.11","Read","IDDM-Insulin dependent diabetes mellitus","diagnostic","58 - Diabetes","2014-01-27"
"66","C108.12","Read","Type 1 diabetes mellitus","diagnostic","58 - Diabetes","2014-01-27"
"67","C108.13","Read","Type I diabetes mellitus","diagnostic","58 - Diabetes","2014-01-27"
"68","C108200","Read","Insulin-dependent diabetes mellitus with neurological comps","diagnostic","58 - Diabetes","2014-01-27"
"69","C108211","Read","Type I diabetes mellitus with neurological complications","diagnostic","58 - Diabetes","2014-01-27"
"70","C108212","Read","Type 1 diabetes mellitus with neurological complications","diagnostic","58 - Diabetes","2014-01-27"
"71","C108300","Read","Insulin dependent diabetes mellitus with multiple complicatn","diagnostic","58 - Diabetes","2014-01-27"
"72","C108400","Read","Unstable insulin dependent diabetes mellitus","diagnostic","58 - Diabetes","2014-01-27"
"73","C108411","Read","Unstable type I diabetes mellitus","diagnostic","58 - Diabetes","2014-01-27"
"74","C108500","Read","Insulin dependent diabetes mellitus with ulcer","diagnostic","58 - Diabetes","2014-01-27"
"75","C108511","Read","Type I diabetes mellitus with ulcer","diagnostic","58 - Diabetes","2014-01-27"
"76","C108600","Read","Insulin dependent diabetes mellitus with gangrene","diagnostic","58 - Diabetes","2014-01-27"
"77","C108700","Read","Insulin dependent diabetes mellitus with retinopathy","diagnostic","58 - Diabetes","2014-01-27"
"78","C108711","Read","Type I diabetes mellitus with retinopathy","diagnostic","58 - Diabetes","2014-01-27"
"79","C108712","Read","Type 1 diabetes mellitus with retinopathy","diagnostic","58 - Diabetes","2014-01-27"
"80","C108800","Read","Insulin dependent diabetes mellitus - poor control","diagnostic","58 - Diabetes","2014-01-27"
"81","C108811","Read","Type I diabetes mellitus - poor control","diagnostic","58 - Diabetes","2014-01-27"
"82","C108812","Read","Type 1 diabetes mellitus - poor control","diagnostic","58 - Diabetes","2014-01-27"
"83","C108900","Read","Insulin dependent diabetes maturity onset","diagnostic","58 - Diabetes","2014-01-27"
"84","C108911","Read","Type I diabetes mellitus maturity onset","diagnostic","58 - Diabetes","2014-01-27"
"85","C108A00","Read","Insulin-dependent diabetes without complication","diagnostic","58 - Diabetes","2014-01-27"
"86","C108B00","Read","Insulin dependent diabetes mellitus with mononeuropathy","diagnostic","58 - Diabetes","2014-01-27"
"87","C108B11","Read","Type I diabetes mellitus with mononeuropathy","diagnostic","58 - Diabetes","2014-01-27"
"88","C108C00","Read","Insulin dependent diabetes mellitus with polyneuropathy","diagnostic","58 - Diabetes","2014-01-27"
"89","C108D00","Read","Insulin dependent diabetes mellitus with nephropathy","diagnostic","58 - Diabetes","2014-01-27"
"90","C108D11","Read","Type I diabetes mellitus with nephropathy","diagnostic","58 - Diabetes","2014-01-27"
"91","C108E00","Read","Insulin dependent diabetes mellitus with hypoglycaemic coma","diagnostic","58 - Diabetes","2014-01-27"
"92","C108E11","Read","Type I diabetes mellitus with hypoglycaemic coma","diagnostic","58 - Diabetes","2014-01-27"
"93","C108E12","Read","Type 1 diabetes mellitus with hypoglycaemic coma","diagnostic","58 - Diabetes","2014-01-27"
"94","C108F00","Read","Insulin dependent diabetes mellitus with diabetic cataract","diagnostic","58 - Diabetes","2014-01-27"
"95","C108F11","Read","Type I diabetes mellitus with diabetic cataract","diagnostic","58 - Diabetes","2014-01-27"
"96","C108G00","Read","Insulin dependent diab mell with peripheral angiopathy","diagnostic","58 - Diabetes","2014-01-27"
"97","C108H00","Read","Insulin dependent diabetes mellitus with arthropathy","diagnostic","58 - Diabetes","2014-01-27"
"98","C108H11","Read","Type I diabetes mellitus with arthropathy","diagnostic","58 - Diabetes","2014-01-27"
"99","C108J00","Read","Insulin dependent diab mell with neuropathic arthropathy","diagnostic","58 - Diabetes","2014-01-27"
"100","C108J12","Read","Type 1 diabetes mellitus with neuropathic arthropathy","diagnostic","58 - Diabetes","2014-01-27"
"101","C108y00","Read","Other specified diabetes mellitus with multiple comps","diagnostic","58 - Diabetes","2014-01-27"
"102","C108z00","Read","Unspecified diabetes mellitus with multiple complications","diagnostic","58 - Diabetes","2014-01-27"
"103","C109.00","Read","Non-insulin-dependent diabetes mellitus","diagnostic","58 - Diabetes","2014-01-27"
"104","C109000","Read","Non-insulin-dependent diabetes mellitus with renal comps","diagnostic","58 - Diabetes","2014-01-27"
"105","C109011","Read","Type II diabetes mellitus with renal complications","diagnostic","58 - Diabetes","2014-01-27"
"106","C109012","Read","Type 2 diabetes mellitus with renal complications","diagnostic","58 - Diabetes","2014-01-27"
"107","C109100","Read","Non-insulin-dependent diabetes mellitus with ophthalm comps","diagnostic","58 - Diabetes","2014-01-27"
"108","C109.11","Read","NIDDM - Non-insulin dependent diabetes mellitus","diagnostic","58 - Diabetes","2014-01-27"
