"","code","coding_system","description","entity","list_name","upload_date","BNF_header","BNF_code","drug_substance_name"
"1",10007,"CPRD_product_code","NEURONTIN caps 100mg","drug","64 - epilepsy_drugs","2014-01-27","Neuropathic pain",4070300,"GABAPENTIN"
"2",10092,"CPRD_product_code","MYSOLINE tabs 250mg","drug","64 - epilepsy_drugs","2014-01-27","Drugs for essential tremor; chorea; tics and related disorders",4090300,"PRIMIDONE"
"3",10111,"CPRD_product_code","LAMICTAL tabs 200mg","drug","64 - epilepsy_drugs","2014-01-27","Control of epilepsy",4080100,"LAMOTRIGINE"
"4",10189,"CPRD_product_code","LYRICA caps 300mg","drug","64 - epilepsy_drugs","2014-01-27","Neuropathic pain",4070300,"PREGABALIN"
"5",10247,"CPRD_product_code","KEPPRA tabs 500mg","drug","64 - epilepsy_drugs","2014-01-27","Control of epilepsy",4080100,"LEVETIRACETAM"
"6",10263,"CPRD_product_code","EPANUTIN caps 300mg","drug","64 - epilepsy_drugs","2014-01-27","Control of epilepsy",4080100,"PHENYTOIN SODIUM"
"7",10273,"CPRD_product_code","PHENOBARBITAL elixir 50mg/5ml","drug","64 - epilepsy_drugs","2014-01-27","Control of epilepsy",4080100,"PHENOBARBITAL"
"8",10278,"CPRD_product_code","EPISTAT buccal soln 10mg/ml","drug","64 - epilepsy_drugs","2014-01-27","Unlicensed product",23010000,"MIDAZOLAM HYDROCHLORIDE"
"9",10402,"CPRD_product_code","VALIUM tabs 10mg","drug","64 - epilepsy_drugs","2014-01-27","Control of epilepsy",4080100,"DIAZEPAM"
"10",10650,"CPRD_product_code","RIVOTRIL tabs 0.5mg","drug","64 - epilepsy_drugs","2014-01-27","Control of epilepsy",4080100,"CLONAZEPAM"
"11",10694,"CPRD_product_code","CLOBAZAM 2.5 MG CAP","drug","64 - epilepsy_drugs","2014-01-27","",0,""
"12",107,"CPRD_product_code","PHENYTOIN caps 25mg","drug","64 - epilepsy_drugs","2014-01-27","Control of epilepsy",4080100,"PHENYTOIN SODIUM"
"13",10705,"CPRD_product_code","SABRIL tabs 500mg","drug","64 - epilepsy_drugs","2014-01-27","Control of epilepsy",4080100,"VIGABATRIN"
"14",11075,"CPRD_product_code","SODIUM VALPROATE + VALPROIC ACID mr tab 500mg","drug","64 - epilepsy_drugs","2014-01-27","Control of epilepsy",4080100,"VALPROIC ACID"
"15",11237,"CPRD_product_code","TOPIRAMATE tabs 25mg","drug","64 - epilepsy_drugs","2014-01-27","Prophylaxis of migraine",4070402,"TOPIRAMATE"
"16",11445,"CPRD_product_code","LAMICTAL disp tab 25mg","drug","64 - epilepsy_drugs","2014-01-27","Control of epilepsy",4080100,"LAMOTRIGINE"
"17",11508,"CPRD_product_code","PIRACETAM FC tab 800mg","drug","64 - epilepsy_drugs","2014-01-27","Drugs for essential tremor; chorea; tics and related disorders",4090300,"PIRACETAM"
"18",1157,"CPRD_product_code","PRIMIDONE tabs 250mg","drug","64 - epilepsy_drugs","2014-01-27","Drugs for essential tremor; chorea; tics and related disorders",4090300,"PRIMIDONE"
"19",1158,"CPRD_product_code","CARBAMAZEPINE tabs 200mg","drug","64 - epilepsy_drugs","2014-01-27","Control of epilepsy",4080100,"CARBAMAZEPINE"
"20",11696,"CPRD_product_code","CARBAMAZEPINE chewable tab 200mg","drug","64 - epilepsy_drugs","2014-01-27","Antimanic drugs",4020300,"CARBAMAZEPINE"
"21",11715,"CPRD_product_code","LEVETIRACETAM tabs 750mg","drug","64 - epilepsy_drugs","2014-01-27","Control of epilepsy",4080100,"LEVETIRACETAM"
"22",11873,"CPRD_product_code","ZONISAMIDE caps 25mg","drug","64 - epilepsy_drugs","2014-01-27","Control of epilepsy",4080100,"ZONISAMIDE"
"23",12688,"CPRD_product_code","PHENOBARBITAL SODIUM pwdr","drug","64 - epilepsy_drugs","2014-01-27","Ingredient",99000000,"PHENOBARBITAL SODIUM"
"24",12821,"CPRD_product_code","TOPAMAX SPRINKLE caps 15mg","drug","64 - epilepsy_drugs","2014-01-27","Control of epilepsy",4080100,"TOPIRAMATE"
"25",12849,"CPRD_product_code","DIAZEPAM susp 10mg/5ml","drug","64 - epilepsy_drugs","2014-01-27","Control of epilepsy",4080100,"DIAZEPAM"
"26",12880,"CPRD_product_code","TEGRETOL CHEWTAB tabs 200mg","drug","64 - epilepsy_drugs","2014-01-27","Antimanic drugs",4020300,"CARBAMAZEPINE"
"27",12931,"CPRD_product_code","EPIMAZ RETARD tabs 200mg","drug","64 - epilepsy_drugs","2014-01-27","Neuropathic pain",4070300,"CARBAMAZEPINE"
"28",12932,"CPRD_product_code","EPIMAZ tabs 100mg","drug","64 - epilepsy_drugs","2014-01-27","Antimanic drugs",4020300,"CARBAMAZEPINE"
"29",13112,"CPRD_product_code","CARBAGEN SR tablets 200mg","drug","64 - epilepsy_drugs","2014-01-27","Antimanic drugs",4020300,"CARBAMAZEPINE"
"30",13200,"CPRD_product_code","CLONAZEPAM sf oral soln 2mg/5ml","drug","64 - epilepsy_drugs","2014-01-27","Control of epilepsy",4080100,"CLONAZEPAM"
"31",13524,"CPRD_product_code","TEGRETOL CHEWTAB tabs 100mg","drug","64 - epilepsy_drugs","2014-01-27","Antimanic drugs",4020300,"CARBAMAZEPINE"
"32",13608,"CPRD_product_code","TOPAMAX tabs 50mg","drug","64 - epilepsy_drugs","2014-01-27","Control of epilepsy",4080100,"TOPIRAMATE"
"33",1370,"CPRD_product_code","PHENYTOIN caps 100mg","drug","64 - epilepsy_drugs","2014-01-27","Neuropathic pain",4070300,"PHENYTOIN SODIUM"
"34",13825,"CPRD_product_code","TIAGABINE tabs 5mg","drug","64 - epilepsy_drugs","2014-01-27","Control of epilepsy",4080100,"TIAGABINE HYDROCHLORIDE MONOHYDRATE"
"35",13828,"CPRD_product_code","TIAGABINE tabs 15mg","drug","64 - epilepsy_drugs","2014-01-27","Control of epilepsy",4080100,"TIAGABINE HYDROCHLORIDE MONOHYDRATE"
"36",13890,"CPRD_product_code","TOPAMAX tabs 200mg","drug","64 - epilepsy_drugs","2014-01-27","Prophylaxis of migraine",4070402,"TOPIRAMATE"
"37",1398,"CPRD_product_code","EPANUTIN caps 100mg","drug","64 - epilepsy_drugs","2014-01-27","Control of epilepsy",4080100,"PHENYTOIN SODIUM"
"38",1399,"CPRD_product_code","PHENOBARBITAL tabs 60mg","drug","64 - epilepsy_drugs","2014-01-27","Control of epilepsy",4080100,"PHENOBARBITAL"
"39",14199,"CPRD_product_code","OXCARBAZEPINE sf oral susp 60mg/ml","drug","64 - epilepsy_drugs","2014-01-27","Control of epilepsy",4080100,"OXCARBAZEPINE"
"40",14743,"CPRD_product_code","CLONAZEPAM susp 500micrograms/5ml","drug","64 - epilepsy_drugs","2014-01-27","Control of epilepsy",4080100,"CLONAZEPAM"
"41",14762,"CPRD_product_code","PHENOBARBITAL inj 60mg/ml","drug","64 - epilepsy_drugs","2014-01-27","Control of epilepsy",4080100,"PHENOBARBITAL SODIUM"
"42",14763,"CPRD_product_code","PHENOBARBITAL SODIUM inj 200mg/ml","drug","64 - epilepsy_drugs","2014-01-27","Control of epilepsy",4080100,"PHENOBARBITAL SODIUM"
"43",14857,"CPRD_product_code","PHENYTOIN paed tab 50mg","drug","64 - epilepsy_drugs","2014-01-27","Control of epilepsy",4080100,"PHENYTOIN"
"44",15030,"CPRD_product_code","MYSOLINE oral susp 250mg/5ml","drug","64 - epilepsy_drugs","2014-01-27","Control of epilepsy",4080100,"PRIMIDONE"
"45",15082,"CPRD_product_code","TEGRETOL supp 250mg","drug","64 - epilepsy_drugs","2014-01-27","Control of epilepsy",4080100,"CARBAMAZEPINE"
"46",15106,"CPRD_product_code","PHENYTOIN 30 MG TAB","drug","64 - epilepsy_drugs","2014-01-27","",0,""
"47",15126,"CPRD_product_code","LAMICTAL disp tab 5mg","drug","64 - epilepsy_drugs","2014-01-27","Control of epilepsy",4080100,"LAMOTRIGINE"
"48",15227,"CPRD_product_code","KEPPRA tabs 1000mg","drug","64 - epilepsy_drugs","2014-01-27","Control of epilepsy",4080100,"LEVETIRACETAM"
"49",15338,"CPRD_product_code","ZONISAMIDE caps 100mg","drug","64 - epilepsy_drugs","2014-01-27","Control of epilepsy",4080100,"ZONISAMIDE"
"50",15347,"CPRD_product_code","ACETAZOLAMIDE SODIUM inj 500mg","drug","64 - epilepsy_drugs","2014-01-27","Carbonic anhydrase inhibitors and systemic drugs (in glaucoma)",11060400,"ACETAZOLAMIDE"
"51",15394,"CPRD_product_code","PIRACETAM 400 MG CAP","drug","64 - epilepsy_drugs","2014-01-27","",0,""
"52",15429,"CPRD_product_code","CLOBAZAM 5 MG CAP","drug","64 - epilepsy_drugs","2014-01-27","",0,""
"53",1550,"CPRD_product_code","SODIUM VALPROATE syrp 200mg/5ml","drug","64 - epilepsy_drugs","2014-01-27","Control of epilepsy",4080100,"SODIUM VALPROATE"
"54",1559,"CPRD_product_code","CLONAZEPAM tabs 500 micrograms","drug","64 - epilepsy_drugs","2014-01-27","Control of epilepsy",4080100,"CLONAZEPAM"
"55",1576,"CPRD_product_code","PHENOBARBITAL tabs 30mg","drug","64 - epilepsy_drugs","2014-01-27","Control of epilepsy",4080100,"PHENOBARBITAL"
"56",1584,"CPRD_product_code","GABAPENTIN caps 300mg","drug","64 - epilepsy_drugs","2014-01-27","Neuropathic pain",4070300,"GABAPENTIN"
"57",15851,"CPRD_product_code","TOPAMAX tabs 100mg","drug","64 - epilepsy_drugs","2014-01-27","Prophylaxis of migraine",4070402,"TOPIRAMATE"
"58",16080,"CPRD_product_code","KEPPRA tabs 750mg","drug","64 - epilepsy_drugs","2014-01-27","Control of epilepsy",4080100,"LEVETIRACETAM"
