"","code","coding_system","description","entity","list_name","upload_date"
"1","1O1..00","Read","Heart failure confirmed","diagnostic","134 - Heart Failure","2014-06-24"
"2","G1yz100","Read","Rheumatic left ventricular failure","diagnostic","134 - Heart Failure","2014-06-24"
"3","G232.00","Read","Hypertensive heart&renal dis wth (congestive) heart failure","diagnostic","134 - Heart Failure","2014-06-24"
"4","G234.00","Read","Hyperten heart&renal dis+both(congestv)heart and renal fail","diagnostic","134 - Heart Failure","2014-06-24"
"5","G58..00","Read","Heart failure","diagnostic","134 - Heart Failure","2014-06-24"
"6","G580.00","Read","Congestive heart failure","diagnostic","134 - Heart Failure","2014-06-24"
"7","G580000","Read","Acute congestive heart failure","diagnostic","134 - Heart Failure","2014-06-24"
"8","G580100","Read","Chronic congestive heart failure","diagnostic","134 - Heart Failure","2014-06-24"
"9","G580.11","Read","Congestive cardiac failure","diagnostic","134 - Heart Failure","2014-06-24"
"10","G580.12","Read","Right heart failure","diagnostic","134 - Heart Failure","2014-06-24"
"11","G580.13","Read","Right ventricular failure","diagnostic","134 - Heart Failure","2014-06-24"
"12","G580.14","Read","Biventricular failure","diagnostic","134 - Heart Failure","2014-06-24"
"13","G580200","Read","Decompensated cardiac failure","diagnostic","134 - Heart Failure","2014-06-24"
"14","G580300","Read","Compensated cardiac failure","diagnostic","134 - Heart Failure","2014-06-24"
"15","G581.00","Read","Left ventricular failure","diagnostic","134 - Heart Failure","2014-06-24"
"16","G581000","Read","Acute left ventricular failure","diagnostic","134 - Heart Failure","2014-06-24"
"17","G58..11","Read","Cardiac failure","diagnostic","134 - Heart Failure","2014-06-24"
"18","G581.11","Read","Asthma - cardiac","diagnostic","134 - Heart Failure","2014-06-24"
"19","G581.12","Read","Pulmonary oedema - acute","diagnostic","134 - Heart Failure","2014-06-24"
"20","G581.13","Read","Impaired left ventricular function","diagnostic","134 - Heart Failure","2014-06-24"
"21","G582.00","Read","Acute heart failure","diagnostic","134 - Heart Failure","2014-06-24"
"22","G58z.00","Read","Heart failure NOS","diagnostic","134 - Heart Failure","2014-06-24"
"23","G58z.12","Read","Cardiac failure NOS","diagnostic","134 - Heart Failure","2014-06-24"
"24","Q48y100","Read","Congenital cardiac failure","diagnostic","134 - Heart Failure","2014-06-24"
"25","Q490.00","Read","Neonatal cardiac failure","diagnostic","134 - Heart Failure","2014-06-24"
