"","code","coding_system","description","entity","list_name","upload_date","type"
"1","7L06.00","Read","Amputation of leg","diagnostic","127 - Macrovascular_complications","2014-06-23",4
"2","7L06400","Read","Amputation below knee","diagnostic","127 - Macrovascular_complications","2014-06-23",4
"3","7L07.00","Read","Amputation of foot","diagnostic","127 - Macrovascular_complications","2014-06-23",4
"4","7L07000","Read","Amputation through ankle","diagnostic","127 - Macrovascular_complications","2014-06-23",4
"5","7L07012","Read","Syme amputation of foot through ankle","diagnostic","127 - Macrovascular_complications","2014-06-23",4
"6","7L07300","Read","Amputation through metatarsal bones","diagnostic","127 - Macrovascular_complications","2014-06-23",4
"7","7L07y00","Read","Other specified amputation of foot","diagnostic","127 - Macrovascular_complications","2014-06-23",4
"8","7L07z00","Read","Amputation of foot NOS","diagnostic","127 - Macrovascular_complications","2014-06-23",4
"9","7L08.00","Read","Amputation of toe","diagnostic","127 - Macrovascular_complications","2014-06-23",4
"10","7L08011","Read","Amputation great toe","diagnostic","127 - Macrovascular_complications","2014-06-23",4
"11","7L08100","Read","Amputation of phalanx of toe","diagnostic","127 - Macrovascular_complications","2014-06-23",4
"12","7L08300","Read","Amputation lesser toe","diagnostic","127 - Macrovascular_complications","2014-06-23",4
"13","7L08y00","Read","Other specified amputation of toe","diagnostic","127 - Macrovascular_complications","2014-06-23",4
"14","7L08z00","Read","Amputation of toe NOS","diagnostic","127 - Macrovascular_complications","2014-06-23",4
"15","7L0L200","Read","Amputation of supernumerary toe","diagnostic","127 - Macrovascular_complications","2014-06-23",4
"16","G30..00","Read","Acute myocardial infarction","diagnostic","127 - Macrovascular_complications","2014-06-23",2
"17","G300.00","Read","Acute anterolateral infarction","diagnostic","127 - Macrovascular_complications","2014-06-23",2
"18","G301.00","Read","Other specified anterior myocardial infarction","diagnostic","127 - Macrovascular_complications","2014-06-23",2
"19","G301000","Read","Acute anteroapical infarction","diagnostic","127 - Macrovascular_complications","2014-06-23",2
"20","G301100","Read","Acute anteroseptal infarction","diagnostic","127 - Macrovascular_complications","2014-06-23",2
"21","G30..12","Read","Coronary thrombosis","diagnostic","127 - Macrovascular_complications","2014-06-23",2
"22","G30..13","Read","Cardiac rupture following myocardial infarction (MI)","diagnostic","127 - Macrovascular_complications","2014-06-23",2
"23","G30..15","Read","MI - acute myocardial infarction","diagnostic","127 - Macrovascular_complications","2014-06-23",2
"24","G30..16","Read","Thrombosis - coronary","diagnostic","127 - Macrovascular_complications","2014-06-23",2
"25","G30..17","Read","Silent myocardial infarction","diagnostic","127 - Macrovascular_complications","2014-06-23",2
"26","G301z00","Read","Anterior myocardial infarction NOS","diagnostic","127 - Macrovascular_complications","2014-06-23",2
"27","G302.00","Read","Acute inferolateral infarction","diagnostic","127 - Macrovascular_complications","2014-06-23",2
"28","G303.00","Read","Acute inferoposterior infarction","diagnostic","127 - Macrovascular_complications","2014-06-23",2
"29","G304.00","Read","Posterior myocardial infarction NOS","diagnostic","127 - Macrovascular_complications","2014-06-23",2
"30","G305.00","Read","Lateral myocardial infarction NOS","diagnostic","127 - Macrovascular_complications","2014-06-23",2
"31","G306.00","Read","True posterior myocardial infarction","diagnostic","127 - Macrovascular_complications","2014-06-23",2
"32","G307.00","Read","Acute subendocardial infarction","diagnostic","127 - Macrovascular_complications","2014-06-23",2
"33","G307000","Read","Acute non-Q wave infarction","diagnostic","127 - Macrovascular_complications","2014-06-23",2
"34","G307100","Read","Acute non-ST segment elevation myocardial infarction","diagnostic","127 - Macrovascular_complications","2014-06-23",2
"35","G308.00","Read","Inferior myocardial infarction NOS","diagnostic","127 - Macrovascular_complications","2014-06-23",2
"36","G309.00","Read","Acute Q-wave infarct","diagnostic","127 - Macrovascular_complications","2014-06-23",2
"37","G30B.00","Read","Acute posterolateral myocardial infarction","diagnostic","127 - Macrovascular_complications","2014-06-23",2
"38","G30X.00","Read","Acute transmural myocardial infarction of unspecif site","diagnostic","127 - Macrovascular_complications","2014-06-23",2
"39","G30X000","Read","Acute ST segment elevation myocardial infarction","diagnostic","127 - Macrovascular_complications","2014-06-23",2
"40","G30y.00","Read","Other acute myocardial infarction","diagnostic","127 - Macrovascular_complications","2014-06-23",2
"41","G30y100","Read","Acute papillary muscle infarction","diagnostic","127 - Macrovascular_complications","2014-06-23",2
"42","G30y200","Read","Acute septal infarction","diagnostic","127 - Macrovascular_complications","2014-06-23",2
"43","G30yz00","Read","Other acute myocardial infarction NOS","diagnostic","127 - Macrovascular_complications","2014-06-23",2
"44","G30z.00","Read","Acute myocardial infarction NOS","diagnostic","127 - Macrovascular_complications","2014-06-23",2
"45","G311000","Read","Myocardial infarction aborted","diagnostic","127 - Macrovascular_complications","2014-06-23",2
"46","G311011","Read","MI - myocardial infarction aborted","diagnostic","127 - Macrovascular_complications","2014-06-23",2
"47","G311500","Read","Acute coronary syndrome","diagnostic","127 - Macrovascular_complications","2014-06-23",2
"48","G35..00","Read","Subsequent myocardial infarction","diagnostic","127 - Macrovascular_complications","2014-06-23",2
"49","G350.00","Read","Subsequent myocardial infarction of anterior wall","diagnostic","127 - Macrovascular_complications","2014-06-23",2
"50","G351.00","Read","Subsequent myocardial infarction of inferior wall","diagnostic","127 - Macrovascular_complications","2014-06-23",2
"51","G353.00","Read","Subsequent myocardial infarction of other sites","diagnostic","127 - Macrovascular_complications","2014-06-23",2
"52","G35X.00","Read","Subsequent myocardial infarction of unspecified site","diagnostic","127 - Macrovascular_complications","2014-06-23",2
"53","G360.00","Read","Haemopericardium/current comp folow acut myocard infarct","diagnostic","127 - Macrovascular_complications","2014-06-23",2
"54","G362.00","Read","Ventric septal defect/curr comp fol acut myocardal infarctn","diagnostic","127 - Macrovascular_complications","2014-06-23",2
"55","G363.00","Read","Ruptur cardiac wall w'out haemopericard/cur comp fol ac MI","diagnostic","127 - Macrovascular_complications","2014-06-23",2
