"","code","coding_system","description","entity","list_name","upload_date"
"1","7130A","Read","OSTEOARTHRITIS","diagnostic","133 - Osteoarthritis","2014-06-24"
"2","7130AA","Read","OSTEOARTHROSIS ANKLE","diagnostic","133 - Osteoarthritis","2014-06-24"
"3","7130AB","Read","OSTEOARTHROSIS","diagnostic","133 - Osteoarthritis","2014-06-24"
"4","7130AC","Read","OSTEOARTHROSIS ACROMIO CLAVICULAR JOINT","diagnostic","133 - Osteoarthritis","2014-06-24"
"5","7130AG","Read","OSTEOARTHROSIS GENERAL","diagnostic","133 - Osteoarthritis","2014-06-24"
"6","7130AW","Read","OSTEOARTHROSIS WRIST","diagnostic","133 - Osteoarthritis","2014-06-24"
"7","7130B","Read","OSTEOARTHROSIS KNEE(S)","diagnostic","133 - Osteoarthritis","2014-06-24"
"8","7130C","Read","OSTEOARTHROSIS FINGERS","diagnostic","133 - Osteoarthritis","2014-06-24"
"9","7130CT","Read","THUMB OSTEOARTHROSIS","diagnostic","133 - Osteoarthritis","2014-06-24"
"10","7130D","Read","OSTEOARTHROSIS HIP","diagnostic","133 - Osteoarthritis","2014-06-24"
"11","7130DA","Read","OSTEOARTHRITIS HIP","diagnostic","133 - Osteoarthritis","2014-06-24"
"12","7130E","Read","OSTEOARTHROSIS SHOULDER","diagnostic","133 - Osteoarthritis","2014-06-24"
"13","7130EA","Read","STERNOCLAVICULAR JOINT OSTEOARTHROSIS","diagnostic","133 - Osteoarthritis","2014-06-24"
"14","7130EL","Read","OSTEOARTHROSIS ELBOW","diagnostic","133 - Osteoarthritis","2014-06-24"
"15","7130FT","Read","OSTEOARTHROSIS FOOT","diagnostic","133 - Osteoarthritis","2014-06-24"
"16","7130H","Read","OSTEOARTHROSIS TOE","diagnostic","133 - Osteoarthritis","2014-06-24"
"17","7130MD","Read","TEMPOROMANDIBULAR OSTEOARTHROSIS","diagnostic","133 - Osteoarthritis","2014-06-24"
"18","7130N","Read","OSTEOARTHROSIS HANDS","diagnostic","133 - Osteoarthritis","2014-06-24"
"19","7130PA","Read","OSTEOARTHRITIC PROTRUSION ACETABULUM","diagnostic","133 - Osteoarthritis","2014-06-24"
"20","7131A","Read","OSTEOARTHROSIS NECK","diagnostic","133 - Osteoarthritis","2014-06-24"
"21","7131BR","Read","SPONDYLITIS OSTEOARTHRITIC","diagnostic","133 - Osteoarthritis","2014-06-24"
"22","7131C","Read","OSTEOARTHROSIS SPINE","diagnostic","133 - Osteoarthritis","2014-06-24"
"23","7131DL","Read","LUMBAR OSTEOARTHRITIS","diagnostic","133 - Osteoarthritis","2014-06-24"
"24","N05..00","Read","Osteoarthritis and allied disorders","diagnostic","133 - Osteoarthritis","2014-06-24"
"25","N050.00","Read","Generalised osteoarthritis - OA","diagnostic","133 - Osteoarthritis","2014-06-24"
"26","N050000","Read","Generalised osteoarthritis of unspecified site","diagnostic","133 - Osteoarthritis","2014-06-24"
"27","N050100","Read","Generalised osteoarthritis of the hand","diagnostic","133 - Osteoarthritis","2014-06-24"
"28","N050200","Read","Generalised osteoarthritis of multiple sites","diagnostic","133 - Osteoarthritis","2014-06-24"
"29","N050400","Read","Primary generalized osteoarthrosis","diagnostic","133 - Osteoarthritis","2014-06-24"
"30","N050600","Read","Erosive osteoarthrosis","diagnostic","133 - Osteoarthritis","2014-06-24"
"31","N050z00","Read","Generalised osteoarthritis NOS","diagnostic","133 - Osteoarthritis","2014-06-24"
"32","N051.00","Read","Localised; primary osteoarthritis","diagnostic","133 - Osteoarthritis","2014-06-24"
"33","N051000","Read","Localised; primary osteoarthritis of unspecified site","diagnostic","133 - Osteoarthritis","2014-06-24"
"34","N05..11","Read","Osteoarthritis","diagnostic","133 - Osteoarthritis","2014-06-24"
"35","N051100","Read","Localised; primary osteoarthritis of the shoulder region","diagnostic","133 - Osteoarthritis","2014-06-24"
"36","N051200","Read","Localised; primary osteoarthritis of the upper arm","diagnostic","133 - Osteoarthritis","2014-06-24"
"37","N051300","Read","Localised; primary osteoarthritis of the forearm","diagnostic","133 - Osteoarthritis","2014-06-24"
"38","N051400","Read","Localised; primary osteoarthritis of the hand","diagnostic","133 - Osteoarthritis","2014-06-24"
"39","N051500","Read","Localised; primary osteoarthritis of the pelvic region/thigh","diagnostic","133 - Osteoarthritis","2014-06-24"
"40","N051600","Read","Localised; primary osteoarthritis of the lower leg","diagnostic","133 - Osteoarthritis","2014-06-24"
"41","N051700","Read","Localised; primary osteoarthritis of the ankle and foot","diagnostic","133 - Osteoarthritis","2014-06-24"
"42","N051800","Read","Localised; primary osteoarthritis of other specified site","diagnostic","133 - Osteoarthritis","2014-06-24"
"43","N051D00","Read","Localised; primary osteoarthritis of the wrist","diagnostic","133 - Osteoarthritis","2014-06-24"
"44","N051E00","Read","Localised; primary osteoarthritis of toe","diagnostic","133 - Osteoarthritis","2014-06-24"
"45","N051F00","Read","Localised; primary osteoarthritis of elbow","diagnostic","133 - Osteoarthritis","2014-06-24"
"46","N051z00","Read","Localised; primary osteoarthritis NOS","diagnostic","133 - Osteoarthritis","2014-06-24"
"47","N052.00","Read","Localised; secondary osteoarthritis","diagnostic","133 - Osteoarthritis","2014-06-24"
"48","N052000","Read","Localised; secondary osteoarthritis of unspecified site","diagnostic","133 - Osteoarthritis","2014-06-24"
