"","code","coding_system","description","entity","list_name","upload_date"
"1","585O.00","Read","Quantitative ultrasound scan of heel - result osteoporotic","diagnostic","34 - Osteoporosis","2014-06-24"
"2","58E4.00","Read","Forearm DXA scan result osteoporotic","diagnostic","34 - Osteoporosis","2014-06-24"
"3","58E8.00","Read","Heel DXA scan T score","diagnostic","34 - Osteoporosis","2013-11-07"
"4","58EA.00","Read","Heel DXA scan result osteoporotic","diagnostic","34 - Osteoporosis","2013-11-07"
"5","58EA.00","Read","Heel DXA scan result osteoporotic","diagnostic","34 - Osteoporosis","2014-06-24"
"6","58EE.00","Read","Hip DXA scan T score","diagnostic","34 - Osteoporosis","2013-11-07"
"7","58EG.00","Read","Hip DXA scan result osteoporotic","diagnostic","34 - Osteoporosis","2013-11-07"
"8","58EG.00","Read","Hip DXA scan result osteoporotic","diagnostic","34 - Osteoporosis","2014-06-24"
"9","58EK.00","Read","Lumbar spine DXA scan T score","diagnostic","34 - Osteoporosis","2013-11-07"
"10","58EM.00","Read","Lumbar DXA scan result osteoporotic","diagnostic","34 - Osteoporosis","2014-06-24"
"11","58EM.00","Read","Lumbar DXA scan result osteoporotic","diagnostic","34 - Osteoporosis","2013-11-07"
"12","58ES.00","Read","Femoral neck DEXA scan T score","diagnostic","34 - Osteoporosis","2013-11-07"
"13","58EV.00","Read","Femoral neck DEXA scan result osteoporotic","diagnostic","34 - Osteoporosis","2013-11-07"
"14","7230A","Read","OSTEOPOROSIS","diagnostic","34 - Osteoporosis","2014-06-24"
"15","7230B","Read","OSTEOPOROSIS SENILIS","diagnostic","34 - Osteoporosis","2014-06-24"
"16","7230D","Read","VERTEBRAL OSTEOPOROSIS","diagnostic","34 - Osteoporosis","2014-06-24"
"17","7230PM","Read","OSTEOPOROSIS POSTMENOPAUSAL","diagnostic","34 - Osteoporosis","2014-06-24"
"18","7230PT","Read","OSTEOPOROSIS POST-TRAUMATIC","diagnostic","34 - Osteoporosis","2014-06-24"
"19","N330.00","Read","Osteoporosis","diagnostic","34 - Osteoporosis","2014-06-24"
"20","N330.00","Read","Osteoporosis","diagnostic","34 - Osteoporosis","2013-11-07"
"21","N330000","Read","Osteoporosis; unspecified","diagnostic","34 - Osteoporosis","2014-06-24"
