"","code","coding_system","description","entity","list_name","upload_date"
"1","C10EK00","Read","Type 1 diabetes mellitus with persistent proteinuria","diagnostic","52 - Proteinuria","2014-01-27"
"2","C10FL00","Read","Type 2 diabetes mellitus with persistent proteinuria","diagnostic","52 - Proteinuria","2014-01-27"
"3","C10FL11","Read","Type II diabetes mellitus with persistent proteinuria","diagnostic","52 - Proteinuria","2014-01-27"
"4","K190X00","Read","Persistent proteinuria; unspecified","diagnostic","52 - Proteinuria","2014-01-27"
"5","Kyu5G00","Read","[X]Persistent proteinuria; unspecified","diagnostic","52 - Proteinuria","2014-01-27"
"6","R110.00","Read","[D]Proteinuria","diagnostic","52 - Proteinuria","2014-01-27"
"7","R110000","Read","[D]Albuminuria","diagnostic","52 - Proteinuria","2014-01-27"
"8","R110100","Read","[D]Bence-Jones proteinuria","diagnostic","52 - Proteinuria","2014-01-27"
"9","R110z00","Read","[D]Proteinuria NOS","diagnostic","52 - Proteinuria","2014-01-27"
"10","7890","OXMIS","ALBUMINURIA","diagnostic","52 - Proteinuria","2014-01-27"
"11","L2020PV","OXMIS","PROTEINURIA","diagnostic","52 - Proteinuria","2014-01-27"
