"","code","coding_system","description","entity","list_name","upload_date","smoking_status","cessation_advice"
"1","137..00","Read","Tobacco consumption","observation","42 - smoking_status","2014-01-27",NA,0
"2","1371.00","Read","Never smoked tobacco","observation","42 - smoking_status","2014-01-27",0,0
"3","137..11","Read","Smoker - amount smoked","observation","42 - smoking_status","2014-01-27",2,0
"4","1371.11","Read","Non-smoker","observation","42 - smoking_status","2014-01-27",0,0
"5","1372.00","Read","Trivial smoker - < 1 cig/day","observation","42 - smoking_status","2014-01-27",2,0
"6","1372.11","Read","Occasional smoker","observation","42 - smoking_status","2014-01-27",2,0
"7","1373.00","Read","Light smoker - 1-9 cigs/day","observation","42 - smoking_status","2014-01-27",2,0
"8","1374.00","Read","Moderate smoker - 10-19 cigs/d","observation","42 - smoking_status","2014-01-27",2,0
"9","1375.00","Read","Heavy smoker - 20-39 cigs/day","observation","42 - smoking_status","2014-01-27",2,0
"10","1376.00","Read","Very heavy smoker - 40+cigs/d","observation","42 - smoking_status","2014-01-27",2,0
"11","1377.00","Read","Ex-trivial smoker (<1/day)","observation","42 - smoking_status","2014-01-27",1,0
"12","1378.00","Read","Ex-light smoker (1-9/day)","observation","42 - smoking_status","2014-01-27",1,0
"13","1379.00","Read","Ex-moderate smoker (10-19/day)","observation","42 - smoking_status","2014-01-27",1,0
"14","137a.00","Read","Pipe tobacco consumption","observation","42 - smoking_status","2014-01-27",2,0
"15","137A.00","Read","Ex-heavy smoker (20-39/day)","observation","42 - smoking_status","2014-01-27",1,0
"16","137b.00","Read","Ready to stop smoking","observation","42 - smoking_status","2014-01-27",2,0
"17","137B.00","Read","Ex-very heavy smoker (40+/day)","observation","42 - smoking_status","2014-01-27",1,0
"18","137c.00","Read","Thinking about stopping smoking","observation","42 - smoking_status","2014-01-27",2,0
"19","137C.00","Read","Keeps trying to stop smoking","observation","42 - smoking_status","2014-01-27",2,0
"20","137d.00","Read","Not interested in stopping smoking","observation","42 - smoking_status","2014-01-27",2,0
"21","137D.00","Read","Admitted tobacco cons untrue ?","observation","42 - smoking_status","2014-01-27",2,0
"22","137e.00","Read","Smoking restarted","observation","42 - smoking_status","2014-01-27",2,0
"23","137E.00","Read","Tobacco consumption unknown","observation","42 - smoking_status","2014-01-27",NA,0
"24","137f.00","Read","Reason for restarting smoking","observation","42 - smoking_status","2014-01-27",2,0
"25","137F.00","Read","Ex-smoker - amount unknown","observation","42 - smoking_status","2014-01-27",1,0
"26","137g.00","Read","Cigarette pack-years","observation","42 - smoking_status","2014-01-27",NA,0
"27","137G.00","Read","Trying to give up smoking","observation","42 - smoking_status","2014-01-27",2,0
"28","137h.00","Read","Minutes from waking to first tobacco consumption","observation","42 - smoking_status","2014-01-27",2,0
"29","137H.00","Read","Pipe smoker","observation","42 - smoking_status","2014-01-27",2,0
"30","137I.00","Read","Passive smoker","observation","42 - smoking_status","2014-01-27",NA,0
"31","137J.00","Read","Cigar smoker","observation","42 - smoking_status","2014-01-27",2,0
