"","code","coding_system","description","entity","list_name","upload_date"
"1","G61..00","Read","Intracerebral haemorrhage","diagnostic","70 - Stroke","2014-01-27"
"2","G610.00","Read","Cortical haemorrhage","diagnostic","70 - Stroke","2014-01-27"
"3","G611.00","Read","Internal capsule haemorrhage","diagnostic","70 - Stroke","2014-01-27"
"4","G61..11","Read","CVA - cerebrovascular accid due to intracerebral haemorrhage","diagnostic","70 - Stroke","2014-01-27"
"5","G61..12","Read","Stroke due to intracerebral haemorrhage","diagnostic","70 - Stroke","2014-01-27"
"6","G612.00","Read","Basal nucleus haemorrhage","diagnostic","70 - Stroke","2014-01-27"
"7","G613.00","Read","Cerebellar haemorrhage","diagnostic","70 - Stroke","2014-01-27"
"8","G614.00","Read","Pontine haemorrhage","diagnostic","70 - Stroke","2014-01-27"
"9","G615.00","Read","Bulbar haemorrhage","diagnostic","70 - Stroke","2014-01-27"
"10","G616.00","Read","External capsule haemorrhage","diagnostic","70 - Stroke","2014-01-27"
"11","G618.00","Read","Intracerebral haemorrhage; multiple localized","diagnostic","70 - Stroke","2014-01-27"
"12","G61X.00","Read","Intracerebral haemorrhage in hemisphere; unspecified","diagnostic","70 - Stroke","2014-01-27"
"13","G61X000","Read","Left sided intracerebral haemorrhage; unspecified","diagnostic","70 - Stroke","2014-01-27"
"14","G61X100","Read","Right sided intracerebral haemorrhage; unspecified","diagnostic","70 - Stroke","2014-01-27"
"15","G61z.00","Read","Intracerebral haemorrhage NOS","diagnostic","70 - Stroke","2014-01-27"
"16","G63y000","Read","Cerebral infarct due to thrombosis of precerebral arteries","diagnostic","70 - Stroke","2014-01-27"
"17","G63y100","Read","Cerebral infarction due to embolism of precerebral arteries","diagnostic","70 - Stroke","2014-01-27"
"18","G64..00","Read","Cerebral arterial occlusion","diagnostic","70 - Stroke","2014-01-27"
"19","G640.00","Read","Cerebral thrombosis","diagnostic","70 - Stroke","2014-01-27"
"20","G640000","Read","Cerebral infarction due to thrombosis of cerebral arteries","diagnostic","70 - Stroke","2014-01-27"
"21","G641.00","Read","Cerebral embolism","diagnostic","70 - Stroke","2014-01-27"
"22","G641000","Read","Cerebral infarction due to embolism of cerebral arteries","diagnostic","70 - Stroke","2014-01-27"
"23","G64..11","Read","CVA - cerebral artery occlusion","diagnostic","70 - Stroke","2014-01-27"
"24","G641.11","Read","Cerebral embolus","diagnostic","70 - Stroke","2014-01-27"
"25","G64..12","Read","Infarction - cerebral","diagnostic","70 - Stroke","2014-01-27"
"26","G64..13","Read","Stroke due to cerebral arterial occlusion","diagnostic","70 - Stroke","2014-01-27"
"27","G64z.00","Read","Cerebral infarction NOS","diagnostic","70 - Stroke","2014-01-27"
"28","G64z000","Read","Brainstem infarction","diagnostic","70 - Stroke","2014-01-27"
"29","G64z100","Read","Wallenberg syndrome","diagnostic","70 - Stroke","2014-01-27"
"30","G64z.11","Read","Brainstem infarction NOS","diagnostic","70 - Stroke","2014-01-27"
"31","G64z111","Read","Lateral medullary syndrome","diagnostic","70 - Stroke","2014-01-27"
"32","G64z.12","Read","Cerebellar infarction","diagnostic","70 - Stroke","2014-01-27"
"33","G64z200","Read","Left sided cerebral infarction","diagnostic","70 - Stroke","2014-01-27"
"34","G64z300","Read","Right sided cerebral infarction","diagnostic","70 - Stroke","2014-01-27"
"35","G64z400","Read","Infarction of basal ganglia","diagnostic","70 - Stroke","2014-01-27"
"36","G65..00","Read","Transient cerebral ischaemia","diagnostic","70 - Stroke","2014-01-27"
"37","G650.00","Read","Basilar artery syndrome","diagnostic","70 - Stroke","2014-01-27"
"38","G650.11","Read","Insufficiency - basilar artery","diagnostic","70 - Stroke","2014-01-27"
"39","G651.00","Read","Vertebral artery syndrome","diagnostic","70 - Stroke","2014-01-27"
"40","G651000","Read","Vertebro-basilar artery syndrome","diagnostic","70 - Stroke","2014-01-27"
"41","G65..11","Read","Drop attack","diagnostic","70 - Stroke","2014-01-27"
"42","G65..12","Read","Transient ischaemic attack","diagnostic","70 - Stroke","2014-01-27"
"43","G65..13","Read","Vertebro-basilar insufficiency","diagnostic","70 - Stroke","2014-01-27"
"44","G652.00","Read","Subclavian steal syndrome","diagnostic","70 - Stroke","2014-01-27"
"45","G653.00","Read","Carotid artery syndrome hemispheric","diagnostic","70 - Stroke","2014-01-27"
"46","G654.00","Read","Multiple and bilateral precerebral artery syndromes","diagnostic","70 - Stroke","2014-01-27"
"47","G656.00","Read","Vertebrobasilar insufficiency","diagnostic","70 - Stroke","2014-01-27"
"48","G65y.00","Read","Other transient cerebral ischaemia","diagnostic","70 - Stroke","2014-01-27"
"49","G65z.00","Read","Transient cerebral ischaemia NOS","diagnostic","70 - Stroke","2014-01-27"
"50","G65z000","Read","Impending cerebral ischaemia","diagnostic","70 - Stroke","2014-01-27"
"51","G65z100","Read","Intermittent cerebral ischaemia","diagnostic","70 - Stroke","2014-01-27"
"52","G65zz00","Read","Transient cerebral ischaemia NOS","diagnostic","70 - Stroke","2014-01-27"
"53","G66..00","Read","Stroke and cerebrovascular accident unspecified","diagnostic","70 - Stroke","2014-01-27"
"54","G660.00","Read","Middle cerebral artery syndrome","diagnostic","70 - Stroke","2014-01-27"
"55","G661.00","Read","Anterior cerebral artery syndrome","diagnostic","70 - Stroke","2014-01-27"
"56","G66..11","Read","CVA unspecified","diagnostic","70 - Stroke","2014-01-27"
"57","G66..12","Read","Stroke unspecified","diagnostic","70 - Stroke","2014-01-27"
"58","G66..13","Read","CVA - Cerebrovascular accident unspecified","diagnostic","70 - Stroke","2014-01-27"
"59","G662.00","Read","Posterior cerebral artery syndrome","diagnostic","70 - Stroke","2014-01-27"
"60","G663.00","Read","Brain stem stroke syndrome","diagnostic","70 - Stroke","2014-01-27"
"61","G664.00","Read","Cerebellar stroke syndrome","diagnostic","70 - Stroke","2014-01-27"
"62","G665.00","Read","Pure motor lacunar syndrome","diagnostic","70 - Stroke","2014-01-27"
"63","G666.00","Read","Pure sensory lacunar syndrome","diagnostic","70 - Stroke","2014-01-27"
"64","G667.00","Read","Left sided CVA","diagnostic","70 - Stroke","2014-01-27"
"65","G668.00","Read","Right sided CVA","diagnostic","70 - Stroke","2014-01-27"
"66","G6W..00","Read","Cereb infarct due unsp occlus/stenos precerebr arteries","diagnostic","70 - Stroke","2014-01-27"
"67","G6X..00","Read","Cerebrl infarctn due/unspcf occlusn or sten/cerebrl artrs","diagnostic","70 - Stroke","2014-01-27"
"68","Gyu6200","Read","[X]Other intracerebral haemorrhage","diagnostic","70 - Stroke","2014-01-27"
"69","Gyu6300","Read","[X]Cerebrl infarctn due/unspcf occlusn or sten/cerebrl artrs","diagnostic","70 - Stroke","2014-01-27"
"70","Gyu6400","Read","[X]Other cerebral infarction","diagnostic","70 - Stroke","2014-01-27"
"71","Gyu6500","Read","[X]Occlusion and stenosis of other precerebral arteries","diagnostic","70 - Stroke","2014-01-27"
"72","Gyu6600","Read","[X]Occlusion and stenosis of other cerebral arteries","diagnostic","70 - Stroke","2014-01-27"
"73","Gyu6G00","Read","[X]Cereb infarct due unsp occlus/stenos precerebr arteries","diagnostic","70 - Stroke","2014-01-27"
"74","L440.11","Read","CVA - cerebrovascular accident in the puerperium","diagnostic","70 - Stroke","2014-01-27"
"75","L440.12","Read","Stroke in the puerperium","diagnostic","70 - Stroke","2014-01-27"
"76","4350AT","OXMIS","TRANSIENT ISCHAEMIC ATTACKS WITH HYPERTE","diagnostic","70 - Stroke","2014-01-27"
"77","4359AT","OXMIS","TRANSIENT ISCHAEMIC ATTACKS","diagnostic","70 - Stroke","2014-01-27"
"78","4360A","OXMIS","CEREBROVASCULAR ACCIDENT WITH HYPERTENSI","diagnostic","70 - Stroke","2014-01-27"
"79","4360B","OXMIS","STROKE WITH HYPERTENSION","diagnostic","70 - Stroke","2014-01-27"
"80","4369A","OXMIS","CVA (CEREBROVASCULAR ACCIDENT)","diagnostic","70 - Stroke","2014-01-27"
"81","4369AL","OXMIS","CEREBROVASCULAR ACCIDENT LEFT","diagnostic","70 - Stroke","2014-01-27"
"82","4369AR","OXMIS","CEREBROVASCULAR ACCIDENT RIGHT","diagnostic","70 - Stroke","2014-01-27"
"83","4369B","OXMIS","STROKE","diagnostic","70 - Stroke","2014-01-27"
"84","4369BN","OXMIS","SYNDROME STROKE","diagnostic","70 - Stroke","2014-01-27"
