PCD_ID	victim	fulltext	primary_research	methods_strategy	methods_codes	code_list	all_codes	available_on_request	Title	URL	Description	Details	ShortDetails	Resource	Type	Identifiers	Db	EntrezUID	Properties
2	Edmore	1	1	0	0	0	0	0	Case-control analysis on metformin and cancer of the esophagus.	/pubmed/23820930	"Becker C, Meier CR, Jick SS, Bodmer M."	Cancer Causes Control. 2013 Oct;24(10):1763-70. doi: 10.1007/s10552-013-0253-6. Epub 2013 Jul 3.	Cancer Causes Control.  2013	PubMed	citation	PMID:23820930	pubmed	23820930	create date:2013/07/04 | first author:Becker C
3	Ivan	1	1	1	1	0	0	0	Prevalence of adult Huntington's disease in the UK based on diagnoses recorded in general practice records.	/pubmed/23482661	"Evans SJ, Douglas I, Rawlins MD, Wexler NS, Tabrizi SJ, Smeeth L."	J Neurol Neurosurg Psychiatry. 2013 Oct;84(10):1156-60. doi: 10.1136/jnnp-2012-304636. Epub 2013 Mar 12.	J Neurol Neurosurg Psychiatry.  2013	PubMed	citation	PMID:23482661	pubmed	23482661	create date:2013/03/14 | first author:Evans SJ
6	David	1	1	1	0	0	0	1	Suicide-related events in young people following prescription of SSRIs and other antidepressants: a self-controlled case series analysis.	/pubmed/24056479	"Wijlaars LP, Nazareth I, Whitaker HJ, Evans SJ, Petersen I."	BMJ Open. 2013 Sep 19;3(9):e003247. doi: 10.1136/bmjopen-2013-003247.	BMJ Open.  2013	PubMed	citation	PMID:24056479	pubmed	24056479	create date:2013/09/24 | first author:Wijlaars LP
7	Ivan	1	1	1	1	0	0	0	Incidence and prevalence of multiple sclerosis in the UK 1990-2010: a descriptive study in the General Practice Research Database.	/pubmed/24052635	"Mackenzie IS, Morant SV, Bloomfield GA, Macdonald TM, O'Riordan J."	J Neurol Neurosurg Psychiatry. 2013 Sep 19. doi: 10.1136/jnnp-2013-305450. [Epub ahead of print]	J Neurol Neurosurg Psychiatry.  2013	PubMed	citation	PMID:24052635	pubmed	24052635	create date:2013/09/21 | first author:Mackenzie IS
16	Evan	1	1	1	0	0	0	0	Acute maternal infection and risk of pre-eclampsia: a population-based case-control study.	/pubmed/24019891	"Minassian C, Thomas SL, Williams DJ, Campbell O, Smeeth L."	PLoS One. 2013 Sep 3;8(9):e73047. doi: 10.1371/journal.pone.0073047.	PLoS One.  2013	PubMed	citation	PMID:24019891 | PMCID:PMC3760871	pubmed	24019891	create date:2013/09/11 | first author:Minassian C
19	Ivan	0	1	0	0	0	0	0	Association of Barrett's Esophagus With Type II Diabetes Mellitus: Results From a Large Population-based Case-Control Study.	/pubmed/23591277	"Iyer PG, Borah BJ, Heien HC, Das A, Cooper GS, Chak A."	Clin Gastroenterol Hepatol. 2013 Sep;11(9):1108-1114.e5. doi: 10.1016/j.cgh.2013.03.024. Epub 2013 Apr 13.	Clin Gastroenterol Hepatol.  2013	PubMed	citation	PMID:23591277	pubmed	23591277	create date:2013/04/18 | first author:Iyer PG
26	Rosa	1	1	0	0	0	0	0	Non-steroidal anti-inflammatory drug use and brain tumour risk: a case-control study within the Clinical Practice Research Datalink.	/pubmed/23990380	"Bannon FJ, O'Rorke MA, Murray LJ, Hughes CM, Gavin AT, Fleming SJ, Cardwell CR."	Cancer Causes Control. 2013 Aug 30. [Epub ahead of print]	Cancer Causes Control.  2013	PubMed	citation	PMID:23990380	pubmed	23990380	create date:2013/08/31 | first author:Bannon FJ
28	Edmore	1	1	1	0	0	0	0	Use of anti-malarial drugs and the risk of developing eye disorders.	/pubmed/24035311	"Schneider C, Adamcova M, Jick SS, Schlagenhauf P, Miller MK, Rhein HG, Meier CR."	Travel Med Infect Dis. 2013 Aug 28. doi:pii: S1477-8939(13)00135-X.  10.1016/j.tmaid.2013.07.007. [Epub ahead of print]	Travel Med Infect Dis.  2013	PubMed	citation	PMID:24035311	pubmed	24035311	create date:2013/09/17 | first author:Schneider C
30	David	1	1	0	0	0	0	0	The use of metformin and colorectal cancer incidence in patients with type 2 diabetes mellitus.	/pubmed/23966577	"Smiechowski B, Azoulay L, Yin H, Pollak MN, Suissa S."	Cancer Epidemiol Biomarkers Prev. 2013 Aug 21. [Epub ahead of print]	Cancer Epidemiol Biomarkers Prev.  2013	PubMed	citation	PMID:23966577	pubmed	23966577	create date:2013/08/24 | first author:Smiechowski B
32	Edmore	1	1	1	0	0	0	0	Treatment and referral patterns for psoriasis in United Kingdom primary care: a retrospective cohort study.	/pubmed/23957883	"Khalid JM, Globe G, Fox KM, Chau D, Maguire A, Chiou CF."	BMC Dermatol. 2013 Aug 19;13(1):9. doi: 10.1186/1471-5945-13-9.	BMC Dermatol.  2013	PubMed	citation	PMID:23957883 | PMCID:PMC3751715	pubmed	23957883	create date:2013/08/21 | first author:Khalid JM
