"PCD_ID" "fulltext" "primary_research" "methods_strategy" "methods_codes" "code_list" "all_codes" "available_on_request" "Title" "URL" "Description" "Details" "ShortDetails" "Resource" "Type" "Identifiers" "Db" "EntrezUID" "Properties" "anycodes" "anyorrequest" "year"
"1" 2 1 1 0 0 0 0 0 "Case-control analysis on metformin and cancer of the esophagus." "/pubmed/23820930" "Becker C, Meier CR, Jick SS, Bodmer M." "Cancer Causes Control. 2013 Oct;24(10):1763-70. doi: 10.1007/s10552-013-0253-6. Epub 2013 Jul 3." "Cancer Causes Control.  2013" "PubMed" "citation" "PMID:23820930" "pubmed" 23820930 "create date:2013/07/04 | first author:Becker C" 0 0 2013
"2" 3 1 1 1 1 0 0 0 "Prevalence of adult Huntington's disease in the UK based on diagnoses recorded in general practice records." "/pubmed/23482661" "Evans SJ, Douglas I, Rawlins MD, Wexler NS, Tabrizi SJ, Smeeth L." "J Neurol Neurosurg Psychiatry. 2013 Oct;84(10):1156-60. doi: 10.1136/jnnp-2012-304636. Epub 2013 Mar 12." "J Neurol Neurosurg Psychiatry.  2013" "PubMed" "citation" "PMID:23482661" "pubmed" 23482661 "create date:2013/03/14 | first author:Evans SJ" 1 1 2013
"3" 6 1 1 1 0 0 0 1 "Suicide-related events in young people following prescription of SSRIs and other antidepressants: a self-controlled case series analysis." "/pubmed/24056479" "Wijlaars LP, Nazareth I, Whitaker HJ, Evans SJ, Petersen I." "BMJ Open. 2013 Sep 19;3(9):e003247. doi: 10.1136/bmjopen-2013-003247." "BMJ Open.  2013" "PubMed" "citation" "PMID:24056479" "pubmed" 24056479 "create date:2013/09/24 | first author:Wijlaars LP" 0 1 2013
"4" 7 1 1 1 1 0 0 0 "Incidence and prevalence of multiple sclerosis in the UK 1990-2010: a descriptive study in the General Practice Research Database." "/pubmed/24052635" "Mackenzie IS, Morant SV, Bloomfield GA, Macdonald TM, O'Riordan J." "J Neurol Neurosurg Psychiatry. 2013 Sep 19. doi: 10.1136/jnnp-2013-305450. [Epub ahead of print]" "J Neurol Neurosurg Psychiatry.  2013" "PubMed" "citation" "PMID:24052635" "pubmed" 24052635 "create date:2013/09/21 | first author:Mackenzie IS" 1 1 2013
"5" 16 1 1 1 0 0 0 0 "Acute maternal infection and risk of pre-eclampsia: a population-based case-control study." "/pubmed/24019891" "Minassian C, Thomas SL, Williams DJ, Campbell O, Smeeth L." "PLoS One. 2013 Sep 3;8(9):e73047. doi: 10.1371/journal.pone.0073047." "PLoS One.  2013" "PubMed" "citation" "PMID:24019891 | PMCID:PMC3760871" "pubmed" 24019891 "create date:2013/09/11 | first author:Minassian C" 0 0 2013
"7" 26 1 1 0 0 0 0 0 "Non-steroidal anti-inflammatory drug use and brain tumour risk: a case-control study within the Clinical Practice Research Datalink." "/pubmed/23990380" "Bannon FJ, O'Rorke MA, Murray LJ, Hughes CM, Gavin AT, Fleming SJ, Cardwell CR." "Cancer Causes Control. 2013 Aug 30. [Epub ahead of print]" "Cancer Causes Control.  2013" "PubMed" "citation" "PMID:23990380" "pubmed" 23990380 "create date:2013/08/31 | first author:Bannon FJ" 0 0 2013
"8" 28 1 1 1 0 0 0 0 "Use of anti-malarial drugs and the risk of developing eye disorders." "/pubmed/24035311" "Schneider C, Adamcova M, Jick SS, Schlagenhauf P, Miller MK, Rhein HG, Meier CR." "Travel Med Infect Dis. 2013 Aug 28. doi:pii: S1477-8939(13)00135-X.  10.1016/j.tmaid.2013.07.007. [Epub ahead of print]" "Travel Med Infect Dis.  2013" "PubMed" "citation" "PMID:24035311" "pubmed" 24035311 "create date:2013/09/17 | first author:Schneider C" 0 0 2013
"9" 30 1 1 0 0 0 0 0 "The use of metformin and colorectal cancer incidence in patients with type 2 diabetes mellitus." "/pubmed/23966577" "Smiechowski B, Azoulay L, Yin H, Pollak MN, Suissa S." "Cancer Epidemiol Biomarkers Prev. 2013 Aug 21. [Epub ahead of print]" "Cancer Epidemiol Biomarkers Prev.  2013" "PubMed" "citation" "PMID:23966577" "pubmed" 23966577 "create date:2013/08/24 | first author:Smiechowski B" 0 0 2013
"10" 32 1 1 1 0 0 0 0 "Treatment and referral patterns for psoriasis in United Kingdom primary care: a retrospective cohort study." "/pubmed/23957883" "Khalid JM, Globe G, Fox KM, Chau D, Maguire A, Chiou CF." "BMC Dermatol. 2013 Aug 19;13(1):9. doi: 10.1186/1471-5945-13-9." "BMC Dermatol.  2013" "PubMed" "citation" "PMID:23957883 | PMCID:PMC3751715" "pubmed" 23957883 "create date:2013/08/21 | first author:Khalid JM" 0 0 2013
"11" 35 1 1 0 0 0 0 0 "Risk of fracture in patients with muscular dystrophies." "/pubmed/23948807" "Pouwels S, de Boer A, Leufkens HG, Weber WE, Cooper C, van Onzenoort HA, de Vries F." "Osteoporos Int. 2013 Aug 15. [Epub ahead of print]" "Osteoporos Int.  2013" "PubMed" "citation" "PMID:23948807" "pubmed" 23948807 "create date:2013/08/21 | first author:Pouwels S" 0 0 2013
"12" 37 1 1 0 0 0 0 0 "Impact of lipid-lowering therapy on the prevalence of dyslipidaemia in patients at high-risk of cardiovascular events in UK primary care - a retrospective database study." "/pubmed/23944233" "Jameson K, Amber V, D'Oca K, Mills D, Giles A, Ambegaonkar B." "Int J Clin Pract. 2013 Aug 14. doi: 10.1111/ijcp.12238. [Epub ahead of print]" "Int J Clin Pract.  2013" "PubMed" "citation" "PMID:23944233" "pubmed" 23944233 "create date:2013/08/16 | first author:Jameson K" 0 0 2013
"13" 39 1 1 0 0 0 0 0 "SLCO1B1 Genetic Variant Associated With Statin-Induced Myopathy: A Proof of Concept Study Using the Clinical Practice Research Datalink (CPRD)." "/pubmed/23942138" "Carr DF, O'Meara H, Jorgensen AL, Campbell J, Hobbs M, McCann G, van Staa T, Pirmohamed M." "Clin Pharmacol Ther. 2013 Aug 13. doi: 10.1038/clpt.2013.161. [Epub ahead of print]" "Clin Pharmacol Ther.  2013" "PubMed" "citation" "PMID:23942138" "pubmed" 23942138 "create date:2013/08/15 | first author:Carr DF" 0 0 2013
"16" 45 1 1 1 0 0 0 0 "Potential of general practice data for congenital anomaly research: Comparison with registry data in the united kingdom." "/pubmed/23913362" "Sokal R, Fleming KM, Tata LJ." "Birth Defects Res A Clin Mol Teratol. 2013 Aug;97(8):546-53. doi: 10.1002/bdra.23150. Epub 2013 Aug 2." "Birth Defects Res A Clin Mol Teratol.  2013" "PubMed" "citation" "PMID:23913362" "pubmed" 23913362 "create date:2013/08/06 | first author:Sokal R" 0 0 2013
"17" 46 1 1 1 1 0 0 0 "Adverse events recorded in English primary care: observational study using the General Practice Research Database." "/pubmed/23972194" "Tsang C, Bottle A, Majeed A, Aylin P." "Br J Gen Pract. 2013 Aug;63(613):534-42. doi: 10.3399/bjgp13X670660." "Br J Gen Pract.  2013" "PubMed" "citation" "PMID:23972194 | PMCID:PMC3722830" "pubmed" 23972194 "create date:2013/08/27 | first author:Tsang C" 1 1 2013
"19" 50 1 1 1 0 0 1 0 "First Diagnosis and Management of Incontinence in Older People with and without Dementia in Primary Care: A Cohort Study Using The Health Improvement Network Primary Care Database." "/pubmed/24015113" "Grant RL, Drennan VM, Rait G, Petersen I, Iliffe S." "PLoS Med. 2013 Aug;10(8):e1001505. doi: 10.1371/journal.pmed.1001505. Epub 2013 Aug 27." "PLoS Med.  2013" "PubMed" "citation" "PMID:24015113 | PMCID:PMC3754889" "pubmed" 24015113 "create date:2013/09/10 | first author:Grant RL" 1 1 2013
"20" 54 1 1 0 0 0 0 1 "Androgen deprivation therapy and risk of acute kidney injury in patients with prostate cancer." "/pubmed/23860987" "Lapi F, Azoulay L, Niazi MT, Yin H, Benayoun S, Suissa S." "JAMA. 2013 Jul 17;310(3):289-96. doi: 10.1001/jama.2013.8638." "JAMA.  2013" "PubMed" "citation" "PMID:23860987" "pubmed" 23860987 "create date:2013/07/19 | first author:Lapi F" 0 1 2013
"21" 59 1 1 0 0 0 0 0 "Patterns of risk of cancer in patients with metal-on-metal hip replacements versus other bearing surface types: a record linkage study between a prospective joint registry and general practice electronic health records in England." "/pubmed/23861740" "Lalmohamed A, MacGregor AJ, de Vries F, Leufkens HG, van Staa TP." "PLoS One. 2013 Jul 4;8(7):e65891. doi: 10.1371/journal.pone.0065891. Print 2013." "PLoS One.  2013" "PubMed" "citation" "PMID:23861740 | PMCID:PMC3701644" "pubmed" 23861740 "create date:2013/07/19 | first author:Lalmohamed A" 0 0 2013
"22" 62 1 1 1 0 0 0 0 "Risk factors for falls with use of acid-suppressive drugs." "/pubmed/23676267" "Cea-Soriano L, Johansson S, García Rodríguez LA." "Epidemiology. 2013 Jul;24(4):600-7. doi: 10.1097/EDE.0b013e318294bec6." "Epidemiology.  2013" "PubMed" "citation" "PMID:23676267" "pubmed" 23676267 "create date:2013/05/17 | first author:Cea-Soriano L" 0 0 2013
"23" 63 1 1 0 0 0 0 0 "Impact of UK Medical Eligibility Criteria implementation on prescribing of combined hormonal contraceptives." "/pubmed/23299629" "Briggs PE, Praet CA, Humphreys SC, Zhao C." "J Fam Plann Reprod Health Care. 2013 Jul;39(3):190-6. doi: 10.1136/jfprhc-2012-100376. Epub 2013 Jan 7." "J Fam Plann Reprod Health Care.  2013" "PubMed" "citation" "PMID:23299629 | PMCID:PMC3711363" "pubmed" 23299629 "create date:2013/01/10 | first author:Briggs PE" 0 0 2013
"26" 69 1 1 0 0 0 0 0 "Who receives prescriptions for smoking cessation medications? An association rule mining analysis using a large primary care database." "/pubmed/22246781" "Huang Y, Britton J, Hubbard R, Lewis S." "Tob Control. 2013 Jul;22(4):274-9. doi: 10.1136/tobaccocontrol-2011-050124. Epub 2012 Jan 13." "Tob Control.  2013" "PubMed" "citation" "PMID:22246781" "pubmed" 22246781 "create date:2012/01/17 | first author:Huang Y" 0 0 2012
"27" 74 1 1 0 0 0 0 0 "The efficiency of cardiovascular risk assessment: do the right patients get statin treatment?" "/pubmed/23735939" "van Staa TP, Smeeth L, Ng ES, Goldacre B, Gulliford M." "Heart. 2013 Jun 4. [Epub ahead of print]" "Heart.  2013" "PubMed" "citation" "PMID:23735939" "pubmed" 23735939 "create date:2013/06/06 | first author:van Staa TP" 0 0 2013
"28" 79 1 1 1 1 0 0 0 "Cause-specific mortality of people with Barrett's esophagus compared with the general population: a population-based cohort study." "/pubmed/23583429" "Solaymani-Dodaran M, Card TR, West J." "Gastroenterology. 2013 Jun;144(7):1375-83, 1383.e1. doi: 10.1053/j.gastro.2013.02.050. Epub 2013 Apr 9." "Gastroenterology.  2013" "PubMed" "citation" "PMID:23583429" "pubmed" 23583429 "create date:2013/04/16 | first author:Solaymani-Dodaran M" 1 1 2013
"29" 86 1 1 1 1 1 0 0 "Completeness and diagnostic validity of recording acute myocardial infarction events in primary care, hospital care, disease registry, and national mortality records: cohort study." "/pubmed/23692896" "Herrett E, Shah AD, Boggon R, Denaxas S, Smeeth L, van Staa T, Timmis A, Hemingway H." "BMJ. 2013 May 20;346:f2350. doi: 10.1136/bmj.f2350." "BMJ.  2013" "PubMed" "citation" "PMID:23692896" "pubmed" 23692896 "create date:2013/05/23 | first author:Herrett E" 1 1 2013
"30" 88 1 1 1 0 0 0 0 "Safety of antidepressants in adults aged under 65: protocol for a cohort study using a large primary care database." "/pubmed/23663769" "Coupland C, Morriss R, Arthur A, Moore M, Hill T, Hippisley-Cox J." "BMC Psychiatry. 2013 May 10;13:135. doi: 10.1186/1471-244X-13-135." "BMC Psychiatry.  2013" "PubMed" "citation" "PMID:23663769 | PMCID:PMC3653796" "pubmed" 23663769 "create date:2013/05/15 | first author:Coupland C" 0 0 2013
"31" 91 1 1 0 1 1 0 0 "COX-2 selective nonsteroidal anti-inflammatory drugs and risk of gastrointestinal tract complications and myocardial infarction: an instrumental variable analysis." "/pubmed/23532054" "Davies NM, Smith GD, Windmeijer F, Martin RM." "Epidemiology. 2013 May;24(3):352-62. doi: 10.1097/EDE.0b013e318289e024." "Epidemiology.  2013" "PubMed" "citation" "PMID:23532054" "pubmed" 23532054 "create date:2013/03/28 | first author:Davies NM" 1 1 2013
"32" 92 1 1 1 0 0 0 0 "The impact of treatment non-compliance on mortality in people with type 1 diabetes." "/pubmed/23157988" "Currie CJ, Peyrot M, Morgan CL, Poole CD, Jenkins-Jones S, Rubin RR, Burton CM, Evans M." "J Diabetes Complications. 2013 May-Jun;27(3):219-23. doi: 10.1016/j.jdiacomp.2012.10.006. Epub 2012 Nov 13." "J Diabetes Complications.  2013" "PubMed" "citation" "PMID:23157988" "pubmed" 23157988 "create date:2012/11/20 | first author:Currie CJ" 0 0 2012
"33" 93 1 1 0 0 0 0 0 "Opioid use for noncancer pain and risk of myocardial infarction amongst adults." "/pubmed/23331508" "Li L, Setoguchi S, Cabral H, Jick S." "J Intern Med. 2013 May;273(5):511-26. doi: 10.1111/joim.12035. Epub 2013 Feb 16." "J Intern Med.  2013" "PubMed" "citation" "PMID:23331508" "pubmed" 23331508 "create date:2013/01/22 | first author:Li L" 0 0 2013
"35" 98 1 1 1 0 0 0 0 "Orlistat and the risk of acute liver injury: self controlled case series study in UK Clinical Practice Research Datalink." "/pubmed/23585064" "Douglas IJ, Langham J, Bhaskaran K, Brauer R, Smeeth L." "BMJ. 2013 Apr 12;346:f1936. doi: 10.1136/bmj.f1936." "BMJ.  2013" "PubMed" "citation" "PMID:23585064 | PMCID:PMC3624963" "pubmed" 23585064 "create date:2013/04/16 | first author:Douglas IJ" 0 0 2013
"36" 103 1 1 0 0 1 1 0 "Temporal growth and geographic variation in the use of laboratory tests by NHS general practices: using routine data to identify research priorities." "/pubmed/23540482" "Busby J, Schroeder K, Woltersdorf W, Sterne JA, Ben-Shlomo Y, Hay A, Hollingworth W." "Br J Gen Pract. 2013 Apr;63(609):e256-66. doi: 10.3399/bjgp13X665224." "Br J Gen Pract.  2013" "PubMed" "citation" "PMID:23540482 | PMCID:PMC3609473" "pubmed" 23540482 "create date:2013/04/02 | first author:Busby J" 1 1 2013
"37" 107 1 1 0 0 0 0 0 "Seizures in patients with Alzheimer's disease or vascular dementia: a population-based nested case-control analysis." "/pubmed/23215680" "Imfeld P, Bodmer M, Schuerch M, Jick SS, Meier CR." "Epilepsia. 2013 Apr;54(4):700-7. doi: 10.1111/epi.12045. Epub 2012 Dec 6." "Epilepsia.  2013" "PubMed" "citation" "PMID:23215680" "pubmed" 23215680 "create date:2012/12/12 | first author:Imfeld P" 0 0 2012
"39" 118 1 1 1 0 1 1 0 "The UK National Health Service: delivering equitable treatment across the spectrum of coronary disease." "/pubmed/23481523" "Hawkins NM, Scholes S, Bajekal M, Love H, O'Flaherty M, Raine R, Capewell S." "Circ Cardiovasc Qual Outcomes. 2013 Mar 1;6(2):208-16. doi: 10.1161/CIRCOUTCOMES.111.000058. Epub 2013 Mar 12." "Circ Cardiovasc Qual Outcomes.  2013" "PubMed" "citation" "PMID:23481523" "pubmed" 23481523 "create date:2013/03/14 | first author:Hawkins NM" 1 1 2013
"40" 119 1 1 0 0 0 0 0 "Identifying patients with undetected gastro-oesophageal cancer in primary care: External validation of QCancer® (Gastro-Oesophageal)." "/pubmed/23159533" "Collins GS, Altman DG." "Eur J Cancer. 2013 Mar;49(5):1040-8. doi: 10.1016/j.ejca.2012.10.023. Epub 2012 Nov 15." "Eur J Cancer.  2013" "PubMed" "citation" "PMID:23159533" "pubmed" 23159533 "create date:2012/11/20 | first author:Collins GS" 0 0 2012
"41" 124 1 1 0 0 0 0 0 "Use of depot medroxyprogesterone acetate contraception and incidence of bone fracture." "/pubmed/23635623" "Lanza LL, McQuay LJ, Rothman KJ, Bone HG, Kaunitz AM, Harel Z, Ataher Q, Ross D, Arena PL, Wolter KD." "Obstet Gynecol. 2013 Mar;121(3):593-600. doi: 10.1097/AOG.0b013e318283d1a1." "Obstet Gynecol.  2013" "PubMed" "citation" "PMID:23635623" "pubmed" 23635623 "create date:2013/05/03 | first author:Lanza LL" 0 0 2013
"43" 139 1 1 0 1 1 0 0 "Pain-related pharmacotherapy, healthcare resource use and costs in spinal cord injury patients prescribed pregabalin." "/pubmed/22945747" "Gore M, Brix Finnerup N, Sadosky A, Tai KS, Cappelleri JC, Mardekian J, George Rice C, Nieshoff E." "Spinal Cord. 2013 Feb;51(2):126-33. doi: 10.1038/sc.2012.97. Epub 2012 Sep 4." "Spinal Cord.  2013" "PubMed" "citation" "PMID:22945747" "pubmed" 22945747 "create date:2012/09/05 | first author:Gore M" 1 1 2012
"44" 143 1 1 0 0 0 0 0 "Exposure to bisphosphonates and risk of gastrointestinal cancers: series of nested case-control studies with QResearch and CPRD data." "/pubmed/23325866" "Vinogradova Y, Coupland C, Hippisley-Cox J." "BMJ. 2013 Jan 16;346:f114. doi: 10.1136/bmj.f114." "BMJ.  2013" "PubMed" "citation" "PMID:23325866 | PMCID:PMC3546625" "pubmed" 23325866 "create date:2013/01/18 | first author:Vinogradova Y" 0 0 2013
"46" 145 1 1 0 0 0 0 0 "Smoking cessation interventions following acute coronary syndrome: a missed opportunity?" "/pubmed/22952289" "Boggon R, Timmis A, Hemingway H, Raju S, Mondello Malvestiti F, Van Staa TP." "Eur J Prev Cardiol. 2013 Jan 10. [Epub ahead of print]" "Eur J Prev Cardiol.  2013" "PubMed" "citation" "PMID:22952289" "pubmed" 22952289 "create date:2012/09/07 | first author:Boggon R" 0 0 2012
"47" 147 1 1 1 0 0 0 0 "Trends in the prevalence of antipsychotic drug use among patients with Alzheimer's disease and other dementias including those treated with antidementia drugs in the community in the UK: a cohort study." "/pubmed/23299113" "Martinez C, Jones RW, Rietbrock S." "BMJ Open. 2013 Jan 7;3(1). doi:pii: e002080.  10.1136/bmjopen-2012-002080. Print 2013." "BMJ Open.  2013" "PubMed" "citation" "PMID:23299113 | PMCID:PMC3549220" "pubmed" 23299113 "create date:2013/01/10 | first author:Martinez C" 0 0 2013
"48" 148 1 1 1 0 0 0 1 "Recorded quality of primary care for patients with diabetes in England before and after the introduction of a financial incentive scheme: a longitudinal observational study." "/pubmed/22918988" "Kontopantelis E, Reeves D, Valderas JM, Campbell S, Doran T." "BMJ Qual Saf. 2013 Jan;22(1):53-64. doi: 10.1136/bmjqs-2012-001033. Epub 2012 Aug 22." "BMJ Qual Saf.  2013" "PubMed" "citation" "PMID:22918988" "pubmed" 22918988 "create date:2012/08/25 | first author:Kontopantelis E" 0 1 2012
"49" 149 1 1 0 0 0 0 0 "The risk of adverse outcomes in association with use of testosterone products: a cohort study using the UK-based general practice research database." "/pubmed/22574772" "Jick SS, Hagberg KW." "Br J Clin Pharmacol. 2013 Jan;75(1):260-70. doi: 10.1111/j.1365-2125.2012.04326.x." "Br J Clin Pharmacol.  2013" "PubMed" "citation" "PMID:22574772 | PMCID:PMC3555066" "pubmed" 22574772 "create date:2012/05/12 | first author:Jick SS" 0 0 2012
